ankle,n. 踝关节，踝
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯"
bolt,"n. 螺栓，螺钉；闪电，雷电；门闩；弩箭;（布的）一匹，一卷
vt. 筛选；囫囵吞下；（把门、窗等）闩上；突然说出，脱口说出
vi. （门窗等）闩上，拴住；冲出，跳出；（马等的）脱缰；囫囵吞下
adv. 突然地；像箭似地；直立地"
butt,"n. 屁股；烟头；笑柄；靶垛；粗大的一端
vt. 以头抵撞；碰撞"
calf,n.  腓肠，小腿；小牛；小牛皮；(鲸等大哺乳动物的)幼崽
careen,"n. 船的倾侧
vt. 使倾侧，使倾斜
vi. 倾侧，倾斜"
colleague,n. 同事，同僚
confusion,n. 混淆，混乱；困惑
descent,"n. 下降；血统；袭击
vt. 除去…的气味；使…失去香味"
devastating,"adj. 毁灭性的；全然的
v. 摧毁（devastate的ing形式）；毁坏"
dilemma,n. 困境；进退两难；两刀论法
drawstring,n. 细绳；拉带
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
gasp,"n. 喘气
vi. 喘气；喘息；渴望
vt. 气喘吁吁地说；喘着气说话"
heavyset,adj. 体格魁伟的
illusion,n. 幻觉，错觉；错误的观念或信仰
lash,"vt. 鞭打；冲击；摆动；扎捆；煽动；讽刺
vi. 鞭打；猛击；急速甩动
n. 鞭打；睫毛；鞭子；责骂；讽刺"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
pandemonium,n. 一片混乱；闹哄哄的场所
purgatory,"n. 炼狱；涤罪；暂时的苦难
adj. 涤罪的（等于purgative）"
rip,"n. 裂口，裂缝
vi. 裂开，被撕裂
vt. 撕；锯"
rumble,"n. 隆隆声；抱怨声
vi. 隆隆作响
vt. 使隆隆响；低沉地说"
sap,"n.  树液；精力，元气；活力；坑道
vt. 使衰竭，使伤元气；挖掘以破坏基础
vi. 挖坑道"
soak,"n. 浸；湿透；大雨
vi. 浸泡；渗透
vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透"
spasm,n.  痉挛；抽搐；一阵发作
stairwell,n. 楼梯井
sway,"n. 影响；摇摆；统治
vt. 影响；统治；使摇动
vi. 影响；摇摆"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
cast into, 铸成
find one's way to,"na. 到达(目的地)
 设法赶到；设法到达；找到…的去路"
guinea pig,"n. 实验对象；豚鼠；天竺鼠
 几内亚猪；实验品；荷兰猪"
off and on,"na. 断断续续；偶尔；(航海)时而靠岸时而离岸地；不规则地
 断断续续地；间歇地；不时地"
wade into,"na. 猛烈攻击；精神抖擞地开始
 精神饱满地开始；猛烈抨击；狼吞虎咽地吃"
window shade,"na. 窗口遮阳篷
 遮光帘；遮阳窗帘；百叶窗"
accomplished,adj. 完成的；熟练的，有技巧的；有修养的；有学问的
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
aging,n. 老化；陈化，熟化
agony,n. 苦恼；极大的痛苦；临死的挣扎
apt,adj. 恰当的；有…倾向的；灵敏的
aspect,n. 方面；方向；形势；外貌
await,vt. 等候，等待；期待
blazer,n. 燃烧体；宣布者；颜色鲜明的运动上衣
contentment,n. 满足；满意
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
convince,vt. 说服；使确信，使信服
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
devil,"n. 魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼
vt. 虐待，折磨；（用扯碎机）扯碎；（替作家，律师等）做助手；抹辣味料烤制或煎煮"
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
distinct,adj. 明显的；独特的；清楚的；有区别的
feverishly,adv. 狂热地；兴奋地
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
freak,"n. 怪人，怪事；畸形人；反复无常
adj. 奇异的，反常的"
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
lanky,adj. 瘦长的
loose-fitting,adj. 宽大的
megadose,"n. 大剂量
vt. 给予…大剂量"
muscular,adj. 肌肉的；肌肉发达的；强健的
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
quirk,n. 怪癖；急转；借口
saint,找不到解释
sanity,n. 明智；头脑清楚；精神健全；通情达理
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
tailor,"n. 裁缝
vt. 剪裁；使合适
vi. 做裁缝"
teen,"n. 青少年（等于teenager）；愤怒；悲哀
adj. 十几岁的（等于teenaged）"
though,"conj. 虽然；尽管
prep. 但
adv. 可是，虽然；不过；然而"
teen,"n. 青少年（等于teenager）；愤怒；悲哀
adj. 十几岁的（等于teenaged）"
un-American,adj. 反美的；非美国式的
unsettling,"adj. 使人不安的；（消息）扰乱的
v. 动乱不定；心绪不宁（unsettle的ing形式）"
waist,n. 腰，腰部
wiry,adj. 金属线制的；金属丝般的；坚硬的；瘦长结实的；（噪音）尖细的
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
be obsessed with,"un. 昼夜萦绕在…心头；被…缠住；埋头研究
 沉迷于；痴迷于；对…着迷"
keep score, 保留得分；记分；比分统计
milk shake,n. 奶昔（即泡沫牛奶，将牛奶和冰激凌等混合后搅打至起泡的饮料）
pecan pie, 核桃派；胡桃派；山核桃派
take up with,"na. 甘受；忍受(虐待等)；采用；遵奉(某说)
 和……交往；与…成朋友；交往"
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
anguish,"n. 痛苦；苦恼
vt. 使极度痛苦
vi. 感到极度的痛苦"
assure,vt. 保证；担保；使确信；弄清楚
authorize,vt. 批准，认可；授权给；委托代替
beneficiary,"n.  受益人，受惠者；封臣
adj. 拥有封地的；受圣俸的"
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗"
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
consequence,n. 结果；重要性；推论
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
deplorable,adj. 可叹的；凄惨的
diagnostic,"n. 诊断法；诊断结论
adj. 诊断的；特征的"
ego,n. 自我；自负；自我意识
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
epiphany,找不到解释
establish,"vi. 植物定植
vt. 建立；创办；安置"
eventually,adv. 最后，终于
fascism,n. 法西斯主义；极端国家主义
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
gurney,n. （医院用来移动病人的）轮床
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
instantly,"conj. 一…就…
adv. 立即地；马上地；即刻地"
intuition,n. 直觉；直觉力；直觉的知识
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常"
malignant,"adj.  恶性的；有害的；有恶意的
n. 保王党员；怀恶意的人"
manicure,"vt. 修剪，美甲
n. 修指甲，美甲"
manicurist,n. 指甲修饰师
miff,"n. 微怒；小争执
vt. 使……恼怒
vi. 恼羞成怒"
occupation,n. 职业；占有；消遣；占有期
poignant,adj. 尖锐的；辛酸的；深刻的；切中要害的
psychiatrist,n. 精神病学家，精神病医生
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
rescuer,n. 救助者
slur,"n. 污点；诽谤；连音符
vi. 含糊地发音；潦草地写字；拖着脚走
vt. 忽视；草率地看过；含糊地念；诋毁"
spinal,"n. 脊椎麻醉
adj. 脊髓的；脊柱的；针的；脊骨的；尖刺的"
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
subtitle,"n. 副标题；说明或对白的字幕
vt. 在…上印字幕；给…加副标题"
suicidal,adj. 自杀的，自杀性的；自我毁灭的；自取灭亡的
surgery,n. 外科；外科手术；手术室；诊疗室
therapist,n. 临床医学家；治疗学家
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
tumor,n. 肿瘤；肿块；赘生物
undergo,vt. 经历，经受；忍受
wreckage,n. （失事船或飞机等的）残骸；（船只等的）失事
wrist,"n. 手腕；腕关节
vt. 用腕力移动"
be wrapped up in,"na. 包在…里；埋头在；和…发生密切关联
 注意力完全集中于；埋头于；被包藏于"
give sb. a ride, 搭车；搭载；让搭车
keep apart,"v. 使…分离
 隔离；保持分离操作器；把…分开"
move on,"na. 继续前进；(使)继续前进；向前!
 继续移动；往前走；继续前行"
set apart,"na. 分开；分离；留出(充当别用)
 使显得突出；拨出；使分离"
station wagon,"n. 旅行车
 小旅行车；旅行轿车；客货两用车"
stretch out,"na. 伸手；开始大踏步走；同“stretch”
 伸展；伸出；充分伸展"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
adjustment,n. 调整，调节；调节器
afford,vt. 给予，提供；买得起
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
backpack,"n. 双肩背包，背包；远足用的背包
vt. 挑运；把…放入背包
vi. 背负简便行李旅行；挑运"
boundary,n. 边界；范围；分界线
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
communications,n.  通信；沟通；通讯系统；交通设施（communication的复数形式）
complacent,adj. 自满的；得意的；满足的
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
enable,vt. 使能够，使成为可能；授予权利或方法
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
