brigade,"n. 旅；大部队；队列
vt. 把…编成旅；把…编成队"
clasp,"n. 扣子，钩子；握手
vt. 紧抱；扣紧；紧紧缠绕
vi. 扣住"
crunchy,adj. 易碎的；发嘎吱嘎吱声的
discreetly,adv. 谨慎地；小心地；不显眼地
flail,"n. 连枷（打谷物用的工具）
vt. 打；用连枷打
vi. 打；用连枷打"
goody,"n. 糖果；身份低微之老妇；吸引人的东西；伪君子
adj. 感伤的；伪善的；假正经的
int. 太好啦"
junk food,"n. 垃圾食品
 垃圾食物；没有营养的食品；没有营养的垃圾食品"
ketchup,n. 番茄酱
malicious,adj. 恶意的；恶毒的；蓄意的；怀恨的
maneuver,"n.  机动；演习；策略；调遣
vi.  机动；演习；调遣；用计谋
vt.  机动；演习；用计；调遣"
puddle,"n. 水坑，泥潭；胶土（由粘土与水和成，不透水）
vt. 使泥泞，搅浑；把…捣制成胶土；搅炼；用胶土填塞
vi. 搅泥浆；在水坑中嬉戏"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
sandal,n. 凉鞋；檀香；檀香木；便鞋
shackle,"n. 束缚；桎梏；脚镣
vt. 束缚；加枷锁"
slink,"n. 早产的动物；鬼鬼祟祟的人
vt. 早产；潜逃
vi. 潜逃；溜走
adj. 早产的"
sneak,"n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者
adj. 暗中进行的
vi. 溜；鬼鬼祟祟做事；向老师打小报告
vt. 偷偷地做；偷偷取得"
spaghetti,n. 意大利式细面条
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地"
whereabouts,"n. 下落；行踪；去向；所在之处
adv. 在何处；靠近什么地方"
tip off,"na. 向…透露消息，泄密；暗中通知某人；(把水等从器皿中)倒干净；使…掉下来；杀死
 警告；通风报信；告密"
go out to sb.,找不到解释
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
conceivably,adv. 令人信服地；可相信地；想得到地
