blitz,"n. 闪电战
adj. 闪击的；凌厉的
vt. 以闪电战攻击
vi. 进行闪击"
rife,adj. 普遍的；流行的；盛传的
pawnshop,n. 当铺
enterprising,adj. 有事业心的；有进取心的；有魄力的；有胆量的
bout,n. 回合；较量；发作；一阵
meticulously,adv. 细致地；一丝不苟地；拘泥地
attire,"n. 服装；盛装
vt. 打扮；使穿衣"
scrimp,"adj. 吝啬的；不足的
vi. 精打细算；吝啬
vt. 节省；过度缩减；克扣"
prescribed,adj. 规定的
blazer,n. 燃烧体；宣布者；颜色鲜明的运动上衣
rationing,n.  定量配给
relax,"vi. 放松，休息；松懈，松弛；变从容；休养
vt. 放松；使休息；使松弛；缓和；使松懈"
assembly,n. 装配；集会，集合
comply,vi. 遵守；顺从，遵从；答应
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
horrid,adj. 可怕的；恐怖的；极讨厌的
well-meaning,adj. 善意的；好心的
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
blinkered,"v. 给…戴眼罩；打闪光信号表示；蒙蔽（blinker的过去分词）
adj. 心胸狭隘的；思路狭窄的"
hard-nosed,"n. 重视实际的人
adj. 顽固的；精明的；讲究实际的；嗅觉不好的"
mortify,"vt. 抑制；苦修；使…感屈辱
vi. 禁欲；苦行；约束"
on the warpath, 大发雷霆；盛怒；敌对
beside oneself,"un. 除…以外；发狂；发疯；手足无措
 忘形；失常；得意忘形"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
temptress,n. 引诱男人的女性
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
torment,"n. 痛苦，苦恼；痛苦的根源
vt. 折磨，使痛苦；纠缠，作弄"
emerald green,"na. 翠绿
 鲜绿色；翠绿色；翡翠绿"
trudge,"n. 长途跋涉；沉重的步伐
vt. 跋涉
vi. 跋涉；步履艰难地走"
of one's own accord,"na. 自愿地
 主动地；出于自愿；自愿的"
beady,adj. 起泡的；饰有珠子的；晶亮如小珠的
composure,n. 镇静；沉着
downcast,"n. 倒台；俯视的目光；向下转换
adj. 沮丧的；低垂的；气馁的"
dejection,n. 沮丧；粪便
thaw,"n. 解冻；融雪
vt. 使融解；使变得不拘束
vi. 融解；变暖和"
buoy,"n.  浮标；浮筒；救生圈；航标
vt. 使浮起；支撑；鼓励"
forte,"n. 长处；特长
adj. 强音的；响的
adv. 响亮地"
bard,n. 吟游诗人
go out of style, 现在流行的东西迟早会过时；不再时兴；走出风格
wordsmith,n. 擅长文字的人，舞文弄墨者；作家
rant,"n. 咆哮；激昂的演说
vt. 咆哮；痛骂
vi. 咆哮；痛骂；大声责骂"
diatribe,n. 诽谤；恶骂
obsolete,"adj. 废弃的；老式的
n. 废词；陈腐的人
vt. 淘汰；废弃"
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
liken to, 把…比作；与……相比；比为
reinvent,vt. 重新使用；彻底改造；重复发明（在不知他人已发明的情况下）
graft,"n. 移植；嫁接；渎职
vt. 移植；嫁接；贪污
vi. 移植；嫁接；贪污
n. （非正式）脚踏实地地埋头苦干"
tall-tale,"n. 怪谈
 荒诞不经的故事；神兵总动员；吹牛"
hark back to, 重提; 回忆起（过去的事）; 使想起; 和（过去的事物）相似
pamphleteer,"n. 小册子作者；檄文执笔者
vi. 写小册子；评论时事"
intoxicated,"v. 沉醉；中毒（intoxicate的过去分词）
adj. 喝醉的；极度兴奋的"
sloppy,adj. 草率的；粗心的；泥泞的；肥大的；稀薄的
meandering,"adj. 曲折的；聊天的；漫步的
n. 漫步；漫谈； 曲径
v. 漫步（meander的ing形式）"
puerile,adj. 幼稚的；孩子气的；未成熟的；天真的
preeminent,adj. 卓越的；超群的
rudimentary,adj. 基本的；初步的；退化的；残遗的；未发展的
weed out,"na. 肃清；恣意多取(自己不该分取的利益等)
 清除；除去；淘汰"
reams,n. 令（纸张的计数单位）( ream的名词复数 ); 许多（文字）
gem,"n. 宝石，珍宝； 精华；受人重视者
vi. 点缀； 用宝石装饰； 饰以宝石
adj. 最佳品质的"
mnemonic,adj. 记忆的；助记的；记忆术的
moribund,"adj. 垂死的；停滞不前的
n. 垂死的人"
blow away,"na. 吹走；用枪杀死某人；震惊；主要用于美式英语
 刮走；吹散；吹跑"
