acceptance,n. 接纳；赞同；容忍
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
attendance,n. 出席；到场；出席人数；考勤
biography,n. 传记；档案；个人简介
budding,"n. 发芽
adj. 萌芽的；发育期的"
cemetery,n. 墓地；公墓
coastal,adj. 沿海的；海岸的
cram,"n. 死记硬背；极度拥挤
adj. 填鸭式学的
vi. 狼吞虎咽地吃东西；死记硬背功课
vt. 填满，塞满；死记硬背；猛吃"
deck,"n. 甲板；行李仓；露天平台
vt. 装饰；装甲板；打扮"
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
finite,"n. 有限之物
adj. 有限的；限定的"
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
lengthy,adj. 漫长的，冗长的；啰唆的
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
blink,"n. 眨眼；瞬间；闪光
vt. 眨眼；使…闪烁
vi. 眨眼；闪烁"
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
consumption,n. 消费；消耗；肺痨
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
continual,adj. 持续不断的；频繁的
definite,adj. 一定的；确切的
dependent on,"adj. 取决于N
 依赖于；靠于；依靠于"
ethnic,adj. 种族的；人种的
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
giggle,"n. 吃吃的笑
vt. 咯咯地笑着说
vi. 傻笑；咯咯地笑"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
largely,adv. 主要地；大部分；大量地
napkin,n. 餐巾；餐巾纸；尿布
notion,n. 概念；见解；打算
outsider,n. 外人；无取胜希望者
perpetual,adj. 永久的；不断的；四季开花的；无期限的
perspective,"n. 观点；远景；透视图
adj. 透视的"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
reluctant,adj. 不情愿的；勉强的；顽抗的
resemblance,n. 相似；相似之处；相似物；肖像
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
whirl,"n. 旋转，回旋；昏乱；一连串的事；短暂的旅行
vt. 使旋转；卷走，飞快地带走
vi. 旋转，回旋；急走；头晕眼花"
analogy,n. 类比；类推；类似
clarity,n. 清楚，明晰；透明
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
composer,n. 作曲家；作家，著作者；设计者
consequently,adv. 因此；结果；所以
constitute,vt. 组成，构成；建立；任命
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
derive,"vt. 源于；得自；获得
vi. 起源"
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
for the sake of,"adv. 为了…起见
 为了…的利益；为了…的目的；为了…的缘故"
grind,"n. 磨；苦工作
vt. 磨碎；磨快
vi. 磨碎；折磨"
in the meantime,"na. 在这期间
 与此同时；在此期间；其间"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
portrait,n. 肖像；描写；半身雕塑像
potent,adj. 有效的；强有力的，有权势的；有说服力的
proclaim,vt. 宣告，公布；声明；表明；赞扬
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
rhythm,n. 节奏；韵律
scandal,n. 丑闻；流言蜚语；诽谤；公愤
simultaneously,adv. 同时地
sufficiently,adv. 充分地；足够地
viewer,n. 观察者；观看者；观众； 指示器
ascertain,vt. 确定；查明；探知
automobile,"n. 汽车
vt. 驾驶汽车
"
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
confer,"vt. 授予；给予
vi. 协商"
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
disapprove,"vi. 不赞成；不喜欢
vt. 不赞成；不同意"
economics,n. 经济学；国家的经济状况
eminent,adj. 杰出的；有名的；明显的
horizons, 地平线
ignorance,n. 无知，愚昧；不知，不懂
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
innovation,n. 创新，革新；新方法
junk,n. 垃圾，废物；舢板
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
obsession,n. 痴迷；困扰； 强迫观念
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
scowl,"n. 愁容；怒容；阴沉沉的样子
vt. 皱眉表示；对…沉下脸
vi. 皱眉；怒视"
stability,n. 稳定性；坚定，恒心
staggering,adj. 惊人的，令人震惊的
suburb,n. 郊区；边缘
unprecedented,adj. 空前的；无前例的
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
agreeable,adj. 令人愉快的；适合的；和蔼可亲的
applause,n. 欢呼，喝采；鼓掌欢迎
competent,adj. 胜任的；有能力的；能干的；足够的
competitor,n. 竞争者，对手
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
core,找不到解释
corruption,n. 贪污，腐败；堕落
delivery,n.  交付；分娩；递送
donation,n. 捐款，捐赠物；捐赠
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
dwell on,"na. 细想详述仔细研究强调；拖长(发音)仔细打量；减慢
 详细讲述；凝思；老是想着"
enable,vt. 使能够，使成为可能；授予权利或方法
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
impatient,adj. 焦躁的；不耐心的
intense,adj. 强烈的；紧张的；非常的；热情的
intimidate,vt. 恐吓，威胁；胁迫
investment,n. 投资；投入；封锁
laughable,adj. 有趣的，可笑的
loyalty,n. 忠诚；忠心；忠实；忠于…感情
management,n. 管理；管理人员；管理部门；操纵；经营手段
