advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
amusing,"adj. 有趣的，好玩的；引人发笑的
v. 逗乐；打发；使…高兴（amuse的ing形式）"
belongings,n.  财产，所有物；亲戚
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
cop,"n. 巡警，警官
vt. 抓住"
deduct,vt. 扣除，减去；演绎
demanding,"v. 要求；查问（demand的ing形式）
adj. 苛求的；要求高的；吃力的"
detached,"v. 分离
adj. 分离的，分开的；超然的"
dropout,n. 中途退学；辍学学生
exceed,"vt. 超过；胜过
vi. 超过其他"
fortunately,adv. 幸运地
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设"
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
honesty,n. 诚实，正直
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
odds,n. 几率；胜算；不平等；差别
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
recount,"n. 重算
vt. 叙述；重新计算"
revert,"n. 恢复原状者
vt. 使回复原状
vi. 回复；重提；返祖遗传；归还"
slump,"vt. 使降低；使衰落；使倒下
n. 衰退；暴跌；消沉
vi. 下降，衰落；倒下；大幅度下降，暴跌"
sympathize,vi. 同情，怜悯；支持
thriving,"adj. 繁荣的；蒸蒸日上的；旺盛的
v. 兴旺（thrive的ing形式）"
transition,n. 过渡；转变； 转换；变调
upcoming,adj. 即将来临的
await,vt. 等候，等待；期待
cite,vt. 引用；传讯；想起；表彰
classification,n. 分类；类别，等级
confront,vt. 面对；遭遇；比较
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
drown,"vt. 淹没；把…淹死
vi. 淹死；溺死"
enrich,vt. 使充实；使肥沃；使富足
exclude,vt. 排除；排斥；拒绝接纳；逐出
idle,"adj. 闲置的；懒惰的；停顿的
vt. 虚度；使空转
vi. 无所事事；虚度；空转"
induce,vt. 诱导；引起；引诱；感应
