abort,"n. 中止计划
vt. 使流产；使中止
vi. 流产；堕胎；夭折；发育不全"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
abundance,n. 充裕，丰富
academician,n. 院士；大学生；学会会员；大学教师
accession,"n. 增加；就职；到达
vt. 登记入册"
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
accountability,n. 有义务；有责任；可说明性
accountable,adj. 有责任的；有解释义务的；可解释的
accounting,"n. 会计，会计学；账单
v. 解释（account的ing形式）；叙述"
accusation,n. 控告，指控；谴责
accustom,vt. 使习惯于
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
actuality,n. 现状；现实；事实
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
addicted,"v. 使…上瘾（addict的过去分词）
adj. 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的"
addictive,adj. 使人上瘾的
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
adherence,n. 坚持；依附；忠诚
adjacent,adj. 邻近的，毗连的
adjoin,"vt. 毗连，邻接
vi. 毗连，邻接"
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
admittance,n. 进入；入场权；通道
admittedly,adv. 公认地；无可否认地；明白地
adolescence,n. 青春期
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
advancement,n. 前进，进步；提升
advantageous,adj. 有利的；有益的
adventurer,n. 冒险家；投机商人
adventurous,adj. 爱冒险的；大胆的；充满危险的
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
aerospace,n. 航空宇宙； 航空航天空间
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
affirm,"vt. 肯定；断言
vi. 确认；断言"
affix,"n.  词缀；附加物
vt. 粘上；署名；将罪责加之于"
afflict,vt. 折磨；使痛苦；使苦恼
aggravate,vt. 加重；使恶化；激怒
