same,"adj. 相同的；同一的；上述的（通常与the连用）；无变化的
adv. 同样地（通常与the连用）
pron. 同样的事物或人（通常与the连用）"
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
assembly,n. 装配；集会，集合
resemble,vt. 类似，像
resemblance,n. 相似；相似之处；相似物；肖像
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
abundant,adj. 丰富的；充裕的；盛产
abundance,n. 充裕，丰富
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
arrangement,n. 布置；整理；准备
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
ascertain,vt. 确定；查明；探知
certainty,n. 必然；确实；确实的事情
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
certify,v. 证明；保证
certification,n. 证明，保证；检定
universe,n. 宇宙；世界；领域
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
anniversary,n. 周年纪念日
avert,vt. 避免，防止；转移
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
conversion,n. 转换；变换； 兑换；改变信仰
convertible,"n. 有活动折篷的汽车
adj. 可改变的；同意义的；可交换的"
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
diversion,n. 转移；消遣；分散注意力
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
reversible,"adj. 可逆的；可撤消的；可反转的
n. 双面布料"
revert,"n. 恢复原状者
vt. 使回复原状
vi. 回复；重提；返祖遗传；归还"
traverse,"n. 穿过；横贯；横木
vt. 穿过；反对；详细研究；在…来回移动
vi. 横越；旋转；来回移动
adj. 横贯的"
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
verse,"n. 诗，诗篇；韵文；诗节
vi. 作诗
vt. 使熟练，使精通"
version,n. 版本；译文；倒转术
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
conversely,adv. 相反地
versus,prep. 对；与...相对；对抗
diverse,adj. 不同的；多种多样的；变化多的
versatile,adj. 多才多艺的；通用的，万能的；多面手的
depend,vi. 依赖，依靠；取决于；相信，信赖
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
dependence,n. 依赖；依靠；信任；信赖
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
independence,n. 独立性，自立性；自主
exhibition,n. 展览，显示；展览会；展览品
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
inhibit,vt. 抑制；禁止
prohibit,vt. 阻止，禁止
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
racecourse,n. 赛马场，跑马场；跑道
intercourse,n. 性交；交往；交流
occur,vi. 发生；出现；存在
occurrence,n. 发生；出现；事件；发现
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
currency,n. 货币；通货
concur,vi. 同意；一致；互助
concurrent,"n.  共点；同时发生的事件
adj. 并发的；一致的；同时发生的"
concurrently,adv. 兼；同时发生地
corridor,走廊
curriculum,"n. 课程
总课程"
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
incur,vt. 招致，引发；蒙受
recur,vi. 复发；重现；采用；再来；循环；递归
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
identification,n. 鉴定，识别；认同；身份证明
identity,n. 身份；同一性，一致；特性；恒等式
dialog,n. 对话；会话
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
monolog,n. 独白，独角戏
monologue,n. 独白
prologue,"n. 开场白；序言
vt. 加上…前言；为…作序"
epilog,n. 结语，尾声，收场白
epilogue,n. 结语，收场白；尾声，后记
analogy,n. 类比；类推；类似
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
logical,adj. 合逻辑的，合理的；逻辑学的
ecology,n. 生态学；社会生态学
ecological,adj. 生态的，生态学的
geology,n. 地质学；地质情况
methodology,n. 方法学，方法论
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
slack,"n. 煤末；峡谷
adj. 松弛的；疏忽的；不流畅的
vt. 放松；使缓慢
adv. 马虎地；缓慢地
vi. 松懈；减弱"
semester,n. 学期；半年
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
obstacle,n. 障碍，干扰；妨害物
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
enhance,vt. 提高；加强；增加
faculty,n. 科，系；能力；全体教员
rural,adj. 农村的，乡下的；田园的，有乡村风味的
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
calorie,n. 卡路里（热量单位）
exert,vt. 运用，发挥；施以影响
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
penalty,n. 罚款，罚金；处罚
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
escalator,n. （美）自动扶梯；电动扶梯
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
ascent,n. 上升；上坡路；登高
descent,"n. 下降；血统；袭击
vt. 除去…的气味；使…失去香味"
transcend,vt. 胜过，超越
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
rarely,adv. 很少地；难得；罕有地
scarcely,adv. 几乎不，简直不；简直没有
scarcity,n. 不足；缺乏
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
restructure,vt. 调整；重建；更改结构
construct,"n. 构想，概念
vt. 建造，构造；创立"
construction,n. 建设；建筑物；解释；造句
constructive,adj. 建设性的；推定的；构造上的；有助益的
destroy,vt. 破坏；消灭；毁坏
destruction,n. 破坏，毁灭；摧毁
destructive,adj. 破坏的；毁灭性的；有害的，消极的
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
consist,vi. 由…组成；在于；符合
consistent,adj. 始终如一的，一致的；坚持的
consistency,n.  一致性；稠度；相容性
inconsistency,n. 不一致；易变
exist,vi. 存在；生存；生活；继续存在
existence,n. 存在，实在；生存，生活；存在物，实在物
coexistence,n. 共存；和平共处；并立
