ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
comb,"n. 梳子；蜂巢；鸡冠
vt. 梳头发；梳毛
vi. （浪）涌起"
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛"
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
pollute,vt. 污染；玷污；败坏
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
vein,"n. 血管；叶脉； 岩脉；纹理；翅脉；性情
vt. 使成脉络；象脉络般分布于"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
pale,"n. 前哨；栅栏；范围
adj. 苍白的；无力的；暗淡的
vt. 使失色；使变苍白；用栅栏围
vi. 失色；变苍白；变得暗淡"
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
unlock,"vt. 开启；开…的锁；表露
vi. 解开；解除锁定；被开启"
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
package,"n. 包，包裹；套装软件， 程序包
adj. 一揽子的
vt. 打包；将…包装"
