relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
family tree,"n. 谱系图
 家谱；家族树；家庭树"
granddaughter,n. 孙女；外孙女
grandson,n. 孙子；外孙
only,"adv. 只，仅仅；不料
adj. 唯一的，仅有的；最合适的
conj. 但是；不过；可是"
member,n. 成员；会员；议员
classmate,n. 同班同学
shop,"n. 商店；店铺
vt. 购物
vi. 购物；买东西"
go shopping,"na. 去买东西
 去购物；逛街；逛商店"
else,"adj. 别的；其他的
adv. 其他；否则；另外"
badminton,n. 羽毛球
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
go cycling, 去骑自行车；去骑车；去骑单车
almost,adv. 差不多，几乎
never,adv. 从未；决不
other,"adj. 其他的，另外的
pron. 另外一个"
each other,"pron. 彼此
 互相；相互；各自"
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
helpful,adj. 有帮助的；有益的
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的"
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置"
ocean,n. 海洋；大量；广阔
yet,"conj. 但是；然而
adv. 还；但是；已经"
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的"
already,adv. 已经，早已；先前
Earth,找不到解释
look after,"na. 照看；照顾；看管；对…负责
 照料；照管；目送"
environment,n. 环境，外界
pollute,vt. 污染；玷污；败坏
pollution,"n. 污染
污染物"
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费"
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
into,prep. 到…里；深入…之中；成为…状况；进入到…之内
rubbish bin, 垃圾桶；垃圾箱；垃圾筒
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假"
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
discuss,vt. 讨论；论述，辩论
reuse,"n. 重新使用，再用
vt. 再使用"
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
dragon,n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
weekend,"n. 周末，周末休假；周末聚会
adj. 周末的，周末用的
vi. 度周末"
seaside,"n. 海边；海滨
adj. 海边的；海滨的"
lucky,adj. 幸运的；侥幸的
market,"n. 市场；行情；股票市场；市面；集市；销路；商店
vt. 在市场上出售
vi. 做买卖"
space,"n. 空间；太空；距离
vt. 隔开
vi. 留间隔"
museum,n. 博物馆
activity,n. 活动；行动；活跃
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
kite,"n. 风筝
vi. 使用空头支票；像风筝一样飞；轻快地移动
vt. 骗钱；涂改（支票）"
sandcastle,n. 沙塔
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
album,n. 相簿；唱片集；集邮簿；签名纪念册
plan,"n. 计划；平面图
vt. 计划；设计；打算
vi. 计划；打算"
shall,aux. 应；会；将；必须
o'clock,abbr. …点钟（等于of the clock）
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
secretary,n. 秘书；书记；部长；大臣
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯"
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
policewoman,n. 女警察；女警官
dentist,"n. 牙科医生
牙医诊所"
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
fireman,n. 消防队员；救火队员；锅炉工
postman,n. 邮递员；邮差
shop assistant,"n. 店员；售货员
 营业员；商店里的店员；店务助理"
person,n. 人；身体；容貌，外表；人称
teach,"vt. 教；教授；教导
vi. 教授；讲授；当老师"
put out,"v. 扑灭；熄灭；放出；伸出
 关；关熄；消灭，关"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
find out,"na. 查出；发现；看清…的面目；识破
 查明；找出；了解"
if,"conj. （表条件）如果；即使；是否；（表假设）假如
n. 条件；设想"
finish,"n. 结束；完美；回味（葡萄酒）
vt. 完成；结束；用完
vi. 结束，终止；终结"
age,"n. 年龄；时代；寿命，使用年限；阶段
vt. 使成熟；使变老，使上年纪
vi. 成熟；变老"
programme,"n. 计划，规划；节目；程序
vt. 规划；拟…计划
vi. 编程序；制作节目"
