hearing,"n. 听力；审讯，听讯
v. 听见（hear的ing形式）"
raised,"v. 提高（raise的过去时和过去分词）；举起；抚育，抚养
adj. 凸起的；发酵的；浮雕的"
dot,"n. 点，圆点；嫁妆
vt. 加小点于
vi. 打上点"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
confuse,vt. 使混乱；使困惑
vase,n. 瓶；花瓶
fog,"n. 雾；烟雾，尘雾；迷惑
vt. 使模糊；使困惑；以雾笼罩
vi. 被雾笼罩；变模糊"
mist,"n. 薄雾；视线模糊不清；模糊不清之物
vi. 下雾；变模糊
vt. 使模糊；使蒙上薄雾"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
conductor,n. 导体；售票员；领导者；管理人
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活"
foggy,adj. 有雾的；模糊的，朦胧的
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
overcoat,n. 大衣，外套
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
footstep,n. 脚步；脚步声；足迹
wherever,"conj. 无论在哪里；无论什么情况下
adv. 无论什么地方；究竟在哪里"
in sight,"na. 看得见；“in/within sight”的变体
 在望；在视线之内；在视线内"
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
wish for,"v. 希望；想要
 愿望；希望得到；盼望"
darkness,n. 黑暗；模糊；无知；阴郁
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
reach out,"na. 伸(手)；伸手(拿…)；(手)伸向前；(草木向…)生长
 伸出；伸出手；伸出双手"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
beard,"n. 胡须；颌毛
vt. 公然反对；抓…的胡须
vi. 充当掩护；充当男随员"
watch out for,"v. 期待；等待
 留意；密切注意；警惕"
crossroads,n. 十字路口；交叉路口；聚会的中心地点（crossroad的复数形式）
anxious,adj. 焦虑的；担忧的；渴望的；急切的
firmly,adv. 坚定地，坚决地；坚固地，稳固地
grateful,adj. 感谢的；令人愉快的，宜人的
helper,n. 助手，帮手
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
relief,n. 救济；减轻，解除；安慰；浮雕
lorry,n. （英）卡车； 货车；运料车
pavement,"n. 人行道
路面"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
sniff,"vt. 嗅；闻；用力吸；发觉
vi. 嗅；嗤之以鼻
n. 吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声"
analyse,vt. 分析；分解；细察
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
ignore,vt. 驳回诉讼；忽视；不理睬
pole,找不到解释
boot,"n. 靴子；踢；汽车行李箱
vt. 引导；踢；解雇；使穿靴"
sweat,"n. 汗；水珠；焦急；苦差使
vt. 使出汗；流出；使干苦活；剥削；藉出汗减轻；焦急地期待
vi. 出汗；辛苦工作；懊恼；结水珠"
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
thunder,"n. 雷；轰隆声；恐吓
vt. 轰隆地发出；大声喊出
vi. 打雷；怒喝"
lightning,"adj. 闪电的；快速的
n. 闪电
vi. 闪电"
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
disability,n. 残疾；无能；无资格；不利条件
hopeful,"n. 有希望成功的人
adj. 有希望的；有前途的"
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
jaw,"n. 颌；下巴；狭窄入口；唠叨
vt. 教训；对…唠叨
vi. 教训；唠叨"
bull,"n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
adj. 大型的；公牛似的；雄性的
vt. 企图抬高证券价格；吓唬；强力实现
vi. 价格上涨；走运；猛推；吹牛"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
flesh,"n. 肉；肉体
vt. 喂肉给…；使发胖
vi. 长胖"
jewellery,n. 珠宝（等于jewelry）
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
fist,"n. 拳，拳头；笔迹；掌握；指标参见号
vt. 紧握；握成拳；用拳打"
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
pigeon,n. 鸽子
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
roll,"n. 卷，卷形物；名单；摇晃
vt. 卷；滚动，转动；辗
vi. 卷；滚动；转动；起伏，摇晃"
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
compass,"n. 指南针，罗盘；圆规
vt. 包围"
unlike,"prep. 和…不同，不像
adj. 不同的，不相似的"
be made up of, 由…构成；组成；由…组成
vocabulary,n. 词汇；词表；词汇量
nowadays,"adv. 现今；时下
n. 当今"
Celtic,"n. 凯尔特语（等于Keltic）
adj. 凯尔特人的；凯尔特语的"
Germanic,"n. 日耳曼语
adj. 德国的；德语的；日耳曼人的；日耳曼语的"
mainland,"n. 大陆；本土
adj. 大陆的；本土的"
Angle,找不到解释
Saxon,"n. 撒克逊人
adj. 撒克逊人的"
occupy,vt. 占据，占领；居住；使忙碌
consist,vi. 由…组成；在于；符合
mixture,n. 混合；混合物；混合剂
name after,"na. name for 用(别人,别物的名字)命名
 用…的名字命名；以……命名；用…的名字作名字"
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
Viking,找不到解释
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
contribution,n. 贡献；捐献；投稿
Norman,找不到解释
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
take control of, 控制；掌管；取得对……的控制
the Norman Conquest, 诺曼征服；诺曼底征服；诺曼征服时间
lead to,"na. 通向
 导致；引起；通往"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
entire,adj. 全部的，整个的；全体的
servant,n. 仆人，佣人；公务员；雇工
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
therefore,adv. 因此；所以
mutton,n. 羊肉
bacon,n. 咸肉；腌肉；熏猪肉
plural,"n. 复数
adj. 复数的"
high-class,adj. 高级的；一流的
mother tongue,"n. 母语；本国语
 本族语；本国语言；母语式"
the Renaissance, 文艺复兴；文艺复兴时期；文艺复兴运动
Latin,"adj. 拉丁语的；拉丁人的
n. 拉丁语；拉丁人"
Greek,"n. 希腊语；希腊人
adj. 希腊的；希腊人的，希腊语的"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
distinction,n. 区别；差别；特性；荣誉、勋章
spelling,"n. 拼写；拼字；拼法
v. 拼写；意味着（spell的ing形式）；迷住"
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
