affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
anecdote,n. 轶事；奇闻；秘史
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
coverage,n. 覆盖，覆盖范围；新闻报道
celebrity,n. 名人；名声
eliminate,vt. 消除；排除
entertainment,n. 娱乐；消遣；款待
expose,vt. 揭露，揭发；使曝光；显示
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
fabricate,vt. 制造；伪造；装配
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
indecent,adj. 下流的；不礼貌的；不得体的
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
infringement,n. 侵犯；违反
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
libel,"n. 诽谤罪；诋毁；毁坏名誉的东西；控诉书
vt. 中伤；控告；对…进行诽谤
vi. 进行文字诽谤"
medley,"n. 混合；混杂；混合物
adj. 混合的；拼凑的"
misleading,"adj. 令人误解的；引入歧途的
v. 给…带错路；把…引入歧途（mislead的ing形式）"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
popularity,n. 普及，流行；名气；受大众欢迎
publicity,n. 宣传，宣扬；公开；广告；注意
necessarily,adv. 必要地；必定地，必然地
scandal,n. 丑闻；流言蜚语；诽谤；公愤
scrutiny,n. 详细审查；监视；细看；选票复查
sensational,adj. 轰动的；耸人听闻的；非常好的；使人感动的
sensationalism,n. 追求轰动效应；哗众取宠
slander,"n. 诽谤；中伤
vt. 诽谤；造谣中伤"
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
