playground,n. 运动场，操场；游乐场
sport,"n. 运动；游戏；娱乐；运动会；玩笑
adj. 运动的
vt. 游戏；参加体育运动；夸耀
vi. 游戏"
love,"n. 恋爱；亲爱的；酷爱；喜爱的事物；爱情，爱意；疼爱；热爱；爱人，所爱之物
v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕"
grandfather,"n. 祖父；始祖
vt. 不受新规定限制"
grandmother,"n. 祖母；女祖先
vt. 当…的祖母
vi. 当祖母"
next,"adv. 然后；下次；其次
adj. 下一个的；其次的；贴近的
n. 下一个
prep. 靠近；居于…之后"
week,n. 周，星期
classroom,n. 教室
centre,"n. 中心
adj. 中央的
vt. 集中；将…放在中央
vi. 以…为中心"
ping-pong,n. 乒乓球；桌球
tennis,n. 网球（运动）
play football,"na. 踢足球；对难办的事采取踢皮球的态度
 玩足球；玩橄榄球；踢球"
play ping-pong,找不到解释
have a match, 进行比赛；举行一场比赛；进行一场比赛
may,aux. 可以，能够；可能，也许；祝，愿；会，能
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
grass,"n. 草；草地，草坪
vt. 放牧；使……长满草；使……吃草
vi. 长草"
thing,n. 事情；东西；事物；情况
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
next time,"adv. 下一次
 下次；下次见；下次吧"
TV,abbr. 电视（television）
every,adj. 每一的，每个的；每隔…的
tall,"adj. 高的；长的；过分的；夸大的
adv. 夸大地"
ear,"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗"
eye,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看"
mouth,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
write,"vi. 写，写字；写作，作曲；写信
vt. 写，书写；写信给；著述"
email,"n. 电子信函
vt. 给…发电子邮件"
keyboard,"n. 键盘
vt. 键入；用键盘式排字机排字
vi. 用键盘进行操作；作键盘式排字机排字"
mouse,"n. 鼠标；老鼠；胆小羞怯的人
vt. 探出
vi. 捕鼠；窥探"
every day,"na. 每日
 每天；每一天；天天"
card,"n. 卡片；纸牌；明信片
vt. 记于卡片上"
sometimes,adv. 有时，间或
often,adv. 常常，时常
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
skate,"n. 溜冰；冰鞋
vi. 滑冰；滑过"
play basketball, 打篮球；玩篮球；篮球锻炼知多少
go fishing, 去钓鱼；垂钓；我以前常去钓鱼
listen,"vi. 听，倾听；听从，听信
n. 听，倾听"
music,n. 音乐，乐曲
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
always,adv. 永远，一直；总是；常常
only,"adv. 只，仅仅；不料
adj. 唯一的，仅有的；最合适的
conj. 但是；不过；可是"
everyone,"n. 每个人
pron. 每个人；人人"
enjoy,vt. 欣赏，享受；喜爱；使过得快活
listen to music, 听音乐；听听音乐；听歌
see films,找不到解释
watch TV,找不到解释
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
take a look,"v. 看看
 看一看；看一下；注视"
shop,"n. 商店；店铺
vt. 购物
vi. 购物；买东西"
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
