abdomen,n. 腹部；下腹；腹腔
belly,"n. 腹部；胃；食欲
vt. 使鼓起
vi. 涨满；鼓起"
bereave,vt. 使……失去；使……孤寂
deprive,vt. 使丧失，剥夺
consecrate,"adj. 神圣的；被献给神的
vt. 奉献；使神圣；供神用；献身于"
devote,vt. 致力于；奉献
evoke,vt. 引起，唤起；博得
invoke,vt. 调用；祈求；引起；恳求
groove,"n.  凹槽，槽；最佳状态；惯例
vt. 开槽于
vi. 形成沟槽"
furrow,"n. 皱纹；犁沟；车辙
vt. 犁；耕；弄绉
vi. 犁田；开沟；犁出浪迹"
jolt,"vt. 使颠簸；使震惊；使摇动
vi. 摇晃；颠簸而行
n. 颠簸；摇晃；震惊；严重挫折"
joggle,"vt. 啮合；摇动，摇曳；轻摇
vi. 啮合；摇动，摇曳；摇曳
n. 啮合；轻摇，摇动；榫接"
obsolete,"adj. 废弃的；老式的
n. 废词；陈腐的人
vt. 淘汰；废弃"
antiquated,"adj. 过时的；陈旧的；年老的
v. 使古旧；废弃（antiquate的过去分词）"
prowl,"n. 徘徊，潜行；悄悄踱步
vt. 在…搜寻；潜行于
vi. 徘徊，潜行"
rove,"n. 流浪；徘徊；粗纺线
vi. 流浪；飘忽不定
vt. 漫游于；漂泊于"
scoop,"n. 勺；铲子；独家新闻；凹处
vt. 掘；舀取；抢先获得；搜集"
shovel,"n. 铁铲；一铲的量；铲车
vi. 铲
vt. 铲除；用铲挖；把…胡乱塞入"
status,n. 地位；状态；情形；重要身份
situation,n. 情况；形势；处境；位置
sue,"vt. 控告；请求
vi. 控告；提出请求"
indict,vt. 控告，起诉； 揭发
bandit,n. 强盗，土匪；恶棍；敲诈者
brigand,n. 强盗；土匪；盗贼
commemorate,vt. 庆祝，纪念；成为…的纪念
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
defile,"n. 狭谷；隘路
vt. 污损，弄脏；染污
vi. 以纵队前进"
infect,vt. 感染，传染
deviation,n. 偏差；误差；背离
delegate,"n. 代表
vt. 委派…为代表"
fortitude,n. 刚毅；不屈不挠；勇气
endurance,n. 忍耐力；忍耐；持久；耐久
inconsolable,adj. 无法安慰的（名词inconsolability，副词inconsolably）；极为伤心的
depressed,"adj. 沮丧的；萧条的；压低的
v. 使沮丧；使萧条（depress的过去式和过去分词形式）；压低"
nibble,"vi. 细咬；一点一点地咬；吹毛求疵
vt. 细咬；一点一点地咬；吹毛求疵
n. 轻咬；啃；细咬"
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
pageant,n. 盛会；游行；虚饰；露天表演
exhibition,n. 展览，显示；展览会；展览品
scourge,"n. 鞭；灾祸；鞭子；苦难的根源
vt. 鞭打；蹂躏；严斥；痛斥"
disaster,n. 灾难，灾祸；不幸
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
afflict,vt. 折磨；使痛苦；使苦恼
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
censure,"n. 责难
vt. 责难，责备
vi. 谴责，责备"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
dissimulation,n. 掩饰；虚伪；装糊涂
deception,n. 欺骗，欺诈；骗术
flog,"vt. 鞭打，鞭策；迫使
vi. 剧烈抖动；除尘"
spank,"n. 一巴掌
vt. 拍击使之前进；打…的屁股
vi. 掴；飞跑"
inscription,n. 题词；铭文；刻印
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
meddle,vi. 管闲事，干预他人之事
intervene,vi. 干涉；调停；插入
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
attitude,n. 态度；看法；意见；姿势
rummage,"n. 翻找；检查；查出的物件；零星杂物
vt. 检查；搜出；仔细搜查；翻找出
vi. 翻找；仔细搜查"
ransack,vt. 洗劫，掠夺；遍寻
spout,"n. 喷口；水龙卷；水落管；水柱
vt. 喷出；喷射；滔滔不绝地讲；把…典当掉
vi. 喷出；喷射；滔滔不绝地讲"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
traverse,"n. 穿过；横贯；横木
vt. 穿过；反对；详细研究；在…来回移动
vi. 横越；旋转；来回移动
adj. 横贯的"
intersect,"vt. 横断，横切；贯穿
vi. 相交，交叉"
wistful,adj. 渴望的；沉思的，默想的；引起怀念的；不满足似的
yearning,"n. 渴望；怀念；同情
v. 渴望；向往；想念（yearn的ing形式）
adj. 向往的；渴望的；怀念的"
amicable,adj. 友好的；友善的
amiable,adj. 和蔼可亲的，亲切的
blizzard,"n. 暴风雪，大风雪；大打击
vi. 下暴风雪"
snowstorm,n. 暴风雪；雪暴
cruise,"n. 巡航，巡游；乘船游览
vt. 巡航，巡游；漫游
vi. 巡航，巡游；漫游"
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
eradicate,vt. 根除，根绝；消灭
extirpate,vt. 使连根拔起；灭绝，破除
glimmer,"n. 微光；闪光；少许
vi. 闪烁；发微光"
gleam,"n. 微光；闪光；瞬息的一现
vt. 使闪烁；使发微光
vi. 闪烁；隐约地闪现"
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
ransack,vt. 洗劫，掠夺；遍寻
rummage,"n. 翻找；检查；查出的物件；零星杂物
vt. 检查；搜出；仔细搜查；翻找出
vi. 翻找；仔细搜查"
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
gash,"n. 很深的裂缝；砍得很深的伤口
vt. 划开；砍入很深；（使）负深伤"
slump,"vt. 使降低；使衰落；使倒下
n. 衰退；暴跌；消沉
vi. 下降，衰落；倒下；大幅度下降，暴跌"
depress,vt. 压抑；使沮丧；使萧条
vogue,"n. 时尚；流行，时髦
adj. 时髦的，流行的"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
ascribe,vt. 归因于；归咎于
ascribe to,"v. 把…归于
 归因于；归咎于；归功于"
attribute,"n. 属性；特质
vt. 归属；把…归于"
bulwark,"n. 壁垒；保障；防波堤
vt. 保护；筑垒保卫"
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
facet,"n. 面；方面；小平面
vt. 在…上琢面"
aspect,n. 方面；方向；形势；外貌
heed,"n. 注意到；留心到
vt. 注意，留心
vi. 注意，留心"
attention,n. 注意力；关心；立正！（口令）
huddle,"n. 拥挤；混乱；杂乱一团
vt. 把...挤在一起；使缩成一团；草率了事
vi. 蜷缩；挤作一团"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
mumble,"vt. 含糊地说；抿着嘴嚼
vi. 含糊地说话
n. 含糊的话；咕噜"
murmur,"n. 低语；低语声；低声抱怨；潺潺声
vi. 低声说；私下抱怨；发出轻柔持续的声音
vt. 低声说"
relic,n. 遗迹，遗物；废墟；纪念物
remainder,"n.  余数，残余；剩余物；其余的人
adj. 剩余的；吃剩的
vt. 廉价出售；削价出售
vi. 廉价出售；削价出售"
smog,n. 烟雾
fume,"n. 烟；愤怒，烦恼
vt. 熏；冒烟；愤怒地说
vi. 冒烟；发怒"
wayfarer,n. 旅人，徒步旅行者
traveller,n. 旅行者
wont,"n. 习惯；惯常活动
adj. 习惯于
vi. 习惯，惯常
vt. 使习惯于"
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
absolve,vt. 免除；赦免；宣告…无罪
exonerate,vt. 使免罪
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
compete,vi. 竞争；比赛；对抗
deplore,vt. 谴责；悲悼；哀叹；对…深感遗憾
lament,"n. 挽歌；恸哭；悲痛之情
vi. 哀悼；悲叹；悔恨
vt. 哀悼；痛惜"
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
magnitude,n. 大小；量级； 震级；重要；光度
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
pith,"n. 精髓；核心；骨髓；要旨
vt. 杀死；使瘫痪；除去…中的髓"
essence,n. 本质，实质；精华；香精
relish,"n. 滋味；风味；食欲；开胃小菜；含义；调味品
vt. 盼望;期待;享受; 品味；喜爱；给…加佐料
vi. 有特定意味；味道可口"
zest,"n. 风味；热心；强烈的兴趣
vt. 给…调味"
sneak,"n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者
adj. 暗中进行的
vi. 溜；鬼鬼祟祟做事；向老师打小报告
vt. 偷偷地做；偷偷取得"
lurk,"vi. 潜伏；潜藏；埋伏
n. 潜伏；埋伏"
tidings,n. 消息；音信
information,n. 信息，资料；知识；情报；通知
aghast,adj. 吓呆的，惊骇的；吃惊的
astonished,adj. 吃惊的
cumber,"n. 拖累，累赘；妨害
vt. 阻碍，妨害；使受苦"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
decree,"n. 法令；判决
vt. 命令；颁布；注定；判决
vi. 注定；发布命令"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
frolic,"n. 嬉闹，嬉戏
adj. 嬉戏的，欢乐的
vi. 嬉戏"
frisk,"n. 搜身；快乐；蹦跳；快乐的时刻
vt. 轻摇
vi. 蹦跳；欢跃"
intercourse,n. 性交；交往；交流
relations,n. 关系；交往；事务
menace,"n. 威胁；恐吓
vi. 恐吓；进行威胁
vt. 威胁；恐吓"
intimidation,n. 恐吓，威胁
precipice,n. 悬崖；绝壁；险境
cliff,n. 悬崖；绝壁
sanctuary,n. 避难所；至圣所；耶路撒冷的神殿
shrine,"n. 圣地；神殿；神龛；圣祠
vt. 将…置于神龛内；把…奉为神圣"
