apprentice,"n. 学徒；生手
vt. 使…当学徒
vi. 当学徒"
aptitude,n. 天资；自然倾向；适宜
craftsman,n. 工匠；手艺人；技工
dexterity,n. 灵巧；敏捷；机敏
adroit,adj. 敏捷的，灵巧的；熟练的
maladroit,adj. 笨拙的；不灵巧的；愚钝的
inept,adj. 笨拙的；不适当的
ambidextrous,adj. 双手灵巧的；怀有二心的
versatile,adj. 多才多艺的；通用的，万能的；多面手的
indigence,n. 穷困；贫乏；贫穷
economize,"vi. 节约，节省；有效地利用
vt. 节约，节省；有效地利用"
impoverish,vt. 使贫穷；使枯竭
destitute,"n. 赤贫者
adj. 穷困的；无的；缺乏的
vt. 使穷困；夺去"
frugal,adj. 节俭的；朴素的；花钱少的
avarice,n. 贪婪，贪财
dowry,n. 嫁妆；天资；亡夫遗产
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） "
opulence,n. 富裕；丰富
covet,"vt. 垂涎；觊觎
vi. 垂涎；觊觎"
fleece,"n. 羊毛，绒头织物；羊毛制的覆盖物
vt. 剪下羊毛；欺诈，剥削"
hoard,"n. 贮藏物
vt. 贮藏
vi. 积聚钱财；贮藏货物"
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
financial,adj. 金融的；财政的，财务的
lavish,"adj. 浪费的；丰富的；大方的
vt. 浪费；慷慨给予；滥用"
lucrative,adj. 有利可图的，赚钱的；合算的
craven,"adj. 畏缩的；怯懦的
n. 懦夫"
trepidation,n. 恐惧；惊恐；忧虑；颤抖
cower,vi. 退缩；抖缩；蜷缩；弯腰屈膝
intimidate,vt. 恐吓，威胁；胁迫
apprehensive,adj. 忧虑的；不安的；敏悟的；知晓的
dastardly,adj. 卑鄙的；懦弱的
timid,adj. 胆小的；羞怯的
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
fortitude,n. 刚毅；不屈不挠；勇气
audacious,adj. 无畏的；鲁莽的
dauntless,adj. 无畏的；勇敢的；不屈不挠的
indomitable,adj. 不屈不挠的；不服输的；不气馁的
plucky,adj. 有勇气的，大胆的
rash,"n.  皮疹；突然大量出现的事物
adj. 轻率的；鲁莽的；不顾后果的"
alias,"n. 别名，化名
adv. 别名叫；化名为"
enigma,n. 谜，不可思议的东西
lurk,"vi. 潜伏；潜藏；埋伏
n. 潜伏；埋伏"
seclude,vt. 使隔离，使隔绝
clandestine,adj. 秘密的，私下的；偷偷摸摸的
latent,adj. 潜在的；潜伏的；隐藏的
stealthy,adj. 鬼鬼祟祟的；秘密的
avowal,n. 声明，公开表示；公开宣布
apprise,vt. 通知；报告
divulge,vt. 泄露；暴露
elicit,vt. 抽出，引出；引起
enlighten,vt. 启发，启蒙；教导，开导；照耀
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
overt,adj. 明显的；公然的；蓄意的
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
accede,vi. 加入；同意；就任
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
correspond,vi. 符合，一致；相应；通信
dovetail,"n. 楔形榫头
vi. 吻合
vt. 用鸠尾榫接合；与…吻合"
reconcile,vt. 使一致；使和解；调停，调解；使顺从
relent,"v. 再借给（relend的过去分词）
vt. 使变温和；减轻
vi. 变温和，变宽厚；减弱；缓和"
compatible,adj. 兼容的；能共处的；可并立的
consistent,adj. 始终如一的，一致的；坚持的
altercation,n. 争执
cleavage,n. 劈开，分裂； 解理； 卵裂
discord,"n. 不和；不调和；嘈杂声
vi. 不一致；刺耳"
discrepancy,n. 不符；矛盾；相差
friction,n. 摩擦， 摩擦力
litigation,n. 诉讼；起诉
antagonize,"vt. 使…敌对；使…对抗；对…起反作用
vi. 引起反抗"
dissent,"n. 异议；（大写）不信奉国教
vi. 不同意；不信奉国教"
embroil,vt. 使卷入；使混乱
estrange,vt. 使疏远；离间
wrangle,"n. 争论；吵嘴
vt. 争论；争吵；辩驳
vi. 争论；争吵"
irreconcilable,adj. 矛盾的；不能和解的；不能协调的
at variance, 不一致；有分歧；不和
condiment,n. 调味品；佐料
glutton,n. 酷爱…的人；贪吃的人
devour,v. 吞食；毁灭
slake,"vt. 消除；熄灭；使清凉；满足
vi. （石灰）熟化；消除；平息"
edible,"n. 食品；食物
adj. 可食用的"
luscious,adj. 甘美的；满足感官的
palatable,adj. 美味的，可口的；愉快的
succulent,"n. 肉质植物；多汁植物
adj. 多汁的；多水分的；多汁性的"
voracious,adj. 贪婪的；贪吃的；狼吞虎咽的
gamut,n. 全音阶；全音域；整个范围
iota,n. 极微小；希腊语的第九个字母
magnitude,n. 大小；量级； 震级；重要；光度
pittance,n. 少量；小额施舍；少量津贴
superabundance,n. 过多；极多；多余
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
colossal,adj. 巨大的；异常的，非常的
commodious,adj. 宽敞的；方便的
