barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
sterile,adj. 不育的；无菌的；贫瘠的；不毛的；枯燥乏味的
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
invent,vt. 发明；创造；虚构
exert,vt. 运用，发挥；施以影响
use,"n. 使用；用途；发挥
vt. 利用；耗费
vi. 使用，运用"
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
conspiracy,n. 阴谋；共谋；阴谋集团
oath,n. 誓言，誓约；诅咒，咒骂
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
adjourn,"vt. 推迟；使…中止；使…延期
vi. 休会；延期；换地方"
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
regain,"n. 收复；取回
vt. 恢复；重新获得；收回
vi. 上涨"
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
vex,"vt. 使烦恼；使困惑；使恼怒
vi. 烦恼"
tilt,"n. 倾斜
vt. 使倾斜；使翘起
vi. 倾斜；翘起；以言词或文字抨击"
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
version,n. 版本；译文；倒转术
translation,n. 翻译；译文；转化；调任
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
reasonable,adj. 合理的，公道的；通情达理的
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
amiable,adj. 和蔼可亲的，亲切的
spiteful,adj. 怀恨的，恶意的
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
figurative,adj. 比喻的；修饰丰富的；形容多的
literal,adj. 文字的；逐字的；无夸张的
genuine,adj. 真实的，真正的；诚恳的
false,"adj. 错误的；虚伪的；伪造的
adv. 欺诈地"
hoist,"n. 起重机；升起，吊起
vt. （用绳索，起重机等）使升起
vi. 升起；吊起"
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
incorrect,adj. 错误的，不正确的；不适当的；不真实的
accurate,adj. 精确的
massive,adj. 大量的；巨大的，厚重的；魁伟的
tiny,adj. 微小的；很少的
stale,"n. 尿
adj. 陈腐的；不新鲜的
vt. 使变旧；变得不新鲜
vi. 变陈旧；撒尿；变得不新鲜"
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
thrive,vi. 繁荣，兴旺；茁壮成长
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
wholesale,"n. 批发
adj. 批发的；大规模的
vt. 批发
adv. 大规模地；以批发方式
vi. 批发；经营批发业"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
annoyance,n. 烦恼；可厌之事；打扰
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
celebration,n. 庆典，庆祝会；庆祝；颂扬
diplomat,n. 外交家，外交官；有外交手腕的人；处事圆滑机敏的人
foresee,vt. 预见；预知
foreseeable,adj. 可预知的；能预测的
induce,vt. 诱导；引起；引诱；感应
inducement,n. 诱因，刺激物
mobilize,"vt. 动员，调动；集合，组织；使…流通；使…松动
vi. 组织；动员起来"
mobilization,n. 动员；调动
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
precedent,"n. 先例；前例
adj. 在前的；在先的"
predetermine,vt. 预先确定；预先决定；预先查明
predeterminate,adj. 先定的，注定的
prevail,vi. 盛行，流行；战胜，获胜
prevalent,adj. 流行的；普遍的，广传的
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
subtlety,n. 微妙；敏锐；精明
transact,"vt. 办理；处理
vi. 交易；谈判"
transaction,n. 交易；事务；办理；会报，学报
treason,n.  叛国罪；不忠
treasonous,adj. 叛逆的；谋反的；犯叛国罪的
utilize,vt. 利用
utility,"n. 实用；效用；公共设施；功用
adj. 实用的；通用的；有多种用途的"
bosom,"n. 胸；胸怀；中间；胸襟；内心；乳房；内部
adj. 知心的；亲密的
vt. 怀抱；把…藏在心中"
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
fume,"n. 烟；愤怒，烦恼
vt. 熏；冒烟；愤怒地说
vi. 冒烟；发怒"
hurrah,"n. 欢呼声；激动；混乱
vt. 欢呼；为…喝采
int. 万岁；好哇（等于hurray）
vi. 欢呼；叫好"
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
parcel,"n. 包裹，小包
vt. 打包；捆扎"
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
racket,"n. 球拍；吵闹，喧闹
vt. 过着花天酒地的生活
vi. 过着花天酒地的生活"
rhyme,"n. 韵律；韵脚；韵文；押韵词
vt. 使押韵；用韵诗表达；把…写作诗
vi. 押韵；作押韵诗"
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
apparatus,n. 装置，设备；仪器；器官
equipment,n. 设备，装备；器材
assert,vt. 维护，坚持；断言；主张；声称
insist,"vi. 坚持，强调
vt. 坚持，强调"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
allot,vt. 分配；拨给；分派
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
inviolable,adj. 不可侵犯的；神圣的；不可亵渎的
sacred,adj. 神的；神圣的；宗教的；庄严的
specimen,n. 样品，样本；标本
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
tendency,n. 倾向，趋势；癖好
inclination,n. 倾向，爱好；斜坡
testify,"vi. 作证；证明
vt. 证明，证实；作证"
prove,"vi. 证明是
vt. 证明；检验；显示"
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
traveller,n. 旅行者
utility,"n. 实用；效用；公共设施；功用
adj. 实用的；通用的；有多种用途的"
usefulness,n. 有用；有效性；有益
blunt,"adj. 钝的，不锋利的；生硬的；直率的
vt. 使迟钝"
