agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
agential,adj. 代理商的
subagent,n. 副代理人
coagent,n. 帮手；伙伴；合作者
agency,n. 代理，中介；代理处，经销处
coagency,"n. ""合作机构，协作机构; 联合机构"
agenda,n. 议程；日常工作事项；日程表
agile,adj. 敏捷的；机敏的；活泼的
agility,n. 敏捷；灵活；机敏
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
agitation,n. 激动；搅动；煽动；烦乱
agitator,n. 搅拌器；鼓动者；煽动者
agitatress,找不到解释
agitated,"v. 焦虑；鼓动（agitate的过去分词）
adj. 激动的；焦虑的；表现不安的"
agitating,"adj. 搅拌的，搅动的；不安的；鼓动的
v. 搅动；煽动；使焦虑（agitate的现在分词）"
counteragent,n. 反作用剂；中和力；反对的东西
agriculture,n. 农业；农耕；农业生产；农艺，农学
agricultural,adj. 农业的；农艺的
agriculturist,n. 农业家； 农场工作者
agricorporation,n. 农业综合公司
agrimotor,n. 农用拖拉机
agronomy,n. 农学；农艺学；农业经济学
agronomic,adj. 农事的；农艺学的
agronomist,n. 农学家
agrology,n. 土壤学，实用土壤学; 农业土壤学
agrobiology,n. 农业生物学，土壤生物学
agrotechnique,n. 农业技术
agro-town,n. = agrogorod
agrochemicals, 农用化学品
agro-industry, 农工业
agrarian,adj. 土地的；耕地的；有关土地的
agrestic,adj. 乡土的，粗野的
anniversary,n. 周年纪念日
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
annals,n. 年报；编年史；年鉴
annalist,n. 编年史作者
annuity,n. 年金，养老金；年金保险；年金享受权
annuitant,n. 接受年金的人，领取年金的人
superannuate,v. 因落后于时代而废除，勒令退学
superannuation,n. 退休；退休金；废弃；陈旧
perennial,"n. 多年生植物
adj. 多年生的；常年的；四季不断的；常在的；反复的"
perenniality, 全年的；四季不断的；常年性
semiannual,adj. 一年两次的；半年一次的
audience,n. 观众；听众；读者；接见；正式会见；拜会
auditorium,n. 礼堂，会堂；观众席
audible,"adj. 听得见的
听得见地"
audibility,n. 可闻度；可听到
inaudible,adj. 听不见的；不可闻的
audit,"n. 审计； 查账
vt. （美）旁听
vi. 审计； 查账"
auditor,n. 审计员；听者；旁听生
auditory,"n. 听众；礼堂
adj. 听觉的；耳朵的"
audiphone,n. 助听器
audition,"n. 听力，听觉；试听
vt. 对…进行面试；让…试唱
vi. 试听；试音"
audiometer,n.  听度计，听力表；测听计；音响测定器
audiometry,n.  听力测定； 听力测验法
audiology,n.  听力学； 听觉学
audio,adj. 声音的； 音频的， 声频的
audio-visual,adj. 视听的；视听教学的
audiovisuals,n. 视听教具
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
rebellion,n. 叛乱；反抗；谋反；不服从
rebellious,adj. 反抗的；造反的；难控制的
bellicose,adj. 好战的；好斗的
bellicosity,n. 好斗；好战
bellicism,n. 好战倾向；好战性
belligerent,"n. 交战国；参加斗殴的人或集团
adj. 交战的；好战的；交战国的"
belligerency,n. 交战状态；交战
abbreviate,"vt. 缩写，使省略；使简短
vi. 使用缩写词"
abbreviation,n. 缩写；缩写词
abbreviator,n. 缩写者
