roustabout,n. （美）码头工人；甲板水手；马戏场杂工；非技术工
whereabouts,"n. 下落；行踪；去向；所在之处
adv. 在何处；靠近什么地方"
gadabout,"n. 游荡者
adj. 游荡的"
turnabout,n. 转变；旋转；转向
walkabout,n. 徒步旅行；长期旅行；（澳洲土著的）短期丛林流浪
thereabouts,adv. 大约；在那附近（等于thereabout）
roundabout,"n. 迂回路线；环状交叉路口
adj. 迂回的，绕道的；圆滚滚的"
attaché,找不到解释
cache,"n. 电脑高速缓冲存储器；贮存物；隐藏处
vt. 隐藏；窖藏
vi. 躲藏"
mustache,n. 胡子，髭
panache,n. 羽饰；灿烂；耍派头
bellyache,"n. 腹痛
vi. 无故抱怨"
fiacre,n. 小型出租马车
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
sacred,adj. 神的；神圣的；宗教的；庄严的
wiseacre,n. 自以为聪明者
tact,n. 机智；老练；圆滑；鉴赏力
pact,n. 协定；公约；条约；契约
tract,n. 束；大片土地，地带；小册子
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
overact,"vt. 将…表演得过火；行动过火
vi. 夸张表演；表演过火"
addle,"adj. 腐坏的；糊涂的，昏乱的
vt. 使腐坏；使混乱
vi. 变质；变混乱"
adduce,vt. 举出；引证
addendum,n. 附录，附件；补遗；附加物
saddle,"n. 鞍，鞍状物；车座；拖具
vt. 承受；使负担；装以马鞍
vi. 跨上马鞍"
paddle,"n. 划桨；明轮翼
vt. 拌；搅；用桨划
vi. 划桨；戏水；涉水"
faddish,adj. 风行的；流行一时的
waddle,"n. 蹒跚；摇摆的步子
vi. 摇摇摆摆地走；蹒跚而行"
swaddle,"n. 襁褓
vt. 用襁褓包；束缚"
rafter,"n. 椽；筏夫（等于raftsman）
vt. 装椽于"
aftermath,n. 后果；余波
aftereffect,n. 后果；余波； 后效
afterthought,n. 事后的想法；后来添加的东西
aftermost,adj. 最后的，最后部的，靠船尾的
aftertaste,n. 回味；余韵
afterlife,n. 来世；死后的生活
aftercare,n. 安置；病后的照顾调养；出狱后的就业辅导
hereafter,"n. 将来；来世
adv. 今后，从此以后"
thereafter,adv. 其后；从那时以后
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
sage,"n. 圣人；贤人；哲人
adj. 明智的；贤明的；审慎的"
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
adage,n. 格言，谚语；箴言
ravage,"n. 蹂躏，破坏
vt. 毁坏；破坏；掠夺
vi. 毁坏；掠夺"
carnage,n. 大屠杀；残杀；大量绝灭
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
homage,n. 敬意；尊敬；效忠
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
dowager,n. 贵妇；继承亡夫爵位的遗孀；老年贵妇人
agog,"adj. 兴奋的；有强烈兴趣的
adv. 热切地；渴望地"
agora,n. 市场；集会
agony,n. 苦恼；极大的痛苦；临死的挣扎
agonize,"vt. 使极度痛苦；折磨
vi. 感到极度痛苦；挣扎"
flagon,n. 酒壶；大肚酒瓶
dragon,n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
lair,"n. （野兽的） 巢穴；躲藏处
vi. 进入兽穴；在穴中休息
vt. 使陷入泥潭；放于穴中"
flair,n. 天资；天分；资质；鉴别力
airport,n. 机场；航空站
airboat,"n. 汽船；空气推进艇
vi. 乘空气推进艇"
airfield,n. 飞机场
airtight,adj. 密闭的，密封的；无懈可击的
aircraft,n. 飞机，航空器
airborne,adj.  空运的；空气传播的；风媒的
gall,"n. 胆汁；五倍子；怨恨；苦味
vt. 烦恼；屈辱；磨伤
vi. 被磨伤"
pall,"n. 幕；棺罩；遮盖物
vt. 覆盖；使乏味
vi. 走味"
mall,n. 购物商场；林荫路；铁圈球场
squall,"n. 暴风；麻烦；高声哭喊；尖叫
vt. 尖声叫着；大声哭喊；起风暴
vi. 嚎啕；尖叫"
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
allot,vt. 分配；拨给；分派
alley,n. 小巷；小路；小径
allay,vt. 减轻；使缓和；使平静
allude,vi. 暗指，转弯抹角地说到；略为提及，顺便提到
allege,vt. 宣称，断言；提出…作为理由
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
catchall,"n. 装杂物的容器；总受器；分沫器
adj. 包罗万象的"
callow,adj. 年轻而无经验的；羽毛未丰的
fallow,"n. 休耕地；休耕
adj. 休耕的；不活跃的
vt. 使（土地）休闲；潜伏"
hallow,"n. 圣徒
vt. 使...神圣；把…视为神圣"
wallow,"n. 打滚；堕落；泥坑
vi. 打滚；沉迷；颠簸"
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
