Hello.,找不到解释
I'm,abbr. 我是（缩写）
I am, 我是；这就是我；唯我是问
Hi.,找不到解释
Good morning!,找不到解释
Good afternoon!,下午好!；再见!
Good evening!,找不到解释
Woof!,找不到解释
Good night!,找不到解释
morning,n. 早晨；黎明；初期
afternoon,n. 午后，下午
evening,"n. 晚上；傍晚；（联欢性的）晚会；后期
adj. 在晚上的；为晚上的；晚上用的
int. 晚上好（等于good evening）"
night,"n. 夜晚，晚上；黑暗，黑夜
adj. 夜晚的，夜间的"
Miss,找不到解释
Miss Li,找不到解释
mum,"adj. 沉默的
n. 妈妈（口语）；沉默；菊花
vi. 演哑剧
int. 别说话"
dad,n. 爸爸；爹爹
this,"adj. 这；本；这个；今
pron. 这；这个；这里
adv. 这样地；这么"
is,"v. 是（be的三单形式）
n. 存在"
This is ...,找不到解释
Goodbye!,找不到解释
Mr,abbr. 先生（Mister）
Mr Green,找不到解释
Is this ...?,找不到解释
a,"n. 字母A；第一流的；学业成绩达最高标准的评价符号
abbr. 安（ampere）"
teddy,n. 连衫衬裤；泰迪玩具熊
box,"n. 箱，盒子；包厢；一拳
vt. 拳击；装…入盒中；打耳光
vi. 拳击"
yes,"n. 是（表示肯定）
adv. 是, 是的"
bag,"n. 袋；猎获物；（俚）一瓶啤酒
vt. 猎获；把…装入袋中；占据，私吞；使膨大
vi. 松垂"
no,"adv. 不
adj. 没有；不是
n. 不；否决票
abbr. 数字（number）；元素锘（nobelium）的符号"
puppy,n. 小狗，幼犬
cherry,n. 樱桃；樱桃树；如樱桃的鲜红色；处女膜，处女
please,"int. 请（礼貌用语）
vt. 使喜欢；使高兴，使满意
vi. 讨人喜欢；令人高兴"
banana,n. 香蕉；喜剧演员；大鹰钩鼻
peach,"n. 桃子；桃树；桃红色；受人喜欢的人（或物）
adj. 桃色的；用桃子制成的
vt. 告发
vi. 告密"
grape,n. 葡萄；葡萄酒；葡萄树；葡萄色
OK.,找不到解释
Thank you.,找不到解释
Look!,找不到解释
Ha! Ha!,找不到解释
look at,"na. 看；考虑
 看着；注视；瞧"
my,"pron. 我的
int. 哎呀（表示惊奇等）；喔唷"
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球"
pink,"n. 粉红色；化身，典范；石竹花；头面人物
adj. 粉红的；比较激进的；石竹科的；脸色发红的
vt. 扎，刺，戳；使…变粉红色；使…面红耳赤
vi. 变粉红色"
it's,abbr. 它的（it has）；它是（it is）
it is, 它是；是的；这是
nice,adj. 精密的；美好的；细微的；和蔼的
red,"n. 红色，红颜料；赤字
adj. 红色的；红肿的，充血的"
blue,"adj. 蓝色的；沮丧的，忧郁的；下流的
n. 蓝色；（美国海、陆、空三军穿的）蓝色制服；蓝颜料；布鲁斯（歌曲）（一种伤感的美国黑人民歌
vi. 变成蓝色，呈蓝色
vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于"
green,"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色"
I,"n. 碘元素；英语字母I
pron. 我"
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
I can ...,找不到解释
dance,"n. 舞蹈；舞会；舞曲
adj. 舞蹈的；用于跳舞的
vt. 跳舞；使跳跃
vi. 跳舞；跳跃；飘扬"
robot,n. 机器人；遥控设备，自动机械；机械般工作的人
sing,"n. 演唱；鸣声；呼啸声
vt. 唱；用诗赞颂；唱着使
vi. 唱歌；歌颂；鸣叫；呼号"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
Great!,找不到解释
cook,"n. 厨师，厨子
vt. 烹调，煮
vi. 烹调，做菜"
Wow!,找不到解释
put on,"na. 假话
 穿上；上演；戴上"
your,pron. 你的，你们的
coat,"n. 外套
vt. 覆盖…的表面"
oh,int. 哦；哎呀（表示惊讶或恐惧等）
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
scarf,"n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围"
beanie,n. 无檐小便帽；（有花饰或羽饰的）小圆女帽
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
