father,"n. 父亲，爸爸；神父；祖先；前辈
vt. 发明，创立；当…的父亲"
mother,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的"
brother,"n. 兄弟；同事；战友
int. 我的老兄！"
sister,"n. 姐妹；（称志同道合者）姐妹；修女；护士
adj. 姐妹般的；同类型的"
a doctor,找不到解释
a nurse,找不到解释
a worker,找不到解释
a cook,找不到解释
sun,"n. 太阳
vt. 使晒
vi. 晒太阳"
moon,"n. 月亮；月球；月光；卫星
vi. 闲荡；出神
vt. 虚度"
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
big,"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地"
small,"n. 小件物品；矮小的人
adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的
adv. 小小地；卑鄙地"
bright,"n. 车头灯光
adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地"
a door,找不到解释
a window,找不到解释
a desk,找不到解释
a sofa,找不到解释
a table,找不到解释
a chair,找不到解释
a carrot,找不到解释
a bean, 试想想一粒豆；一粒豆子
a tomato,找不到解释
a potato,找不到解释
an ant,找不到解释
a butterfly,找不到解释
a flower,找不到解释
a tree, 一棵树；一颗树；作为树的形象和你站在一起
a pie, 一个馅饼；一个派；一块馅饼
a cake, 蛋糕；一块蛋糕；一个蛋糕
a hamburger,找不到解释
a hot dog,热狗
bread,"n. 面包；生计
vt. 在…上洒面包屑"
rice,"n. 稻；米饭
vt. 把…捣成米糊状"
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
juice,n. （水果）汁，液；果汁
a gift, 一件礼物；一个礼物；一份礼物
a bell,找不到解释
a chocolate,找不到解释
a sweet, 糖果；一道甜点
a coat,找不到解释
a sweater,找不到解释
a T-shirt,找不到解释
a skirt, 裙子；一条短裙；短裙
