palace,n. 宫殿；宅邸；豪华住宅
next to,"prep. 紧邻；在…近旁；仅次于；紧接
 在…旁边；紧挨着；与……相邻"
town,n. 城镇，市镇；市内商业区
Canada,n. 加拿大（北美洲国家）
France,n. 法国；法郎士（姓氏）
Japan,n. 日本（东亚国家名）
Russia,n. 俄罗斯
UK,"n. 英国
abbr. 联合王国（United Kingdom）"
United Kingdom,"n. 英国
 联合王国；大英联合王国；大不列颠联合王国"
London,n. 伦敦
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
mile,n. 英里；一英里赛跑；较大的距离
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
centre,"n. 中心
adj. 中央的
vt. 集中；将…放在中央
vi. 以…为中心"
center,"n. 中心，中央；中锋；中心点
adj. 中央的，位在正中的
vt. 集中，使聚集在一点；定中心
vi. 居中，被置于中心"
living room,"n. 客厅；起居室
 客厅系列；起居定；小客厅"
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
share sth. with sb.,找不到解释
bedroom,"n. 卧室
adj. 两性关系的；城郊住宅区的"
own,"vt. 拥有；承认
vi. 承认
adj. 自己的；特有的
n. 自己的"
bathroom,n. 浴室；厕所；盥洗室
balcony,n. 阳台；包厢；戏院楼厅
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
sea,n. 海；海洋；许多；大量
dining room,"n. 饭厅；餐厅
 食堂；餐室；厨房"
zero,"num. 零
n. 零点，零度"
hundred,"num. 百；百个
n. 一百；许多
adj. 一百的；许多的"
thousand,"n. 一千；一千个；许许多多
adj. 成千的；无数的"
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
feet,n. 脚（foot的复数形式）；尺；韵脚
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地"
metre,n. 米；公尺；韵律
meter,"n. 米；仪表； 公尺；韵律
vt. 用仪表测量
vi. 用表计量"
area,n. 区域，地区；面积；范围
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
fork,"n. 叉；餐叉；耙
vt. 叉起；使成叉状
vi. 分叉；分歧"
fridge,n. 电冰箱
refrigerator,n. 冰箱，冷藏库
knife,"n. 刀；匕首
vt. 用刀切；（口）伤害
vi. 劈开；划过"
knives,"n. 刀子（knife的复数）
v. 用小刀切；刀切似的穿过（knife的三单形式）"
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
shower,"n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨
vt. 大量地给予；把……弄湿
vi. 淋浴；下阵雨"
sofa,n. 沙发；长椅
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
be full of,"na. 充满…(的)
 充满了；装满；充满他"
of one's own,"na. 自己的
 属于某人自己的；属于自己的；某人的自己的"
some day,"adv. 总有一天；有朝一日；将来
 某一天；某天；来日"
may,aux. 可以，能够；可能，也许；祝，愿；会，能
message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
take a message,"v. 传话
 捎口信；捎个口信；留言"
call sb. back,"na. 取消；喊回；回一个电话；再打一个电话来
 回电话；收回；回调"
double,"n. 两倍；双精度型
adj. 双重的；两倍的
vt. 使加倍
adv. 双重地；两倍地；弓身地
vi. 加倍，加倍努力；快步走"
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
machine,"n. 机械，机器；机构；机械般工作的人
vt. 用机器制造"
washing machine,"n. 洗衣机
 洗涤机；清洗机；求购洗衣机"
at the foot of,"prep. 在…的下部
 在……脚下；在…的脚下；在山脚下"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
football field, 足球场；足球场地；美式足球场
home cinema,"n. 家庭影院
 家庭剧院；家庭影院机；家庭电影室"
invite,"n. 邀请
vt. 邀请，招待；招致"
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
neighbour,"n. n. 邻居;同胞；仁慈的人
vt. 邻接
vi. 住在邻近；毗邻；友善，和睦
adj. 邻居的；邻近的"
neighbor,"n. 邻居
adj. 邻近的
vi. 友好；毗邻而居
vt. 邻接"
wow,"n. 极大的成功；一鸣惊人之举；魔兽世界(World of Warcraft)；失真
int. （表示极大的惊奇或钦佩）哇，呀"
will,"n. 意志；决心；情感；遗嘱；意图；心愿
vt. 决心要；遗赠；用意志力使
vi. 愿意；下决心
aux. 将；愿意；必须"
visitor,n. 访问者，参观者；视察者；候鸟
