thirsty,adj. 口渴的，口干的；渴望的，热望的
honest,adj. 诚实的，实在的；可靠的；坦率的
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的"
keep a secret,"na. 守秘密；(保)守秘密
 保守秘密；保密；保守机密"
joy,"n. 欢乐，快乐；乐趣；高兴
vi. 欣喜，欢喜
vt. 高兴，使快乐"
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑"
care about,"v. 在意
 关心；在乎；担心"
yourself,pron. 你自己
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
magazine,n. 杂志；弹药库；胶卷盒
good-looking,adj. 好看的；美貌的
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
polite,adj. 有礼貌的，客气的；文雅的；上流的；优雅的
tidy,"n. 椅子的背罩
adj. 整齐的；相当大的
vi. 整理；收拾
vt. 整理；收拾；弄整齐"
make,"vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成
vi. 开始；前进；增大；被制造
n. 制造；构造；性情"
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置"
joke,"n. 玩笑，笑话；笑柄
vt. 开…的玩笑
vi. 开玩笑"
true,"n. 真实；准确
adj. 真实的；正确的
vt. 装准
adv. 真实地；准确地"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）"
any time,"adv. 在任何时候；随便什么时候
 随时；任何时间；在任何时间"
anytime,adv. 任何时候；无例外地
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
singer,n. 歌手，歌唱家
almost,adv. 差不多，几乎
round,"n. 圆；循环；一回合；圆形物
prep. 附近；绕过；大约；在…周围
adj. 圆的；完全的；大概的；肥胖的
vt. 完成；围捕；绕行；弄圆
adv. 在周围；迂回地；朝反方向；挨个
vi. 进展；变圆；环行；发胖"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
humour,"n. 幽默（等于humor）；诙谐
vt. 迁就；使满足"
humor,"n. 幽默，诙谐；心情
vt. 迎合，迁就；顺应"
bored,"v. 使厌烦（bore的过去式）；烦扰
adj. 无聊的；无趣的；烦人的"
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
knock,"vi. 敲；打；敲击
vt. 敲；打；敲击；批评
n. 敲；敲打；爆震声"
onto,"prep. 在…之上；对…了解；映射到…上
adj. 映射的；自身的；映成的"
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
sweet,"n. 糖果；乐趣；芳香；宝贝
adj. 甜的；悦耳的；芳香的；亲切的
（俚）酷毙了"
smile,"n. 微笑；笑容；喜色
vt. 微笑着表示
vi. 微笑"
personality,n. 个性；品格；名人
choose,"vt. 选择，决定
vi. 选择，挑选"
worse,"n. 更坏的事；更恶劣的事
adj. 更坏的；更差的；更恶劣的（bad的比较级）；（病情）更重的（ill的比较级）
adv. 更糟；更坏；更恶劣地；更坏地"
worst,"n. 最坏；最坏的时候
adj. 最差的，最坏的；最不利的；效能最低的
adv. 最坏地；最不利地"
height,n. 高地；高度；身高；顶点
weight,"n. 重量，重力；负担；砝码；重要性
vt. 加重量于，使变重"
sec.,abbr. second 秒
second,"num. 第二
n. 秒；第二名；瞬间；二等品
adj. 第二的；次要的；附加的
vt. 支持
adv. 第二；其次；居第二位"
competition,n. 竞争；比赛，竞赛
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试"
swimmer,n. 游泳者
plan,"n. 计划；平面图
vt. 计划；设计；打算
vi. 计划；打算"
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
social worker,"n. 社会工作者
 社工；社会福利工作者；社会工作员"
ponytail,n. 马尾辫
shy,"n. 投掷；惊跳
adj. 害羞的；畏缩的，胆怯的
vi. 投；畏缩；惊退；厌恶
vt. 投；乱掷"
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地"
smiling,adj. 微笑的；欢快的
handsome,adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
fat,"n. 脂肪，肥肉
adj. 肥的，胖的；油腻的；丰满的
vt. 养肥；在…中加入脂肪
vi. 长肥"
hard-working,adj. 勤勉的；勤奋的；勤劳的
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
smile,"n. 微笑；笑容；喜色
vt. 微笑着表示
vi. 微笑"
unhappy,adj. 不快乐的；不幸福的；不适当的
excellent,adj. 卓越的；极好的；杰出的
advertisement,n. 广告，宣传
ad,n. 公元；广告（ad）
British,"n. 英国人
adj. 英国的；英国人的；大不列颠的"
biscuit,n. 小点心，饼干
lorry,n. （英）卡车； 货车；运料车
rubber,"n. 橡胶；橡皮；合成橡胶；按摩师
adj. 橡胶制成的
vt. 涂橡胶于；用橡胶制造
vi. 扭转脖子看；好奇地引颈而望"
American,"n. 美国人，美洲人；美国英语
adj. 美国的，美洲的；地道美国式的"
eraser,n. 橡皮；擦除器； 清除器
soccer,n. 英式足球，足球
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
cookie,n. 饼干；小甜点
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
truck,"n. 卡车；交易；手推车
adj. （美）运货汽车的
vt. 交易；以卡车运输
vi. 驾驶卡车；以物易物"
yard,"n. 院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁
vt. 把…关进或围在畜栏里"
movie,"n. 电影；电影院；电影业
adj. 电影的"
mixed,"adj. 混合的；形形色色的；弄糊涂的
v. 混合；弄混（mix的过去式和过去分词）"
French,"n. 法国人；法语
adj. 法国的；法语的；法国人的"
foreign,adj. 外国的；外交的；异质的；不相关的
language,n. 语言；语言文字；表达能力
during,prep. 在…的时候，在…的期间
discuss,vt. 讨论；论述，辩论
in class,"na. 在上课；在上课中
 在课堂上；在课上；上课时"
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑"
buddy,"n. 伙伴，好朋友；密友；小男孩
vi. 做好朋友，交朋友"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
end,"n. 结束；目标；尽头；末端；死亡
vi. 结束，终止；终结
vt. 结束，终止；终结"
baseball,n. 棒球；棒球运动
win,"n. 赢；胜利
vt. 赢得；在…中获胜；劝诱
vi. 赢；获胜；成功"
least,"adj. 最小的；最少的（little的最高级）
adv. 最小；最少
n. 最小；最少"
further,"adj. 更远的；深一层的
vt. 促进，助长；增进
adv. 进一步地；而且；更远地"
farther,"adj. 进一步的；更远的（far的比较级）
adv. 更远地；此外；更进一步地"
far,"n. 远方
adj. 远的；久远的
adv. 很；遥远地；久远地；到很远的距离；到很深的程度"
furthest,"adj. 最远的；最遥远的（far的一种最高级）
adv. 最远地；最大程度地（far的一种最高级）"
farthest,"adj. 最远的；最久的（far的最高级）
adv. 最远地（far的最高级）；最大程度地"
far,"n. 远方
adj. 远的；久远的
adv. 很；遥远地；久远地；到很远的距离；到很深的程度"
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
spend time on sth.,找不到解释
spend time doing sth.,找不到解释
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
chess,n. 国际象棋，西洋棋
at most,"na. 至多
 最多；不超过；顶多"
daily,"n. 日报；朝来夜去的女佣
adj. 日常的；每日的
adv. 日常地；每日；天天"
weekly,"n. 周刊
adj. 每周的；周刊的；一周一次的
adv. 每周一次；逐周"
quick,"n. 核心；伤口的嫩肉
adj. 快的；迅速的，敏捷的；灵敏的
adv. 迅速地，快"
