triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
victory,n. 胜利；成功；克服
success,n. 成功，成就；胜利；大获成功的人或事物
conquest,n. 征服，战胜；战利品
triumphal,adj. 凯旋的，胜利的
triumphantly,adv. 成功地；耀武扬威地
crucial,adj. 重要的；决定性的；定局的；决断的
important,adj. 重要的，重大的；有地位的；有权力的
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
vital,adj. 至关重要的；生死攸关的；有活力的
decisive,adj. 决定性的；果断的，坚定的
conclusive,adj. 决定性的；最后的；确实的；确定性的
crucially,adv. 关键地；至关重要地
inevitable,adj. 必然的，不可避免的
inescapable,adj. 不可避免的；逃脱不了的
doomed,"adj. 注定的；命定的
v. 注定；宣判（doom的过去分词）"
destined,"v. 注定（destine的过去式和过去分词）
adj. 注定的；命定的；去往…的"
inevitably,adv. 不可避免地；必然地
inevitability,n. 必然性；不可逃避
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
intellectually,adv. 智力上；理智地；知性上
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
anti-intellectualism,n. 反智主义
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
brain,"n. 头脑，智力；脑袋
vt. 猛击…的头部"
mentality,n. 心态； 智力；精神力；头脑作用
wit,"n. 智慧；才智；智力
v. <古>知道；即"
wisdom,n. 智慧，才智；明智；学识；至理名言
information,n. 信息，资料；知识；情报；通知
news,n. 新闻，消息；新闻报导
intelligent,adj. 智能的；聪明的；理解力强的
unintelligible,adj. 莫名其妙的；无法了解的
intelligible,adj. 可理解的；明了的；仅能用智力了解的
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
comparison,n. 比较；对照；比喻；比较关系
comparative,"n. 比较级；对手
adj. 比较的；相当的"
comparable,adj. 可比较的；比得上的
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
accomplish,vt. 完成；实现；达到
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
acquire,vt. 获得；取得；学到；捕获
obtain,"vi. 获得；流行
vt. 获得"
