curly,adj. 卷曲的；卷毛的；（木材）有皱状纹理的；蜷缩的
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
tall,"adj. 高的；长的；过分的；夸大的
adv. 夸大地"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
height,n. 高地；高度；身高；顶点
of medium height,找不到解释
be of medium height,找不到解释
thin,"n. 细小部分
adj. 薄的；瘦的；稀薄的；微弱的
vt. 使瘦；使淡；使稀疏
vi. 变薄；变瘦；变淡
adv. 稀疏地；微弱地"
heavy,"n. 重物；严肃角色
adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的
adv. 大量地；笨重地"
build,"n. 构造；体形；体格
vi. 建筑；建造
vt. 建立；建筑"
of medium build,找不到解释
be of medium build,找不到解释
tonight,"n. 今晚
adv. 在今晚"
little,"adj. 小的；很少的；短暂的；小巧可爱的
adv. 完全不
n. 少许；没有多少；短时间"
a little,"n. 一点
 一些；少许；有点"
cinema,n. 电影；电影院；电影业，电影制作术
glasses,"n.  眼镜；玻璃（glass的复数形式）；双筒望远镜
v. 把…装入玻璃容器内；给…装上玻璃（glass的第三人称单数形式）"
later,"adv. 后来；稍后；随后
adj. 更迟的；更后的"
a little,"n. 一点
 一些；少许；有点"
cinema,n. 电影；电影院；电影业，电影制作术
glasses,"n.  眼镜；玻璃（glass的复数形式）；双筒望远镜
v. 把…装入玻璃容器内；给…装上玻璃（glass的第三人称单数形式）"
later,"adv. 后来；稍后；随后
adj. 更迟的；更后的"
handsome,adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
actor,n. 男演员；行动者；作用物
actress,n. 女演员
person,n. 人；身体；容貌，外表；人称
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
blonde,"n. 白肤金发碧眼的女人
adj. 亚麻色的；金色的；白皙的；白肤金发碧眼的"
blond,"adj. 金发的
n. 白肤碧眼金发的人"
mouth,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话"
round,"n. 圆；循环；一回合；圆形物
prep. 附近；绕过；大约；在…周围
adj. 圆的；完全的；大概的；肥胖的
vt. 完成；围捕；绕行；弄圆
adv. 在周围；迂回地；朝反方向；挨个
vi. 进展；变圆；环行；发胖"
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖"
eye,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看"
singer,n. 歌手，歌唱家
artist,n. 艺术家；美术家（尤指画家）；大师
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
put,"n. 掷；笨蛋；投击；怪人
adj. 固定不动的
vi. 出发；击；航行；发芽
vt. 放；表达；移动；安置；赋予"
each,"adj. 每；各自的
pron. 每个；各自
adv. 每个；各自"
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
describe,vt. 描述，形容；描绘
differently,adv. 不同地；差异；各种
another,"prep. 另一个；另一个人
adj. 又一，另一；另外的；不同的
pron. 另一个；又一个"
end,"n. 结束；目标；尽头；末端；死亡
vi. 结束，终止；终结
vt. 结束，终止；终结"
in the end,"na. 终于
 最后；最终；结果到头来"
real,"n. 现实；实数
adj. 实际的；真实的；实在的
adv. 真正地；确实地"
jeans,n. 牛仔裤；工装裤
Johnny,找不到解释
Dean,找不到解释
Tina,找不到解释
Jackson,找不到解释
noodle,n. 面条；笨蛋
mutton,n. 羊肉
beef,"n. 牛肉；肌肉；食用牛；牢骚
vt. 养；加强
vi. 抱怨，告发；发牢骚"
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
potato,n.  土豆， 马铃薯
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
would,"aux. 将，将要；愿意
v. will的过去式"
would like,"v. 想要
 愿意；希望；想要某东西"
yet,"conj. 但是；然而
adv. 还；但是；已经"
large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大"
waitress,"n. 女服务员；女侍者
vi. 做女服务生"
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
take one's order,找不到解释
size,"n. 大小；尺寸
adj. 一定尺寸的
vt. 依大小排列
vi. 可比拟"
bowl,"n. 碗；木球；大酒杯
vt. 投球；旋转；平稳快速移动
vi. 玩保龄球；滑动；平稳快速移动"
one bowl of ...,找不到解释
one large bowl of ...,找不到解释
tofu,n. 豆腐
meat,n. 肉，肉类（食用）
dumpling,n. 饺子，汤团；面团布丁
porridge,"n. 粥，糊；麦片粥
vt. 服刑"
onion,n. 洋葱；洋葱头
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
pancake,"n. 薄烤饼；粉饼；平降（全称pancake landing）
vt. 使平坠著陆；使平展
vi. 平坠着陆；平展"
world,n. 世界；领域；世俗；全人类；物质生活
around the world,"un. 环球
 环游世界；世界各地；全世界"
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
different,adj. 不同的；个别的，与众不同的
candle,"n. 蜡烛；烛光；烛形物
vt. 对着光检查"
age,"n. 年龄；时代；寿命，使用年限；阶段
vt. 使成熟；使变老，使上年纪
vi. 成熟；变老"
make a wish, 许愿；许个愿；许一个愿望
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
blow out,"na. 取消；停止鼓风；(吹)胀；吹破
 吹灭；吹熄；凶线"
if,"conj. （表条件）如果；即使；是否；（表假设）假如
n. 条件；设想"
