stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
exist,vi. 存在；生存；生活；继续存在
estate,n. 房地产；财产；身份
substance,n. 物质；实质；资产；主旨
status,n. 地位；状态；情形；重要身份
consist,vi. 由…组成；在于；符合
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
insist,"vi. 坚持，强调
vt. 坚持，强调"
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
constitute,vt. 组成，构成；建立；任命
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
establish,"vi. 植物定植
vt. 建立；创办；安置"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
superstition,n. 迷信
prestige,n. 威望，声望；声誉
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
statesman,n. 政治家；国务活动家
transistor,n. 晶体管（收音机）
destination,n. 目的地，终点
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
destine,vt. 注定；命定；预定
actual,adj. 真实的，实际的；现行的，目前的
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
performance,n. 性能；绩效；表演；执行；表现
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
action,n. 行动；活动；功能；战斗；情节
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
activity,n. 活动；行动；活跃
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
agency,n. 代理，中介；代理处，经销处
transact,"vt. 办理；处理
vi. 交易；谈判"
actor,n. 男演员；行动者；作用物
acting,"n. 演技；演戏；假装
adj. 代理的；装腔作势的"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
agenda,n. 议程；日常工作事项；日程表
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
actualize,vt. 实施，实行；实现
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
