state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
statute,n.  法规；法令；条例
manifestation,n. 表现；显示；示威运动
statistic,"n. 统计数值
adj. 统计的，统计学的"
statistical,adj. 统计的；统计学的
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
statement,n. 声明；陈述，叙述；报表，清单
understatement,n. 保守的陈述；不充分的陈述；有保留的陈述
overstate,vt. 夸张；夸大的叙述
statesman,n. 政治家；国务活动家
estate,n. 房地产；财产；身份
devastate,vt. 毁灭；毁坏
devastating,"adj. 毁灭性的；全然的
v. 摧毁（devastate的ing形式）；毁坏"
workstation,n. 工作站
status,n. 地位；状态；情形；重要身份
assert,vt. 维护，坚持；断言；主张；声称
affirm,"vt. 肯定；断言
vi. 确认；断言"
public,"n. 公众；社会；公共场所
adj. 公众的；政府的；公用的；公立的"
publication,n. 出版；出版物；发表
republican,"n. 共和党人
adj. 共和党的
共和的"
publicity,n. 宣传，宣扬；公开；广告；注意
publicized,v. 宣传（publicize的过去分词）；公布；广告
publicly,adv. 公然地；以公众名义
in public,"na. 公然
 当众；公开地；在公共场合"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
law,"n. 法律；规律；法治；法学；诉讼；司法界
vi. 起诉；控告
vt. 控告；对…起诉"
claw,"n. 爪；螯，钳；爪形器具
vi. 用爪抓（或挖）
vt. 用爪抓（或挖）"
lawful,adj. 合法的；法定的；法律许可的
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
lawyer,n. 律师；法学家
legislation,n. 立法；法律
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
meaning,"n. 意义；含义；意图
adj. 意味深长的
v. 意味；意思是（mean的ing形式）"
well-meaning,adj. 善意的；好心的
meaningless,adj. 无意义的；无目的的
meaningfully,adv. 有意义地；意味深长地；有意图地
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） "
meanwhile,"adv. 同时，其间
n. 其间，其时"
by means of,"na. 以
 用；依靠；借助于"
by no means,"na. 决不；并没有
 一点也不；绝不；无论如何决不"
indicate,vt. 表明；指出；预示；象征
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
alive,adj. 活着的；活泼的；有生气的
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
delivery,n.  交付；分娩；递送
outlive,vt. 比…活得长；比…经久；经受住；渡过…而存在
liveliness,n. 活泼；热烈；鲜明
livelihood,n. 生计，生活；营生
live off,"na. 住在…之外；以…为生
 靠…生活；靠……供养；依赖…生活"
dwell,vi. 居住；存在于；细想某事
reside,vi. 住，居住；属于
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
survival,n. 幸存，残存；幸存者，残存物
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
federation,n. 联合；联邦；联盟；联邦政府
FBI,abbr. （美国）联邦调查局（Federal Bureau of Investigation）；英国工业联合会（Federation of British Industries）
CIA,abbr. 中央情报局（Central Intelligence Agency）
large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大"
largely,adv. 主要地；大部分；大量地
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
at large,"na. 随便；拉杂地
 逍遥法外；在逃；未被捕获的"
bulky,adj. 体积大的；庞大的；笨重的
outsize,"adj. 特大的
n. 特大号"
huge,adj. 巨大的；庞大的；无限的
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
market,"n. 市场；行情；股票市场；市面；集市；销路；商店
vt. 在市场上出售
vi. 做买卖"
marketplace,n. 市场；商场；市集
marked,"adj. 显著的；有记号的
v. 表示（mark的过去分词）；作记号；打分数"
marketer,n.  市场商人；市场营销人员
