work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
work against, 对……不利；对…产生不利的作用和影响；反对
work on,"na. 对…有效；动(人,感情等)；向…做工作；左右
 从事；致力于；继续工作"
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
workout,n. 锻炼；练习；试验
workplace,n. 工作场所；车间
workaholic,"n. 专心工作的人；醉心于工作的人；为免遭辞退而工作过份卖力的人
adj. 醉心于工作的"
workstation,n. 工作站
patchwork,n. 拼缝物，拼缀物；混杂物
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦"
labour,n. （英国）工党
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
stated,"v. 规定（state的过去分词）；陈述；阐明
adj. 规定的；阐明的；定期的"
statement,n. 声明；陈述，叙述；报表，清单
overstate,vt. 夸张；夸大的叙述
status,n. 地位；状态；情形；重要身份
statute,n.  法规；法令；条例
estate,n. 房地产；财产；身份
statistical,adj. 统计的；统计学的
statistic,"n. 统计数值
adj. 统计的，统计学的"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
asocial,adj. 自私的；不合群的；缺乏社交性的
sociable,"n. 联谊会
adj. 社交的；好交际的；友善的"
society,n. 社会；交往；社团；社交界
sociologist,n. 社会学家
public,"n. 公众；社会；公共场所
adj. 公众的；政府的；公用的；公立的"
publicly,adv. 公然地；以公众名义
publicize,vt. 宣传；公布
publication,n. 出版；出版物；发表
republican,"n. 共和党人
adj. 共和党的
共和的"
human,"n. 人；人类
adj. 人的；人类的"
nonhuman,adj. 非人类的
humanity,n. 人类；人道；仁慈；人文学科
humankind,n. 人类（总称）
humane,adj. 仁慈的，人道的；高尚的
humanist,"n. 人道主义者；人类学者，人文学者；人文主义者
adj. 人文主义的；人道主义的"
anthropology,"n. 人类学
人类学家"
anthropologist,n. 人类学家；人类学者
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
government,n. 政府；政体；管辖
government-funded,政府资助的
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
governor,n. 主管人员；统治者，管理者； 调节器；地方长官
governance,n. 管理；统治；支配
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
with one accord,"na. 一致地
 异口同声地；同心合意；全体一致地"
in accord with,"un. 符合；与…和谐；一致；与…观点一致
 与…一致；和……一致；同……不一致"
in accordance with,"na. 照；与…一致
 按照；根据；依照"
of one's own accord,"na. 自愿地
 主动地；出于自愿；自愿的"
