purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
responsible,adj. 负责的，可靠的；有责任的
accountable,adj. 有责任的；有解释义务的；可解释的
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
generate,vt. 使形成；发生；生殖；产生物理反应
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
attribute,"n. 属性；特质
vt. 归属；把…归于"
based on,找不到解释
depend on,"v. 依靠
 依赖；取决于；视……而定"
rely on,"v. 依靠；信赖
 依赖；依仗；凭借"
due to,"un. 由于；预定；因为；亏
 应归于；由於；由…引起"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
on account of,"na. 因为
 由于；为了；基于"
consequence,n. 结果；重要性；推论
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
induce,vt. 诱导；引起；引诱；感应
underlie,vt. 成为……的基础；位于……之下
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
derive,"vt. 源于；得自；获得
vi. 起源"
thanks to,"v. 感谢；幸亏；多亏
 由于；多亏了；归功于"
owing to,"conj. 由于；因为
prep. 因为；由于
 归因于；由于…的原因；多亏"
lead to,"na. 通向
 导致；引起；通往"
since,"conj. 因为；由于；既然；自…以来；自…以后
prep. 自…以来；自…以后
adv. 后来"
hence,adv. 因此；今后
eventually,adv. 最后，终于
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
alter,"vt. 改变，更改
vi. 改变；修改"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
modify,"vt. 修改，修饰；更改
vi. 修改"
mend,"vt. 修理，修补；改善；修改
vi. 改善，好转
n. 好转，改进；修补处"
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
assess,vt. 评定；估价；对…征税
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
criteria,n. 标准，条件（criterion的复数）
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
crucial,adj. 重要的；决定性的；定局的；决断的
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
solely,adv. 单独地，唯一地
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
necessity,n. 需要；必然性；必需品
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
vital,adj. 至关重要的；生死攸关的；有活力的
emphasise,vt. （英）强调；加强…的语气（等于emphasize ）
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
sharpen,"vt. 削尖；磨快；使敏捷；加重
vi. 尖锐；变锋利"
priority,n. 优先；优先权； 优先次序；优先考虑的事
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
encourage,vt. 鼓励，怂恿；激励；支持
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
enhance,vt. 提高；加强；增加
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
facilitate,vt. 促进；帮助；使容易
provoke,vt. 驱使；激怒；煽动；惹起
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
cooperate,vi. 合作，配合；协力
coordination,n. 协调，调和；对等，同等
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
impulsive,adj. 冲动的；受感情驱使的；任性的
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
enlighten,vt. 启发，启蒙；教导，开导；照耀
surpass,vt. 超越；胜过，优于；非…所能办到或理解
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
deter,vt. 制止，阻止；使打消念头
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
impair,vt. 损害；削弱；减少
impede,vt. 阻碍；妨碍；阻止
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
constrain,vt. 驱使；强迫；束缚
detain,vt. 拘留；留住；耽搁
prohibit,vt. 阻止，禁止
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
violate,vt. 违反；侵犯，妨碍；亵渎
eliminate,vt. 消除；排除
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
mislead,vt. 误导；带错
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
limit,"n. 限制；限度；界线
vt. 限制；限定"
restrict,vt. 限制；约束；限定
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
loss,n. 减少；亏损；失败；遗失
deceptive,adj. 欺诈的；迷惑的；虚伪的
conceal,vt. 隐藏；隐瞒
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
put off,"na. 延期；辩解
 推迟；拖延；推延"
attitude,n. 态度；看法；意见；姿势
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
approval,n. 批准；认可；赞成
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
unexpectedly,adv. 出乎意料地，意外地
insist,"vi. 坚持，强调
vt. 坚持，强调"
persistence,n. 持续；固执；存留；坚持不懈；毅力
sympathy,n. 同情；慰问；赞同
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
gratitude,n. 感谢（的心情）；感激
affirm,"vt. 肯定；断言
vi. 确认；断言"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
optimistic,adj. 乐观的；乐观主义的
preference,n. 偏爱，倾向；优先权
favourable,"n. 有利
adj. 有利的，顺利的；赞成的"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
enthusiasm,n. 热心，热忱，热情
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
faith,n. 信仰；信念；信任；忠实
confirm,vt. 确认；确定；证实；批准；使巩固
feasible,adj. 可行的；可能的；可实行的
viable,adj. 可行的；能养活的；能生育的
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
conservative,找不到解释
hesitant,adj. 迟疑的；踌躇的；犹豫不定的
reluctant,adj. 不情愿的；勉强的；顽抗的
indifference,n. 漠不关心；冷淡；不重视；中立
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
