state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
proclaim,vt. 宣告，公布；声明；表明；赞扬
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
assert,vt. 维护，坚持；断言；主张；声称
affirm,"vt. 肯定；断言
vi. 确认；断言"
allege,vt. 宣称，断言；提出…作为理由
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
situation,n. 情况；形势；处境；位置
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
move,"n. 移动；步骤；迁居；策略
vi. 移动；搬家，迁移；离开
vt. 移动；感动"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
transition,n. 过渡；转变； 转换；变调
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
alter,"vt. 改变，更改
vi. 改变；修改"
modify,"vt. 修改，修饰；更改
vi. 修改"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
regulate,vt. 调节，规定；控制；校准；有系统的管理
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
law,"n. 法律；规律；法治；法学；诉讼；司法界
vi. 起诉；控告
vt. 控告；对…起诉"
statute,n.  法规；法令；条例
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
consequence,n. 结果；重要性；推论
outcome,n. 结果，结局；成果
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
