abdicate,"vt. 退位；放弃
vi. 退位；放弃"
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
abolish,vt. 废除，废止；取消，革除
abound,vi. 富于；充满
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
abundantly,adv. 丰富地；大量地
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
accuracy,n.  精确度，准确性
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
acknowledge,vt. 承认；答谢；报偿；告知已收到
acquire,vt. 获得；取得；学到；捕获
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
adaptable,adj. 适合的；能适应的；可修改的
adequate,adj. 充足的；适当的；胜任的
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
adjoining,"adj. 邻接的；毗连的
v. 邻接（adjoin的ing形式）"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
administration,n. 管理；行政；实施；行政机构
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
adornment,n. 装饰；装饰品
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
affiliation,n. 友好关系；加入；联盟；从属关系
affirm,"vt. 肯定；断言
vi. 确认；断言"
agency,n. 代理，中介；代理处，经销处
aggravate,vt. 加重；使恶化；激怒
aggregation,n.  聚合，聚集；聚集体，集合体
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
agitated,"v. 焦虑；鼓动（agitate的过去分词）
adj. 激动的；焦虑的；表现不安的"
agony,n. 苦恼；极大的痛苦；临死的挣扎
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
allay,vt. 减轻；使缓和；使平静
allegation,n. 指控; 陈述，主张; 宣称; 陈词，陈述;
alleviate,vt. 减轻，缓和
alliance,n. 联盟，联合；联姻
allocation,n. 分配，配置；安置
alter,"vt. 改变，更改
vi. 改变；修改"
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
ambiguous,adj. 模糊不清的；引起歧义的
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
analogy,n. 类比；类推；类似
ancestor,n. 始祖，祖先；被继承人
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
anonymity,n. 匿名；匿名者；无名之辈
anticipate,vt. 预期，期望；占先，抢先；提前使用
apparent,adj. 显然的；表面上的
