abbreviate,"vt. 缩写，使省略；使简短
vi. 使用缩写词"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
according,"adj. 相符的；一致的；相应的；和谐的；调和的
adv. 依照；根据；按照
v. 给予( accord的现在分词 )；使和谐一致；使符合；使适合"
acronym,n. 首字母缩略词
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
alter,"vt. 改变，更改
vi. 改变；修改"
always,adv. 永远，一直；总是；常常
analogy,n. 类比；类推；类似
analysis,n. 分析；分解；验定
analyze,vt. 对…进行分析，分解（等于analyse）
annotate,"vt. 注释；作注解
vi. 注释；给…作注释或评注"
anticipate,vt. 预期，期望；占先，抢先；提前使用
application,n. 应用；申请；应用程序；敷用
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
argument,n. 论证；论据；争吵；内容提要
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
aspects,n. 方面；相位；面貌（aspect的复数）
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
assert,vt. 维护，坚持；断言；主张；声称
assess,vt. 评定；估价；对…征税
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
assumption,n. 假定；设想；担任；采取
audience,n. 观众；听众；读者；接见；正式会见；拜会
authentic,adj. 真正的，真实的；可信的
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
brainstorm,"n. 集思广益；头脑风暴；灵机一动
vt. 集体讨论；集思广益以寻找
vi. 集体讨论；动脑筋；出主意"
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
category,n. 种类，分类； 范畴
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
chronology,n. 年表；年代学
citation,n. 引用，引证； 传票；褒扬
cite,vt. 引用；传讯；想起；表彰
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
compile,vt. 编译；编制；编辑； 汇编
complement,"n. 补语；余角；补足物
vt. 补足，补助"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
composition,n. 作文，作曲，作品； 构成；合成物；成分
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
concise,adj. 简明的，简洁的
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
conclusion,n. 结论；结局；推论
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
conditions,"n. 条件（condition的复数）；情况
v. 使习惯于；作为…的条件（condition的第三人称单数形式）"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
confirm,vt. 确认；确定；证实；批准；使巩固
consequence,n. 结果；重要性；推论
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
consist,vi. 由…组成；在于；符合
consistent,adj. 始终如一的，一致的；坚持的
consistently,adv. 一贯地；一致地；坚实地
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
constitutes,v. 构成（constitute的单三形式）；组成
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
context,n. 环境；上下文；来龙去脉
continuum,n.  连续统； 连续统一体；闭联集
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
convey,vt. 传达；运输；让与
copy,"n. 副本；一册；摹仿
vt. 复制；复印；抄袭
vi. 复制；复印；抄袭"
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
correspond,vi. 符合，一致；相应；通信
credible,adj. 可靠的，可信的
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
criteria,n. 标准，条件（criterion的复数）
critique,"n. 批评；评论文章
vt. 批判；评论"
crucial,adj. 重要的；决定性的；定局的；决断的
cumulative,adj. 累积的
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
deduce,vt. 推论，推断；演绎出
defend,"vi. 保卫；防守
vt. 辩护；防护"
define,vt. 定义；使明确；规定
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
depict,vt. 描述；描画
derive,"vt. 源于；得自；获得
vi. 起源"
describe,vt. 描述，形容；描绘
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
detect,vt. 察觉；发现；探测
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
diction,n. 用语；措词
differentiate,"vt. 区分，区别
vi. 区分，区别"
