a,"n. 字母A；第一流的；学业成绩达最高标准的评价符号
abbr. 安（ampere）"
an,art. 一（在元音音素前）
away,adv. 离去，离开；在远处
bag,"n. 袋；猎获物；（俚）一瓶啤酒
vt. 猎获；把…装入袋中；占据，私吞；使膨大
vi. 松垂"
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙"
bike,"n. 自行车；脚踏车
vi. 骑自行车（或摩托车）"
blow a kiss, 飞吻；给一个飞吻；来个飞吻吧
boy,n. 男孩；男人
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住"
clock,"n. 时钟；计时器
vt. 记录；记时
vi. 打卡；记录时间"
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
crazy,adj. 疯狂的；狂热的，着迷的
do,"vi. 行，足够；生长
n. 要求；规定；C大调音阶中的第一音
v. 做；干；学习；研究；进行；完成；解答；整理；算出；引起；行过
aux. 助动词（构成疑问句和否定句）；（代替动词）；（用于加强语气）
n. （口语）事件；（主英国口语）诈骗；（主英国、新西兰口语）宴会；（口语）必须做到的事情"
don't,"n. 禁忌（等于do not）
aux. 表示否定（等于do not）"
do not,找不到解释
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
go to school,"na. 到校上课；上学去；开始求学
 去上学；去学校；到学校去"
have,"aux. 已经
vt. 有；让；拿；从事；允许"
kiss,"vt. 吻；（风等）轻拂
vi. 接吻；（风等）轻触
n. 吻；轻拂"
policeman,n. 警察，警员； 淀帚（橡皮头玻璃搅棒）
ride,"n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
vi. 骑马；乘车；依靠；漂浮
vt. 骑；乘；控制；（骑马、自行车等）穿越；搭乘；飘浮"
school,"n. 学校；学院；学派；鱼群
vt. 教育"
street,"n. 街道
adj. 街道的"
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
 拿出；去掉；拿出来"
through,"prep. 通过；穿过；凭借
adj. 直达的；过境的；完结的
adv. 彻底；从头至尾"
April,n. 四月
August,找不到解释
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的"
Canada,n. 加拿大（北美洲国家）
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
December,n. 十二月
February,n. 二月
how old,"conj. 多少岁
 多大；几岁；多大年纪"
in,"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里"
January,n. 一月
June,n. 六月；琼（人名，来源于拉丁语，含义是“年轻气盛的六月”）
March,找不到解释
May,找不到解释
Nice to meet you.,找不到解释
November,n. 十一月
October,n.  十月
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
season,"n. 时期；季节；赛季
vt. 给…调味；使适应
vi. 变得成熟；变干燥"
September,n. 九月
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
summer,"n. 夏季；全盛时期
adj. 夏季的
vi. 避暑；过夏天"
warm,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖"
when,"conj. 考虑到；既然；当…时；在…时；如果
n. 时间，时候；日期；场合
adv. 什么时候，何时；（用于时间的表达方式之后）在那时；其时；当时
pron. 那时；什么时侯"
where,"conj. 在…的地方
n. 地点
adv. 在哪里
pron. 哪里"
which,"adj. 哪一个；哪一些
pron. 哪/那一个；哪/那一些"
why,"int. 哎呀！什么？
adv. 为什么"
wind,"vi. 缠绕；上发条；吹响号角
n. 风；呼吸；气味；卷绕
vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人"
winter,"n. 冬季；年岁；萧条期
adj. 冬天的；越冬的
vi. 过冬"
ah,int. 啊；呀
any,"adj. 任何的；所有的；丝毫
pron. 任何；任何一个；若干
adv. 稍微；少许"
ball,"n. 球；舞会
vt. 捏成球形
vi. 成团块"
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
