about,"prep. 关于；大约
n. 大致；粗枝大叶；不拘小节的人
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处"
activity,n. 活动；行动；活跃
be,vt. 是； 有，存在； 做，成为； 发生
best,"n. 最好的人，最好的事物；最佳状态
adj. 最好的
vt. 打败，胜过
adv. 最好地"
boring,"n. 钻孔
adj. 无聊的；令人厌烦的
v. 钻孔；使厌烦；挖空（bore的ing形式）"
clothes,n. 衣服
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
jacket,"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；打"
love,"n. 恋爱；亲爱的；酷爱；喜爱的事物；爱情，爱意；疼爱；热爱；爱人，所爱之物
v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕"
many,"pron. 许多；许多人
adj. 许多的"
pig,"n. 猪；猪肉
vi. 生小猪；像猪一样过活
n. 警察（俚语，带有攻击性）"
place,"n. 地方；住所；座位
vt. 放置；任命；寄予
vi. 名列前茅；取得名次"
trousers,n. 裤子，长裤
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
school uniform,"n. 校服
 学校制服；校服系列；学生制服"
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
year,n. 年；年度；历年；年纪；一年的期间；某年级的学生
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
er,找不到解释
half,"n. 一半；半场；半学年
adj. 一半的；不完全的；半途的
adv. 一半地；部分地"
homework,n. 家庭作业，课外作业
midnight,"n. 午夜，半夜12点钟
adj. 半夜的；漆黑的"
minute,"n. 分，分钟；片刻，一会儿；备忘录，笔记；会议记录
vt. 将…记录下来
adj. 微小的，详细的 "
o'clock,abbr. …点钟（等于of the clock）
slow,"adj. 慢的；减速的；迟钝的
vt. 放慢；阻碍
vi. 变慢；变萧条
adv. 慢慢地；迟缓地"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
tick tock,"adj. 滴答的
 嘀嗒；滴答声；滴答滴答"
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
What time is it?,找不到解释
American football,"n. 美式足球
 美式橄榄球；美式足球或美式橄榄球；美国足球"
Chinese,"n. 中文，汉语；中国人
adj. 中国的，中国人的；中国话的"
Chinese leaves,大白菜
classmate,n. 同班同学
cucumber,n. 黄瓜；胡瓜
family name,"n. 姓
 姓氏；科名；是姓"
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实"
grape,n. 葡萄；葡萄酒；葡萄树；葡萄色
group,"n. 组；团体
adj. 群的；团体的
vt. 把…聚集；把…分组
vi. 聚合"
hmm,abbr. 隐马尔可夫模型（Hidden Markov Model）；Hardware Maintenance Manual；Hyundai Merchant Marine
hour,n. 小时；钟头；课时；…点钟
L. A. Lakers,找不到解释
later,"adv. 后来；稍后；随后
adj. 更迟的；更后的"
maths,n. 数学（等于mathematics）
message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
music,n. 音乐，乐曲
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
PE,abbr. 体育课，体能训练（physical education）
physical education,"n. 体育教学
 体育教育；体育课；物理教育"
pear,n.  梨树；梨子
pepper,"n. 胡椒；辣椒；胡椒粉
vt. 加胡椒粉于；使布满"
pineapple,"n.  菠萝； 凤梨
adj. 凤梨科的"
potato,n.  土豆， 马铃薯
rat,"n. 鼠；卑鄙小人，叛徒
vi. 捕鼠；背叛，告密"
science,n. 科学；技术；学科；理科
silly,"n. 傻瓜
adj. 愚蠢的；不明事理的；没头脑的"
So what?,找不到解释
spider,n. 蜘蛛；设圈套者；三脚架
