family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
familiarize,vt. 使熟悉
familiarity,n. 熟悉，精通；亲密；随便
strange,"adj. 奇怪的；陌生的；外行的
adv. 奇怪地；陌生地，冷淡地"
stranger,n. 陌生人；外地人；局外人
grand,"n. 大钢琴；一千美元
adj. 宏伟的；豪华的；极重要的"
grandparents,n. 祖父母（grandparent的复数）；外祖父母
grandpa,n. 爷爷；外公
grandma,n. 奶奶；外婆
granny,n. 奶奶；外婆；婆婆妈妈的人
granddaughter,n. 孙女；外孙女
grandson,n. 孙子；外孙
grandchild,n. 孙子；孙女；外孙；外孙女
parent,n. 父亲（或母亲）；父母亲；根源
pair,"n. 一对，一双，一副
vt. 把…组成一对"
repair,"n. 修理，修补；修补部位
vt. 修理；恢复；补救，纠正
vi. 修理；修复"
repairable,adj. 可修理的；可挽回的；可补偿的
repairer,n. 修理者；修补者
mum,"adj. 沉默的
n. 妈妈（口语）；沉默；菊花
vi. 演哑剧
int. 别说话"
mummy,n. 妈妈；木乃伊；干瘪的人
mother,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的"
motherland,n. 祖国；母国
dad,n. 爸爸；爹爹
father,"n. 父亲，爸爸；神父；祖先；前辈
vt. 发明，创立；当…的父亲"
feather,"n. 羽毛
vt. 用羽毛装饰
vi. 长羽毛"
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
son,n. 儿子；孩子（对年轻人的称呼）；男性后裔
daughter,"n. 女儿； 子代
adj. 女儿的；子代的"
sister,"n. 姐妹；（称志同道合者）姐妹；修女；护士
adj. 姐妹般的；同类型的"
brother,"n. 兄弟；同事；战友
int. 我的老兄！"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
both,"conj. 既…且…
adj. 两个的；两者的
pron. 双方都；两者都
adv. 并；又；两者皆"
aunt,n. 阿姨；姑妈；伯母；舅妈
uncle,n. 叔叔；伯父；伯伯；舅父；姨丈；姑父
cousin,n. 堂兄弟姊妹；表兄弟姊妹
niece,n. 外甥女，侄女
piece,"n. 块；件；篇；硬币
vt. 修补；接合；凑合"
nephew,n. 侄子；外甥
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
relator,n. 叙述者；原告；关系词
related,"v. 叙述（relate过去式）
adj. 有关系的，有关联的；讲述的，叙述的"
relation,n. 关系；叙述；故事；亲属关系
relationship,n. 关系；关联
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
relatively,adv. 相当地；相对地，比较地
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
translation,n. 翻译；译文；转化；调任
translator,n. 译者；翻译器
birth,n. 出生；血统，出身；起源
birthday,n. 生日，诞辰；诞生的日子
birthplace,"n. 出生地
发源地"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
bearable,adj. 可忍受的；支持得住的
unbearable,adj. 难以忍受的；承受不住的
born,"v. 出世（bear的过去分词）
adj. 天生的"
abortion,n. 流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折
beard,"n. 胡须；颌毛
vt. 公然反对；抓…的胡须
vi. 充当掩护；充当男随员"
twin,"n. 双胞胎中一人
adj. 双胞胎的
vt. 使成对
vi. 成对；生双胞胎"
twice,adv. 两次；两倍
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
sex,"n. 性；性别；性行为；色情
vt. 引起…的性欲；区别…的性别"
