cylinder,n. 圆筒；汽缸； 柱面；圆柱状物
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
jet,"n. 喷射，喷嘴；喷气式飞机；黑玉
adj. 墨黑的
vt. 射出
vi. 射出； 乘喷气式飞机"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
tentacle,n. 触手， 触须， 触角
vessel,n. 船，舰； 脉管，血管；容器，器皿
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
dangle,"vt. 使摇晃地悬挂
vi. 摇晃地悬挂着"
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
event,n. 事件，大事；项目；结果
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
auction,"n. 拍卖
vt. 拍卖；竞卖"
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
frail,"n. 灯心草篓；少妇；少女
adj. 脆弱的；虚弱的"
intelligent,adj. 智能的；聪明的；理解力强的
novel,"adj. 新奇的；异常的
n. 小说"
resident,"n. 居民；住院医生
adj. 居住的；定居的"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
cocoon,"n. 茧；卵囊
vt. 把……紧紧包住"
flutter,"n. 摆动；鼓翼；烦扰
vt. 拍；使焦急；使飘动
vi. 飘动；鼓翼；烦扰"
moisture,n. 水分；湿度；潮湿；降雨量
nectar,n.  花蜜；甘露；神酒；任何美味的饮料
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
suitable,adj. 适当的；相配的
timber,n. 木材；木料
amaze,vt. 使吃惊
arctic,"n. 北极圈；御寒防水套鞋
adj. 北极的；极寒的"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
interval,n. 间隔；间距；幕间休息
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
limit,"n. 限制；限度；界线
vt. 限制；限定"
milestone,n. 里程碑，划时代的事件
recreation,n. 娱乐；消遣；休养
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
chasm,n. 峡谷；裂口；分歧；深坑
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
enable,vt. 使能够，使成为可能；授予权利或方法
foul,"n. 犯规；缠绕
adj. 犯规的；邪恶的；污秽的；淤塞的
vt. 犯规；弄脏；淤塞；缠住，妨害
adv. 违反规则地，不正当地
vi. 犯规；腐烂；缠结"
gust,"n. 风味；一阵狂风；趣味
vi. 一阵阵地劲吹"
ordeal,n. 折磨；严酷的考验；痛苦的经验
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
rig,"n. 装备；钻探设备；服装； 帆装
vt. 操纵；装配；装扮；装上索具"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
additional,adj. 附加的，额外的
advice,n. 建议；忠告；劝告；通知
crumple,"n. 皱纹；褶皱
vi. 起皱；倒坍；一蹶不振
vt. 弄皱；使一蹶不振"
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
memorize,vt. 记住，背熟；记忆
mystify,vt. 使神秘化；使迷惑，使困惑
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
transparent,adj. 透明的；显然的；坦率的；易懂的
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
finicky,adj. 过分讲究的；过分注意的；过分繁琐的
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
hinge,"n. 铰链，折叶；关键，转折点；枢要，中枢
v. 用铰链连接；依…为转移；给…安装铰链；（门等）装有蝶铰"
marsh,"n. 沼泽；湿地
adj. 沼泽的；生长在沼泽地的"
nursery,n. 苗圃；托儿所；温床
rely,vi. 依靠；信赖
spine,n. 脊柱，脊椎；刺；书脊
thrive,vi. 繁荣，兴旺；茁壮成长
attitude,n. 态度；看法；意见；姿势
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
defend,"vi. 保卫；防守
vt. 辩护；防护"
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
