bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
rampage,"n. 暴怒；暴跳；乱闹
vi. 狂暴；乱闹；发怒"
void,"n. 空虚；空间；空隙
adj. 空的；无效的；无人的
vt. 使无效；排放"
impotent,adj. 无力的；无效的；虚弱的；阳萎的
salient,"n. 凸角；突出部分
adj. 显著的；突出的；跳跃的"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
devious,adj. 偏僻的；弯曲的；不光明正大的
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
bearing,"n.  轴承；关系；方位；举止
v. 忍受（bear的ing形式）"
indiscriminate,adj. 任意的；无差别的；不分皂白的
formative,"n. 构词要素
adj. 形成的；造型的；格式化的"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
impromptu,"n. 即兴曲；即席演出
adj. 即席的
adv. 即席地"
acumen,n. 聪明，敏锐
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
delicacy,n. 美味；佳肴；微妙；精密；精美；敏锐，敏感；世故，圆滑
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
sabotage,"n. 破坏；破坏活动；怠工
vt. 妨害；对…采取破坏行动
vi. 从事破坏活动"
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
humility,n. 谦卑，谦逊
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
assiduous,adj. 刻苦的，勤勉的
uplift,"n. 举起，抬起；道德的向上；精神的高涨
vt. 提高；抬起
vi. 提高；上升；升起"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
outgoing,"adj. 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的
n. 外出；流出；开支
v. 超过；优于（outgo的ing形式）"
laborious,adj. 勤劳的；艰苦的；费劲的
dismantle,"vt. 拆除；取消；解散；除掉…的覆盖物
vi. 可拆卸"
begrudge,vt. 羡慕，嫉妒；吝惜，舍不得给
dumfound,vt. 使说不出话来
dumbfound,vt. 使惊呆；使人惊愕失声
inveterate,adj. 根深的；积习的；成癖的
accountable,adj. 有责任的；有解释义务的；可解释的
trudge,"n. 长途跋涉；沉重的步伐
vt. 跋涉
vi. 跋涉；步履艰难地走"
incendiary,"n. 燃烧弹；纵火犯，放火者；煽动者
adj. 煽动的；放火的，纵火的"
ascribe,vt. 归因于；归咎于
protrude,"vi. 突出，伸出
vt. 使突出，使伸出"
conscience,n. 道德心，良心
incubate,"n. 孵育物
vt. 孵化；培养；温育；逐渐发展
vi. 孵化；酝酿"
wreckage,n. （失事船或飞机等的）残骸；（船只等的）失事
recoup,"vt. 收回；恢复；偿还；扣除
vi. 获得补偿；请求扣除"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
evoke,vt. 引起，唤起；博得
exemplify,vt. 例证；例示
barricade,"n. 街垒；路障；争论之处
vt. 设路障；阻碍"
neurosis,n.  神经症；神经衰弱症
fiddly,adj. 需要手巧的，要求高精度的
acrimony,n. 辛辣；尖刻；严厉
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
adjudicate,"vt. 裁定；宣判
vi. 裁定；宣判"
flog,"vt. 鞭打，鞭策；迫使
vi. 剧烈抖动；除尘"
insular,adj. 孤立的；与世隔绝的；海岛的；岛民的
flex,"n. 屈曲；电线；松紧带
vt. 折曲；使收缩
adj. 弹性工作制的
vi. 弯曲；收缩"
furtive,adj. 鬼鬼祟祟的，秘密的
entwine,"vt. 缠住；盘绕；使缠绕
vi. 缠住；盘绕"
mediate,"vi. 调解；斡旋；居中
vt. 调停；传达
adj. 间接的；居间的"
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
neurological,adj. 神经病学的，神经学上的
auspicious,adj. 吉兆的，吉利的；幸运的
strangle,"vt. 把…勒死；使…窒息
vi. 窒息而死；被勒死"
transmute,"vt. 使变形；使变质
vi. 变形；变质"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
wag,"n. 摇摆；爱说笑打趣的人
vt. 摇摆；摇动；饶舌
vi. 摆动；喋喋不休；蹒跚而行"
necessitate,vt. 使成为必需，需要；迫使
incipient,adj. 初期的；初始的；起初的；发端的
traverse,"n. 穿过；横贯；横木
vt. 穿过；反对；详细研究；在…来回移动
vi. 横越；旋转；来回移动
adj. 横贯的"
henpecked,adj. 惧内的
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
complexion,"n. 肤色；面色；情况；局面
vt. 使增添色彩"
immobile,adj. 固定的；稳定的；不变的
deprecate,vt. 反对；抨击；轻视；声明不赞成
naturalize,"vt. 移植；使入国籍；采纳
vi. 归化；加入国籍"
muck,"n. 淤泥；垃圾；肥料；品质低劣的东西
vt. 弄脏；施肥；清除…的污物
vi. 闲逛；鬼混"
abreast,"adj. 并排的；肩并肩的
adv. 并肩地；并列"
prone,adj. 俯卧的；有…倾向的，易于…的
parole,"n. 语言；誓言，诺言；释放宣言
vt. 有条件释放，假释；使假释出狱；宣誓后释放"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
rouse,"n. 觉醒；奋起
vt. 唤醒；激起，使振奋；惊起
vi. 醒来；奋起"
jest,"n. 笑话，俏皮话；玩笑
vi. 开玩笑；嘲笑
vt. 嘲笑"
afflict,vt. 折磨；使痛苦；使苦恼
jeopardize,vt. 危害；使陷危地；使受危困
daunt,vt. 使气馁，使畏缩；威吓
pant,"n. 气喘；喘息；喷气声
vt. 气喘
vi. 喘息；渴望；气喘吁吁地说出某事"
victimize,vt. 使受害；使牺牲；欺骗
connote,vt. 意味着；含言外之意
curtail,vt. 缩减；剪短；剥夺…特权等
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
brash,"n. 骤雨；碎片；胃灼热
adj. 无礼的，傲慢的；仓促的，性急的"
periphery,n. 外围，边缘；圆周；圆柱体表面
gentility,n. 有教养，文雅；上流阶层
negate,"vt. 否定；取消；使无效
vi. 否定；否认；无效
n. 对立面；反面"
intersperse,"vt. 点缀；散布
vi. 点缀；散布"
nostalgia,n. 乡愁；怀旧之情；怀乡病
scrawl,"n. 潦草的笔迹
vt. 潦草地写；乱涂
vi. 乱涂，涂鸦；乱写"
flounder,"n. 挣扎，辗转；比目鱼
vi. 挣扎，折腾；错乱地做事或说话"
inexplicable,adj. 费解的；无法说明的；不能解释的
efficiency,n. 效率；效能；功效
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
emphasis,n. 重点；强调；加强语气
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
archaic,adj. 古代的；陈旧的；古体的；古色古香的
genial,adj. 亲切的，友好的；和蔼的；适宜的
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
aggravate,vt. 加重；使恶化；激怒
adamant,"n. 坚硬的东西；坚石
adj. 固执的，坚强的；坚定不移的；坚硬无比的"
perfunctory,adj. 敷衍的；马虎的；得过且过的
operational,adj. 操作的；运作的
partiality,n. 偏心；偏袒；偏爱；癖好
huddle,"n. 拥挤；混乱；杂乱一团
vt. 把...挤在一起；使缩成一团；草率了事
vi. 蜷缩；挤作一团"
levity,n. 多变；轻浮；轻率；不稳定
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
ubiquitous,adj. 普遍存在的；无所不在的
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
decimate,vt. 十中抽一，取十分之一；大批杀害
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
outreach,"vt. 超越，伸出；超出…的范围
vi. 拓广，延伸
n. 延伸，拓广；扩大服务范围
adj. 扩大服务的"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
legalize,vt. 使合法化；公认；法律上认为…正当
heady,adj. 兴奋的；任性的；性急的；顽固的；使人头晕的；令人陶醉的
fuzzy,adj. 模糊的；失真的；有绒毛的
lament,"n. 挽歌；恸哭；悲痛之情
vi. 哀悼；悲叹；悔恨
vt. 哀悼；痛惜"
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） "
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
bulky,adj. 体积大的；庞大的；笨重的
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
bewitch,vt. 施魔法于，蛊惑；使着迷
animate,"adj. 有生命的
vt. 使有生气；使活泼；鼓舞；推动"
inarticulate,adj. 口齿不清的；说不出话的； 无关节的
nudge,"n. 推动；用肘轻推；没完没了抱怨的人
vt. 推进；用肘轻推；向…不停地唠叨
vi. 轻推；推进；唠叨"
glaze,"n. 釉；光滑面
vt. 装以玻璃；上釉于
vi. 变呆滞；变得光滑"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
negotiable,adj. 可通过谈判解决的；可协商的
fervor,n. 热情；热烈；热心；炽热
fervour,n. 热情（等于fervor）
gratuitous,adj. 无理由的，无端的；免费的
scupper,"n. 排水口；水性杨花的女人
vt. 使船沉没；突袭"
vogue,"n. 时尚；流行，时髦
adj. 时髦的，流行的"
pervert,"n. 堕落者；行为反常者；性欲反常者；变态
vt. 使堕落；滥用；使反常"
estrange,vt. 使疏远；离间
abdicate,"vt. 退位；放弃
vi. 退位；放弃"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
sully,"vt. 玷污；使丢脸
n. 污点，损伤"
prod,"n. 刺针；刺棒；签子
vi. 刺；捅
vt. 刺，戳；刺激"
cognitive,adj. 认知的，认识的
convoy,"n. 护送；护卫；护航队
vt. 护航；护送"
hubbub,n. 喧哗；骚动
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
bootleg,"adj. 违法的；偷运或非法制造并销售的
vt. 私卖
vi. 私卖
n. 靴统；私货"
mimic,"vt. 模仿，摹拟
n. 效颦者，模仿者；仿制品；小丑
adj. 模仿的，模拟的；假装的"
exacerbate,vt. 使加剧；使恶化；激怒
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
esoteric,adj. 秘传的；限于圈内人的；难懂的
babble,"vt. 含糊不清地说；泄露
vi. 喋喋不休；呀呀学语；作潺潺声
n. 含糊不清的话；胡言乱语；潺潺声"
spar,"n.  晶石；圆材（如桅、桁等）；争论；拳斗
vt. 装圆材于
vi. 争论；拳击"
grumpy,"n. 脾气坏的人；爱抱怨的人
adj. 脾气暴躁的；性情乖戾的"
secretive,adj. 秘密的；偷偷摸摸的；促进分泌的
histrionic,"n. 演员
adj. 戏剧的；演员的，表演的"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
forcible,adj. 强制的；暴力的；有说服力的；强有力的
tilt,"n. 倾斜
vt. 使倾斜；使翘起
vi. 倾斜；翘起；以言词或文字抨击"
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
eschew,vt. 避免；避开；远避
debase,vt. 降低；使…贬值；掺杂
gesticulate,"vt. 用手势谈话；做姿势表达
vi. 用姿势示意；（讲话时）做手势"
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
mirage,n. 海市蜃楼；幻想，妄想
demean,vt. 贬低...的身分；举止
wince,"n. 畏缩；脸部肌肉的抽搐
vi. 畏缩，退避"
appraise,vt. 评价，鉴定；估价
befit,vt. 适合于；为…该做的；对…适当
nonchalant,adj. 冷淡的，漠不关心的
cryptic,adj. 神秘的，含义模糊的； 隐藏的
mitigate,"vt. 使缓和，使减轻
vi. 减轻，缓和下来"
torrid,adj. 晒热的；热情的
impregnate,"adj. 充满的；怀孕的
vt. 使怀孕；灌输；浸透"
reparation,n. 赔偿；修理；赔款
mandatory,"adj. 强制的；托管的；命令的
n. 受托者（等于mandatary）"
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
evict,vt. 驱逐；逐出
ostentatious,adj. 招摇的；卖弄的；夸耀的；铺张的；惹人注目的
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
autograph,"n. 亲笔，手稿；亲笔签名
vt. 亲笔签名于…；亲笔书写"
satiate,"adj. 饱足的；厌腻的
vt. 充分满足；使厌腻"
understudy,"n. 候补演员；替工
vt. 练习代演；当…的替手；实地演习
vi. 学当替工"
edgy,adj. 急躁的；尖利的；刀口锐利的
suffice,"vt. 使满足；足够…用；合格
vi. 足够；有能力"
