running,"n. 运转；赛跑；流出
v. 跑；运转（run的ing形式）；行驶
adj. 连续的；流动的；跑着的；运转着的"
basketball,n. 篮球；篮球运动
roller skating,"un. 滑旱冰
 轮滑；轮滑鞋；溜冰"
jumping rope, 跳绳；正在跳绳；跳跳绳
ping-pong,n. 乒乓球；桌球
What about ...?,找不到解释
interesting,adj. 有趣的；引起兴趣的，令人关注的
often,adv. 常常，时常
be good at,"v. 善于
 擅长；擅长于；擅长做某事"
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
swim,"n. 游泳；漂浮；眩晕
adj. 游泳时穿戴的
vi. 游泳；漂浮；浸；眩晕
vt. 游过；使浮起"
friend,n. 朋友；助手；赞助者
father,"n. 父亲，爸爸；神父；祖先；前辈
vt. 发明，创立；当…的父亲"
get up,"na. 起床；起身；站起来；叫…起床
 起立；打扮；安排"
visit one's grandparents,找不到解释
go to a drawing club,找不到解释
climb a hill,找不到解释
pick fruit,找不到解释
play computer games, 玩电脑游戏；打电脑游戏；玩电子游戏
go fishing, 去钓鱼；垂钓；我以前常去钓鱼
go to the cinema, 去看电影；去电影院；上电影院
on the weekend, 在周末；在这个周末；美式英语
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
always,adv. 永远，一直；总是；常常
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走"
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
evening,"n. 晚上；傍晚；（联欢性的）晚会；后期
adj. 在晚上的；为晚上的；晚上用的
int. 晚上好（等于good evening）"
dirty,"adj. 下流的，卑鄙的；肮脏的；恶劣的；暗淡的
vt. 弄脏
vi. 变脏"
their,pron. 他们的，她们的；它们的
house,"n. 住宅；家庭；机构；议会；某种用途的建筑物
vt. 覆盖；给…房子住；把…储藏在房内
vi. 住"
poor,adj. 贫穷的；可怜的；贫乏的；卑鄙的
hope,"n. 希望；期望；信心
vi. 希望；期待；信赖
vt. 希望；期望"
so,"conj. 所以；因此
adv. 如此，这么；确是如此
pron. 这样"
Saturday,n. 星期六
near,"adj. 近的；亲近的；近似的
adv. 近；接近
prep. 靠近；近似于"
day,"n. 一天；时期；白昼
adj. 日间的；逐日的
adv. 每天；经常在白天地"
usually,adv. 通常，经常
by bus,"na. 乘公共汽车
 巴士；乘公交车；乘坐公共汽车"
by boat,"na. 乘船
 乘坐小船；乘小船；坐船"
by ship, 乘船；乘轮船；坐轮船
by car,"na. 乘电车；乘汽车
 坐小汽车；乘小汽车；开车"
by taxi, 乘出租车；坐出租车；打的
by bike, 骑自行车；骑车；骑单车
on foot,"na. 步行；在进行中；徒步
 走路；步行时；走路去"
by school bus,找不到解释
by subway, 乘地铁；坐地铁；乘坐地铁
by plane,"adv. 乘飞机
 坐飞机；乘坐飞机；搭飞机"
by train,"na. 坐火车
 乘火车；搭火车；乘坐火车"
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
meeting place,"n. 会场；聚集的地方
 聚会地点；集合地点；会议场所"
gate,"n. 大门；出入口；门道
vt. 给…装大门"
transportation,n. 运输；运输系统；运输工具；流放
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
earth,"n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴
vt. 把（电线） 接地；盖（土）；追赶入洞穴
vi. 躲进地洞"
snow,"n. 雪，积雪；下雪
vt. 使纷纷落下；使变白
vi. 降雪"
theatre,n. 电影院，戏院；戏剧；阶梯式讲堂
come,"vi. 来；开始；出现；发生；变成；到达
vt. 做；假装；将满（…岁）
int. 嗨！"
enjoy,vt. 欣赏，享受；喜爱；使过得快活
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
apple,n. 苹果，苹果树，苹果似的东西；炸弹，手榴弹，（棒球的）球；人，家伙。
pen,"n. 钢笔；作家；围栏
vt. 写；关入栏中"
knife,"n. 刀；匕首
vt. 用刀切；（口）伤害
vi. 劈开；划过"
eraser,n. 橡皮；擦除器； 清除器
crayon,"n. 蜡笔，有色粉笔
vt. 以蜡笔作画，用颜色粉笔画"
scissors,"n. 剪刀；剪式跳法
v. 剪开；删除（scissor的第三人称单数）"
glue stick,"n. 胶棒
 口红胶；固体胶棒；固体胶水"
paper,"n. 纸；论文；文件；报纸
adj. 纸做的
vt. 用纸糊；用纸包装
vi. 贴糊墙纸；发交通违章传票"
use,"n. 使用；用途；发挥
vt. 利用；耗费
vi. 使用，运用"
please,"int. 请（礼貌用语）
vt. 使喜欢；使高兴，使满意
vi. 讨人喜欢；令人高兴"
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
Information Centre,找不到解释
Excuse me,找不到解释
phone,"n. 电话；耳机，听筒
vt. 打电话
vi. 打电话"
dad,n. 爸爸；爹爹
hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
ruler,n. 尺；统治者； 划线板，划线的人
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
schoolbag,n. 书包
shop,"n. 商店；店铺
vt. 购物
vi. 购物；买东西"
climb on the window ledge,找不到解释
dangerous,"adj. 危险的
危险地"
play with fire,"na. 轻举妄动
 玩火；玩火焚身；高考玩火"
Be careful!,找不到解释
run down the stairs,找不到解释
sidewalk,n. 人行道
wait for,"na. 等；等待
 等候；动作上的等待；等待某人"
safe,"n. 保险箱；冷藏室；纱橱
adj. 安全的；可靠的；平安的"
stop,"n. 停止；车站；障碍；逗留
vi. 停止；中止；逗留；被塞住
vt. 停止；堵塞；断绝"
street,"n. 街道
adj. 街道的"
safety rule,安全规程
green,"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色"
red,"n. 红色，红颜料；赤字
adj. 红色的；红肿的，充血的"
play football,"na. 踢足球；对难办的事采取踢皮球的态度
 玩足球；玩橄榄球；踢球"
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
cook,"n. 厨师，厨子
vt. 烹调，煮
vi. 烹调，做菜"
doctor,"vt. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士
vi. 就医；行医"
bus driver,"na. (公共汽车)驾驶员；轰炸机驾驶员
 公车司机；巴士驾驶员；公共汽车司机"
police officer,"n. 警官；警察；警务人员
 警员；交警；警察官"
taxi driver,找不到解释
farmer,n. 农夫，农民
worker,n. 工人；劳动者；职蚁
in the future,"adv. 今后
 将来；在将来；在未来"
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
job,"n. 工作；职业
vt. 承包；代客买卖
vi. 做零工"
sick,"adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的
n. 病人
vt. 使狗去咬；呕吐；追击"
people,"n. 人；人类；民族；公民
vt. 居住于；使住满人"
teach,"vt. 教；教授；教导
vi. 教授；讲授；当老师"
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的"
myself,pron. 我自己；我亲自；我的正常的健康状况和正常情绪
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
Monday,n. 星期一
Tuesday,n. 星期二
Wednesday,n. 星期三
Thursday,n. 星期四
Friday,n. 星期五
teacher,n. 教师；导师
