younger,"n. 年纪较小者；幼辈
adj. 较年轻的"
young,"n. 年轻人；（动物的）崽，仔
adj. 年轻的；初期的；没有经验的"
older,adj. 年长的；较旧的
old,"adj. 陈旧的，古老的；年老的
n. 古时"
taller,adj. 更高的；高一点的
tall,"adj. 高的；长的；过分的；夸大的
adv. 夸大地"
shorter,adj. 较短的；更短的；更矮的（short的比较级）
short,"n. 短；缺乏；短路；短裤
adj. 短的；不足的；矮的，低的
adv. 不足；突然；唐突地"
longer,长的（long的比较级）
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
thinner,"adj. 较薄的；较瘦的；较细的（thin的比较级）
n. （油漆的）稀释剂；冲淡剂；使变稀薄者，加稀料的制漆工"
thin,"n. 细小部分
adj. 薄的；瘦的；稀薄的；微弱的
vt. 使瘦；使淡；使稀疏
vi. 变薄；变瘦；变淡
adv. 稀疏地；微弱地"
heavier,adj. 沉重的；巨大的
heavy,"n. 重物；严肃角色
adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的
adv. 大量地；笨重地"
bigger,adj. 更大的（big的比较级）
big,"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地"
smaller,adj. 较小，更小的
small,"n. 小件物品；矮小的人
adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的
adv. 小小地；卑鄙地"
stronger,adj. 更强壮的
strong,"adj. 坚强的；强壮的；牢固的；擅长的
adv. 强劲地；猛烈地"
dinosaur,n. 恐龙；过时、落伍的人或事物
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
metre,n. 米；公尺；韵律
meter,"n. 米；仪表； 公尺；韵律
vt. 用仪表测量
vi. 用表计量"
than,"conj. 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后）
prep. 比；超过"
both,"conj. 既…且…
adj. 两个的；两者的
pron. 双方都；两者都
adv. 并；又；两者皆"
kilogram,n. 公斤；千克
countryside,n. 农村，乡下；乡下的全体居民
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
low,"adj. 低的，浅的；卑贱的；粗俗的；消沉的
adv. 低声地；谦卑地，低下地
n. 低；低价；低点；牛叫声
vi. 牛叫"
shadow,"n. 阴影；影子；幽灵；庇护；隐蔽处
adj. 影子内阁的
vt. 遮蔽；使朦胧；尾随；预示
vi. 渐变；变阴暗"
smarter,adj. 聪明的；精明的（smart的比较级）
smart,adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的
become,"vt. 适合；相称
vi. 成为；变得；变成"
cleaned,"v. 打扫（clean的过去式）；把…弄干净
adj. 净化的"
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
stayed,v. 停留，制止（stay的过去分词形式）
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
washed,"v. 洗，洗涤（wash的过去分词）
adj. 洗过的"
wash,"n. 洗涤；洗的衣服；化妆水；冲积物
vt. 洗涤；洗刷；冲走；拍打
vi. 洗澡；被冲蚀"
watched,"vt. 观察；注视；看守；警戒
n. 手表；监视；守护；值班人
vi. 观看，注视；守侯，看守"
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
had,"v. 有；吃；得到（动词have的过去式和过去分词）
aux. 已经（用于过去完成时和过去完成进行时）"
have,"aux. 已经
vt. 有；让；拿；从事；允许"
had a cold,"vbl.伤风,感冒"
slept,v. 睡觉（sleep的过去式和过去分词）
sleep,"n. 睡眠
vi. 睡，睡觉"
read,"n. 阅读；读物
adj. 有学问的
vi. 读；读起来
vt. 阅读；读懂，理解"
read,"n. 阅读；读物
adj. 有学问的
vi. 读；读起来
vt. 阅读；读懂，理解"
saw,"n. 锯子；谚语
v. see的过去式
vi. 锯；用锯；将某物锯成小块
vt. 看见；明白，了解；锯；锯成；锯开"
see,"vi. 看；看见；领会
vt. 看见；理解；领会"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点"
yesterday,"n. 昨天；往昔
adv. 昨天"
before,"prep. 在…之前，先于
conj. 在…以前；在…之前
adv. 以前；在前"
drank,v. 喝；喝酒（drink的过去式）
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
magazine,n. 杂志；弹药库；胶卷盒
better,"n. 长辈；较好者；打赌的人（等于bettor）
adj. 较好的
vt. 改善；胜过
adv. 更好的；更多的；较大程度地
vi. 变得较好"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
faster,"adj. 更快的
adv. 更快地"
fast,"n. 斋戒；绝食
adj. 快速的，迅速的；紧的，稳固的
adv. 迅速地；紧紧地；彻底地
vi. 禁食，斋戒"
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公"
fixed,"adj. 确定的；固执的；<美口>处境...的；准备好的
v. 修理（过去式）"
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
broken,"v. 折断；打碎；损坏（break的过去分词）
adj. 破碎的；坏掉的"
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
loud,"adj. 大声的，高声的；不断的；喧吵的
adv. 大声地，高声地，响亮地"
enjoy,vt. 欣赏，享受；喜爱；使过得快活
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
went,v. 去，过去（go的过去式）
go,"n. 去；进行；尝试
vi. 走；达到；运转；趋于
vt. 忍受；出产；以…打赌
"
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
went camping,找不到解释
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
went fishing,找不到解释
rode,v. 骑（ride的过去式）
ride,"n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
vi. 骑马；乘车；依靠；漂浮
vt. 骑；乘；控制；（骑马、自行车等）穿越；搭乘；飘浮"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
ate,v. 吃（eat的过去式）
eat,"vt. 吃，喝；腐蚀；烦扰
vi. 进食；腐蚀，侵蚀"
took,v. 拿；取；接受（take的过去式）
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
took pictures,"vbl.照像,摄影"
bought,v. 买（buy的过去式和过去分词）
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送"
fell,"n.  一季所伐的木材；折缝；兽皮
v. 掉下；摔倒；下垂；变坏（fall的过去式）
adj. 凶猛的；毁灭性的
vt. 砍伐；打倒；击倒"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
off,"prep. 离开；脱落
adv. 切断；走开
adj. 远离的；空闲的"
Labour Day,找不到解释
mule,n. 骡；倔强之人，顽固的人；杂交种动物
Turpan, 吐鲁番（新疆维吾尔自治区）（旧译Turfan）
could,"aux. 能够
v. 能（can的过去式）"
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
till,"prep. 直到
conj. 直到...为止
n.  冰碛；放钱的抽屉；备用现金
vt. 耕种；犁
vi. 耕种；耕耘"
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
basket,"n. 篮子；（篮球比赛的）得分；一篮之量；篮筐
vt. 装入篮"
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手"
licked,"vt. 舔；卷过；鞭打
vt. （非正式）战胜
vi. 舔；轻轻拍打
n. 舔；打；少许"
lick,"vt. 舔；卷过；鞭打
vt. （非正式）战胜
vi. 舔；轻轻拍打
n. 舔；打；少许"
laughed,"笑
为了开玩笑
有趣的事
嘲笑"
laugh,"n. 笑；引人发笑的事或人
vi. 笑
vt. 以笑表示；使…笑得"
dining hall,"na. 大餐厅
 食堂；饭厅；饭堂"
grass,"n. 草；草地，草坪
vt. 放牧；使……长满草；使……吃草
vi. 长草"
gym,n. 健身房；体育；体育馆
ago,"adj. 以前的；过去的
adv. 以前，以往"
cycling,n. 骑脚踏车消遣；骑脚踏车兜风
go cycling, 去骑自行车；去骑车；去骑单车
ice-skate,v. 溜冰，滑冰
badminton,n. 羽毛球
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
easy,"adj. 容易的；舒适的
vt. 发出停划命令
adv. 不费力地，从容地
vi. 停止划桨"
look up,"v. 查找；查阅；探望；看望
 向上看；抬头看；仰望"
Internet,找不到解释
different,adj. 不同的；个别的，与众不同的
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
nothing,"neg. 没什么；毫不
n. 无；零；不关紧要之事
adv. 毫不；决不
pron. 无事；无物
int. 什么也没有"
thought,"n. 思想；思考；想法；关心
v. 想，思考；认为（think的过去式和过去分词）"
think,"n. 想；想法
adj. 思想的
vi. 想；认为
vt. 想；认为；想起；想像；打算"
felt,"n. 毡；毡制品
v. 感觉（feel的过去式）
vi. 粘结
vt. 使粘结；把…制成毡"
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
cheetah,n.  猎豹
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
woke,v. 唤醒；激发；使…复活（wake的过去式）
wake,"n. 尾迹；守夜；守丧
vt. 叫醒；激发
vi. 醒来；唤醒；警觉"
dream,"n. 梦想，愿望；梦
adj. 梦的；理想的；不切实际的
vt. 梦想；做梦；想到
vi. 梦想；做梦，梦见；想到"
