flashcard,n. 教学用的抽认卡
vocabulary,n. 词汇；词表；词汇量
aloud,adv. 大声地；出声地
pronunciation,n. 发音；读法
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
memorize,vt. 记住，背熟；记忆
grammar,n. 语法；语法书
differently,adv. 不同地；差异；各种
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
frustrating,"v. 使沮丧（frustrate的ing形式）
adj. 令人沮丧的"
quickly,adv. 迅速地；很快地
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
spoken,"v. 说（speak的过去分词）
adj. 口语的，口头的"
slowly,adv. 缓慢地，慢慢地
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
make mistakes, 犯错；犯错误；出错
comma,n. 逗号；停顿
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
solution,n. 解决方案；溶液；溶解；解答
later on,"na. 过后；后来
 以后；随后；稍后"
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
matter,"n. 物质；事件
vi. 有关系；要紧"
it doesn't matter,"un. 在…问题上；没关系
 无所谓；不要紧；那没关系"
afraid,adj. 害怕的；恐怕；担心的
be afraid to,"na. 怕
 害怕去做；不敢去做；好几年我们不敢"
laugh at,"na. 嘲笑；付之一笑；因…而发笑
 因……而发笑；取笑；因…而笑"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的"
learner,n. 初学者，学习者
take notes,"na. 做记录
 记笔记；做笔记；作笔记"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
trouble,"n. 麻烦；烦恼；故障；动乱
vt. 麻烦；使烦恼；折磨
vi. 费心，烦恼"
fast,"n. 斋戒；绝食
adj. 快速的，迅速的；紧的，稳固的
adv. 迅速地；紧紧地；彻底地
vi. 禁食，斋戒"
look up,"v. 查找；查阅；探望；看望
 向上看；抬头看；仰望"
soft,"n. 柔性；柔软的东西；柔软部分
adj. 软的，柔软的；温柔的，温和的；软弱的；笨的
adv. 柔软地；温和地"
make up,"na. 弥补；起草；定；签订
 组成；化妆；编造"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
unless,"conj. 除非，如果不
prep. 除…之外"
unfair,adj. 不公平的，不公正的
solve,"vt. 解决；解答；溶解
vi. 作解答"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
duty,n. 责任； 关税；职务
easily,adv. 容易地；无疑地
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
be angry with,"na. 对…生气；生(某人)的气
 生……的气；对生气；对…发怒"
go by,"na. 走过；以…为根据(作判断)；顺道访问；受…所控制
 过去；经过；依照"
friendship,n. 友谊；友爱；友善
lose,"vt. 浪费；使沉溺于；使迷路；遗失；错过
vi. 失败；受损失"
disagreement,n. 不一致；争论；意见不同
development,n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）； 显影
adult,"n. 成年人
adj. 成年的；成熟的"
try one's best,"na. 尽全力
 尽力；努力；竭尽全力"
unimportant,adj. 不重要的；琐碎的
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖"
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
break off,"v. 断绝；摘；把…折断；使脱落
 中断；突然停止；打断"
psychologist,n. 心理学家，心理学者
Pierre,找不到解释
Antonio,找不到解释
Lillian,找不到解释
Stephen Hawking, 霍金；物理学家霍金；史蒂芬霍金
used to,"modalv. （用于过去持续或经常发生的事）曾经
v. 过去常常
 习惯于；过去经常；的用法"
airplane,n. 飞机
terrify,vt. 恐吓；使恐怖；使害怕
be terrified of,"na. 给…吓一跳
 害怕；恐惧；非常害怕的"
go to sleep,"na. 入睡
 睡着；去睡觉；睡着了"
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
insect,n. 昆虫；卑鄙的人
candy,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶"
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
gum,"n. 口香糖；树胶；橡皮
vt. 用胶粘，涂以树胶；使…有粘性"
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈"
daily,"n. 日报；朝来夜去的女佣
adj. 日常的；每日的
adv. 日常地；每日；天天"
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
death,n. 死；死亡；死神；毁灭
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
himself,pron. 他自己；他亲自，他本人
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
in the end,"na. 终于
 最后；最终；结果到头来"
make a decision, 做出决定；做决定；作出决定
head teacher,"n. 校长
 班主任；首席教师；高级教师"
to one's surprise, 使……惊讶的是；竟然；让某人惊讶的是
exactly,adv. 恰好地；正是；精确地；正确地
even though,"na. “even if”的变体
 即使；尽管；虽然"
no longer,"na. 不再
 已不；再也；再也不"
take pride in,"na. 以…自豪；对…感到满意
 对…感到自豪；以……为自豪；骄傲"
attention,n. 注意力；关心；立正！（口令）
pay attention to,"na. 注意
 重视；对……注意；关心"
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
Murray,找不到解释
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
