matter,"n. 物质；事件
vi. 有关系；要紧"
What's the matter?,怎么回事?怎么啦?
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
have a cold,"na. 伤风
 感冒；患感冒；受凉"
stomachache,n. 腹痛，肚子痛；胃痛
have a stomachache, 胃痛；肚子痛；肚子疼
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
neck,"n. 脖子；衣领；海峡
vi. 搂著脖子亲吻；变狭窄
vt. 使变细；与…搂著脖子亲吻"
stomach,"n. 胃；腹部；胃口
vt. 忍受；吃下
vi. 忍受"
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置"
lie down,"v. 躺下；不反抗；屈服；顺从
 躺下不干；躺下来；躺倒"
rest,"n. 休息，静止；休息时间；剩余部分；支架
vt. 使休息，使轻松；把…寄托于
vi. 休息；静止；依赖；安置"
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
X-ray,找不到解释
toothache,n.  牙痛
take one's temperature,"na. 量体温
 测量体温；给某人量体温；给某人体温"
headache,n. 头痛；麻烦；令人头痛之事
have a fever,"n. 发烧
 发热；发烧了；发高烧"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
take breaks,找不到解释
take a break,"v. 休息一会儿
 休息一下；休息了一会儿；轻松一刻"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
off,"prep. 离开；脱落
adv. 切断；走开
adj. 远离的；空闲的"
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
 下来；动身；离开"
to one's surprise, 使……惊讶的是；竟然；让某人惊讶的是
onto,"prep. 在…之上；对…了解；映射到…上
adj. 映射的；自身的；映成的"
trouble,"n. 麻烦；烦恼；故障；动乱
vt. 麻烦；使烦恼；折磨
vi. 费心，烦恼"
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
right away,"na. 立刻
 马上；立即；立即，马上"
get into,"na. 进入；穿上；成癖；陷于
 陷入；卷入；养成"
herself,pron. 她自己（she的反身代词）；她亲自
bandage,"n. 绷带
vt. 用绷带包扎"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
sick,"adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的
n. 病人
vt. 使狗去咬；呕吐；追击"
knee,"n. 膝盖，膝
vt. 用膝盖碰"
nosebleed,n. 鼻出血；衄血
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
sunburned,"adj. 晒黑的；日灼的
v. 晒伤（sunburn的过去分词）；晒黑"
ourselves,pron. 我们自己；我们亲自
climber,n. 登山者；攀缘植物；尽力改善自己社会地位的人
be used to,"na. 惯于
 习惯于；适应；被用来"
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
take risks,"un. 冒险
 冒风险；勇于冒险；承担风险"
take a risk,"na. 冒险；承保…的险；承受保险
 承担风险；先人一步冒险；冒风险"
accident,n. 事故；意外； 意外事件；机遇
situation,n. 情况；形势；处境；位置
kilo,n. 千克
kilogram,n. 公斤；千克
rock,"n. 岩石；摇滚乐；暗礁
vt. 摇动；使摇晃
vi. 摇动；摇晃"
run out,"na. 耗尽；用光；过有效期；失效
 用完；用尽；到期"
run out of,"na. 用光…
 用完；用尽；耗尽"
knife,"n. 刀；匕首
vt. 用刀切；（口）伤害
vi. 劈开；划过"
knives,"n. 刀子（knife的复数）
v. 用小刀切；刀切似的穿过（knife的三单形式）"
cut off,"na. 削除；截止；截断(退路等)；割下来
 切断；断绝；切掉"
blood,"n. 血，血液；血统
vt. 从…抽血；使先取得经验"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
meant,v. 意味；打算（mean的过去式和过去分词）；表示…的意思
get out of,"na. 逐渐放弃(恶习)；避免；由…出来；拔出
 逃避；摆脱；离开"
importance,n. 价值；重要；重大；傲慢
decision,n. 决定，决心；决议
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
be in control of,"vt.控制,管理"
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
death,n. 死；死亡；死神；毁灭
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
Judy,n. （尤指轻佻的）姑娘
Nancy,找不到解释
Mandy,找不到解释
Aron Ralston,找不到解释
Utah,n. 美国犹他州
clean up,"na. 收拾干净；改正；赚厚利
 打扫；打扫干净；清除"
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
cheer up,"v. 鼓舞；振作一点
 振作起来；高兴起来；使高兴起来"
give out,"na. 发表；放出；分发
 发出；用完；用尽"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
 赶上；找到；想出某事"
put off,"na. 延期；辩解
 推迟；拖延；推延"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
hand out,"na. 分；拿出来；施舍
 分发；散发；分给"
call up,"na. 传；动员；打电话给；呼唤
 召集；使想起；召唤"
used to,"modalv. （用于过去持续或经常发生的事）曾经
v. 过去常常
 习惯于；过去经常；的用法"
lonely,"adj. 寂寞的；偏僻的
n. 孤独者"
care for,"v. 照顾；关心；喜欢
 照料；关怀；照管"
several,"adj. 几个的；各自的
pron. 几个；数个"
strong,"adj. 坚强的；强壮的；牢固的；擅长的
adv. 强劲地；猛烈地"
feeling,"n. 感觉，触觉；感情，情绪；同情
v. 感觉；认为（feel的现在分词）；触摸
adj. 有感觉的；有同情心的；富于感情的"
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
joy,"n. 欢乐，快乐；乐趣；高兴
vi. 欣喜，欢喜
vt. 高兴，使快乐"
owner,n.  所有者；物主
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
 试用；尝试；考验"
journey,"n. 旅行；行程
vi. 旅行"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
midnight,"n. 午夜，半夜12点钟
adj. 半夜的；漆黑的"
alone,"adj. 独自的；单独的；孤独的
adv. 独自地；单独地"
repair,"n. 修理，修补；修补部位
vt. 修理；恢复；补救，纠正
vi. 修理；修复"
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
fix up,"na. 修理；解决；组织；安顿住处
 安排；修补；商妥"
give away,"na. 赠送；分发；放弃；露马脚
 泄露；出卖；分送"
take after,"na. 尾随；仿效；像
 象；长得像；与相像"
broken,"v. 折断；打碎；损坏（break的过去分词）
adj. 破碎的；坏掉的"
wheel,"n. 车轮；方向盘；转动
vt. 转动；使变换方向；给…装轮子
vi. 旋转；突然转变方向；盘旋飞行"
letter,"n. 信；字母，文字；证书；文学，学问；字面意义
vt. 写字母于
vi. 写印刷体字母"
Miss,找不到解释
set up,"na. 建立；创立；发起；开办
 设立；设置；成立"
disabled,"adj. 残废的，有缺陷的
v. 使…失去能力（disable的过去分词）"
make a difference,"na. 发生差别；使…有差别；(结果等)是重要的
 有关系；有影响；很重要"
blind,"n. 掩饰，借口；百叶窗
adj. 盲目的；瞎的
vt. 使失明；使失去理智
adv. 盲目地；看不见地"
deaf,adj. 聋的
