take place,"na. 发生；举行
 产生；多指通过人为安排的发生；进行"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
bell,"n. 铃，钟；钟声，铃声；钟状物
vt. 装钟于，系铃于
vi. 鸣钟；成钟状鼓起"
Africa,n. 非洲
disabled,"adj. 残废的，有缺陷的
v. 使…失去能力（disable的过去分词）"
shut,"n. 关闭
adj. 关闭的；围绕的
vi. 关上；停止营业
vt. 关闭；停业；幽禁"
ever,adv. 永远；曾经；究竟
rope,"n. 绳，绳索
vt. 捆，绑
vi. 拧成绳状"
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
communication,n. 通讯， 通信；交流；信函
various,adj. 各种各样的；多方面的
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
keep in touch with ...,找不到解释
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
telegram,"n. 电报
vt. 用电报发送
vi. 发电报"
rapidly,adv. 迅速地；很快地；立即
since,"conj. 因为；由于；既然；自…以来；自…以后
prep. 自…以来；自…以后
adv. 后来"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
reform and opening-up,找不到解释
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查"
cellphone,n. 蜂窝式便携无线电话；大哥大
mobile phone,"n. 手机；移动电话
 手机号码；行动电话；手提电话"
fax,找不到解释
machine,"n. 机械，机器；机构；机械般工作的人
vt. 用机器制造"
rapid,"n. 急流；高速交通工具，高速交通网
adj. 迅速的，急促的；飞快的；险峻的"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
make progress,"na. 前进；进展
 取得进步；取得进展；有进步"
already,adv. 已经，早已；先前
succeed in doing sth.,找不到解释
pleased,"adj. 高兴的；喜欢的；乐意做某事
v. 满意；愿意（please的过去分词形式）"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
hide-and-seek,n. 捉迷藏
chess,n. 国际象棋，西洋棋
radio,"n. 收音机；无线电广播设备
vt. 用无线电发送
vi. 用无线电进行通信"
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
recent,adj. 最近的；近代的
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
yet,"conj. 但是；然而
adv. 还；但是；已经"
probably,adv. 大概；或许；很可能
cinema,n. 电影；电影院；电影业，电影制作术
department,n. 部；部门；系；科；局
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近"
population,n. 人口； 种群， 群体；全体居民
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
luckily,adv. 幸好，侥幸；幸运地
policy,n. 政策，方针；保险单
Russia,n. 俄罗斯
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
natural,"adj. 自然的；物质的；天生的；不做作的
n. 自然的事情；白痴；本位音"
