during,prep. 在…的时候，在…的期间
against,"prep. 反对，违反；靠；倚；防备
adj. 不利的；对立的"
team,"n. 队；组
vt. 使合作
vi. 合作"
win,"n. 赢；胜利
vt. 赢得；在…中获胜；劝诱
vi. 赢；获胜；成功"
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
cheer ... on,"un. 欢呼；喝采；高呼加油:；为某人打气
 向…欢呼；为…加油；鼓励"
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
quite,adv. 很；相当；完全
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
skate,"n. 溜冰；冰鞋
vi. 滑冰；滑过"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
tennis,n. 网球（运动）
table tennis,"n. 乒乓球运动
 桌球；桌上网球；打乒乓球"
player,n. 运动员，比赛者；游戏者，做游戏的人；演奏者，表演者；演员；播放器
rocket,"n. 火箭
vt. 用火箭运载
vi. 飞驰，飞快地移动；迅速增加"
dream,"n. 梦想，愿望；梦
adj. 梦的；理想的；不切实际的
vt. 梦想；做梦；想到
vi. 梦想；做梦，梦见；想到"
grow,"vi. 发展；生长；渐渐变得…
vt. 使生长；种植；扩展"
grow up,"na. 长大
 成长；长大成人；成年"
scientist,n. 科学家
future,"n. 未来；前途；期货；将来时
adj. 将来的，未来的"
in the future,"adv. 今后
 将来；在将来；在未来"
musician,n. 音乐家
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
policeman,n. 警察，警员； 淀帚（橡皮头玻璃搅棒）
policemen,n. 警察（policeman的复数形式）
policewoman,n. 女警察；女警官
policewomen,n. 女警察( policewoman的名词复数 )
postman,n. 邮递员；邮差
postmen,n. 邮差; 邮递员，邮差( postman的名词复数 )
fisherman,n. 渔夫；渔人
fishermen,n. 渔夫，钓鱼者，渔船
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
baseball,n. 棒球；棒球运动
be good at ...,找不到解释
weekend,"n. 周末，周末休假；周末聚会
adj. 周末的，周末用的
vi. 度周末"
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手"
take part in,"na. 参加；贡献
 参与；参加活动；参与…活动"
be good for,"na. 值…
 对…有好处；对……有益；对…有作用"
health,n. 健康；卫生；保健；兴旺
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
all over,"adj. 满
n. 全花织物
 到处；遍及；结束"
world,n. 世界；领域；世俗；全人类；物质生活
heart,"n. 心脏；感情；勇气；心形；要点
vt. 鼓励；铭记
vi. 结心"
lung,n. 肺；呼吸器
the day after tomorrow,"na. 后天
 明天过后；明日之后；末日浩劫"
healthy,adj. 健康的，健全的；有益于健康的
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
keep fit,"na. 保持健康
 保持身体健康；健身；保持身材"
supper,n. 晚餐，晚饭；夜宵
relax,"vi. 放松，休息；松懈，松弛；变从容；休养
vt. 放松；使休息；使松弛；缓和；使松懈"
famous,adj. 著名的；极好的，非常令人满意的
teammate,n. 队友，同队队员
excited,"v. 激动；唤起（excite的过去分词）
adj. 兴奋的；激动的；活跃的"
bad,"n. 坏事；坏人
adj. 坏的；严重的；劣质的
adv. 很，非常；坏地；邪恶地"
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假"
leave for,"un. 到…地方去；去某地:
 动身去；动身去某地；前往"
pity,"n. 怜悯，同情；遗憾
vt. 对……表示怜悯；对……感到同情"
ill,"n. 疾病；不幸
adj. 生病的；坏的；邪恶的；不吉利的
adv. 不利地；恶劣地；几乎不"
fall ill,"na. 病倒；染疾
 生病；患病；得病"
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
give sb. a hand,"un. 制住；帮着干一点
 帮助；帮忙；提供帮助"
do well in, 擅长；在……方面做得好；在……干得好
certainly,adv. 当然；行（用于回答）；必定
somewhere,"n. 某个地方
adv. 在某处；到某处"
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
shout at sb.,找不到解释
fight,"n. 打架；战斗，斗志
vi. 打架；与…打仗，与…斗争；反对…提案"
do one's best,"na. 竭尽所能；尽力
 尽最大努力；不遗余力；尽最大的努力"
teamwork,n. 团队合作；协力
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
be angry with,"na. 对…生气；生(某人)的气
 生……的气；对生气；对…发怒"
