style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
bustle,"n. 喧闹；活跃；裙撑；热闹的活动
vt. 使忙碌；催促
vi. 喧闹；忙乱；充满"
bustling,adj. 熙熙攘攘的；忙乱的
elementary,adj. 基本的；初级的； 元素的
telling,"n. 命令；叙述；吐露真情
v. 告诉；讲述（tell的ing形式）；命令
adj. 有效的；生动的；显著的"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
vigorously,adv. 精神旺盛地，活泼地
vigorous,adj. 有力的；精力充沛的
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
not in the least,"na. 一点也不
 毫不；绝不；一点儿也不"
find one's way,"na. 到达
 找到路；设法到达；找到路径"
bang,"n. 刘海；重击；突然巨响
vt. 重击；发巨响
adv. 直接地；砰然地；突然巨响地"
exploratory,adj. 勘探的；探究的；考察的
harmless,adj. 无害的；无恶意的
phenomenon,n. 现象；奇迹；杰出的人才
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
reposition,"n. 复位；贮藏；放回
vt. 使复位；改变…的位置；使变换阵地"
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
somewhat,"n. 几分；某物
adv. 有点；多少；几分；稍微"
expectantly,adv. 期望地，期待地
await,vt. 等候，等待；期待
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
on occasion,"na. 有时；遇必要时
 间或；偶尔；不时"
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
parental,adj. 父母亲的，父母的；亲代的，亲本的
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
investigate,v. 调查；研究
throw light on,"na. 弄明白
 阐明；解释；说明"
creativity,n. 创造力；创造性
anecdote,n. 轶事；奇闻；秘史
colleague,n. 同事，同僚
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
accomplish,vt. 完成；实现；达到
accomplishment,n. 成就；完成；技艺，技能
in due course,"na. 及时；顺次；及时地；到一定时候
 在适当的时候；在适当时；在适当时机"
sympathetically,adv. 悲怜地，怜悯地；富有同情心地
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
effectively,adv. 有效地，生效地；有力地；实际上
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
self-reliance,n. 自力更生，依靠自己；自恃
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
make up for,"v. 偿还；赔偿
 弥补；补偿；补偿，弥补"
misdeed,n. 罪行；犯罪
creative,adj. 创造性的
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
in retrospect, 回顾；回顾过去；回想起来
artistic,adj. 艺术的；风雅的；有美感的
well-intentioned,adj. 好意的，好心的；出于善意的
intention,n. 意图；目的；意向；愈合
observer,n. 观察者； 观测者；遵守者
come to sb.'s rescue,找不到解释
clumsily,adv. 笨拙地；粗陋地
clumsy,"adj. 笨拙的
笨拙地
不得当的
不得当地"
facility,n. 设施；设备；容易；灵巧
gentleness,n. 温顺；亲切；高贵；彬彬有礼
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
performance,n. 性能；绩效；表演；执行；表现
tradition,n. 惯例，传统；传说
continual,adj. 持续不断的；频繁的
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
calligrapher,n. 书法家
work on,"na. 对…有效；动(人,感情等)；向…做工作；左右
 从事；致力于；继续工作"
work at,"na. 从事；用功读
 致力于；在某处工作；钻研"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
reversal,n. 逆转； 反转； 撤销
priority,n. 优先；优先权； 优先次序；优先考虑的事
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
departure,n. 离开；出发；违背
inseparable,"n. 不可分离的事物；形影不离的朋友
adj.  不可分割的；不能分离的"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
summarize,"vt. 总结；概述
vi. 作总结；作概括"
originality,n. 创意；独创性，创造力；原始；新奇
independence,n. 独立性，自立性；自主
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
fearful,adj. 可怕的；担心的；严重的
on the one hand ... on the other hand,找不到解释
on the other hand,"na. 从另一方面来说；在另一方面
 一方面…另一方面；但是；表示而另一方面"
comparable,adj. 可比较的；比得上的
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
emerge,vi. 浮现；摆脱；暴露
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
overstate,vt. 夸张；夸大的叙述
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
technological,adj. 技术的；工艺的
innovation,n. 创新，革新；新方法
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
breakthrough,n. 突破；突破性进展
valid,adj. 有效的；有根据的；合法的；正当的
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
worthwhile,adj. 值得做的，值得花时间的
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
