economic,adj. 经济的，经济上的；经济学的
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
author,"n. 作者；作家；创始人
vt. 创作出版"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
comprehension,n. 理解；包含
statement,n. 声明；陈述，叙述；报表，清单
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
management,n. 管理；管理人员；管理部门；操纵；经营手段
given,"prep. 考虑到
v. 给予（give的过去分词）
adj. 赠予的；沉溺的；规定的"
environment,n. 环境，外界
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
avoid,vt. 避免；避开，躲避；消除
available,adj. 可获得的；可购得的；可找到的；有空的
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
encourage,vt. 鼓励，怂恿；激励；支持
performance,n. 性能；绩效；表演；执行；表现
attitude,n. 态度；看法；意见；姿势
therefore,adv. 因此；所以
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
behavior,n. 行为，举止；态度；反应
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
imply,vt. 意味；暗示；隐含
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
financial,adj. 金融的；财政的，财务的
corresponding,"adj. 相当的，相应的；一致的；通信的
v. 类似（correspond的ing形式）；相配"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
generate,vt. 使形成；发生；生殖；产生物理反应
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
economy,n. 经济；节约；理财
successive,adj. 连续的；继承的；依次的；接替的
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
aspect,n. 方面；方向；形势；外貌
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
accident,n. 事故；意外； 意外事件；机遇
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
various,adj. 各种各样的；多方面的
consumer,n. 消费者；用户，顾客
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
