new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
year,n. 年；年度；历年；年纪；一年的期间；某年级的学生
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
Mr.,n. 先生
Wood,找不到解释
nice,adj. 精密的；美好的；细微的；和蔼的
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
thanks,"n. 谢谢（只用复数）
int. 谢谢"
pupil,n. 学生； 瞳孔；未成年人
Steven,找不到解释
your,pron. 你的，你们的
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
friend,n. 朋友；助手；赞助者
Kim,找不到解释
from,prep. 来自，从；由于；今后
U.K.,"英国, 联合王国
 英国"
ruler,n. 尺；统治者； 划线板，划线的人
crayon,"n. 蜡笔，有色粉笔
vt. 以蜡笔作画，用颜色粉笔画"
whose,pron. 谁的（疑问代词）
pen,"n. 钢笔；作家；围栏
vt. 写；关入栏中"
schoolbag,n. 书包
my,"pron. 我的
int. 哎呀（表示惊奇等）；喔唷"
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
number,"n. 数；（杂志等的）期；号码；数字；算术
vi. 计入；总数达到
vt. 编号；计入；数…的数目；使为数有限"
sixty,num. 六十；六十个
seventy,"n. 七十；七十个；七十岁；七十年代
num. 七十
adj. 七十的；七十个的；七十岁的"
eighty,"num. 八十
n. 八十；八十岁；八十年代
adj. 八十的，八十个的；八十岁的"
ninety,"n. 九十
adj. 九十的；九十岁的
num. 九十"
hundred,"num. 百；百个
n. 一百；许多
adj. 一百的；许多的"
only,"adv. 只，仅仅；不料
adj. 唯一的，仅有的；最合适的
conj. 但是；不过；可是"
please,"int. 请（礼貌用语）
vt. 使喜欢；使高兴，使满意
vi. 讨人喜欢；令人高兴"
give,"n. 弹性；弯曲；伸展性
vi. 捐赠；面向；有弹性；气候转暖
vt. 给；产生；让步；举办；授予"
more,"adv. 更多；此外；更大程度地
adj. 更多的；附加的
pron. 更多的数量
n. 更多"
sure,"adj. 确信的；可靠的；必定的
adv. 当然；的确"
where,"conj. 在…的地方
n. 地点
adv. 在哪里
pron. 哪里"
in,"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里"
library,n. 图书馆，藏书室；文库
between,"prep. 在…之间
adv. 在中间"
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
playground,n. 运动场，操场；游乐场
beside,prep. 在旁边；与…相比；和…无关
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
front,"n. 前面；正面；前线
adj. 前面的；正面的
vt. 面对；朝向；对付
vi. 朝向
adv. 在前面；向前"
in front of,"na. 在…的前面
 在……前面；在……的前面；在…面前"
classroom,n. 教室
zoo,n. 动物园; <美俚>（铁路货车的最后一节）守车; <美俚>核粒子园
panda,n. 熊猫；猫熊
elephant,n. 象；大号图画纸
monkey,"n. 猴子；顽童
vi. 胡闹；捣蛋
vt. 嘲弄"
animal,"n. 动物
动物的"
its,pron. 它的
trunk,"n. 树干；躯干；象鼻；汽车车尾的行李箱
adj. 干线的；躯干的；箱子的
vt. 把…放入旅行箱内"
tail,"n. 尾巴；踪迹；辫子；燕尾服
adj. 从后面而来的；尾部的
vt. 尾随；装上尾巴
vi. 跟踪；变少或缩小"
want,"n. 需要；缺乏；贫困；必需品
vt. 需要；希望；应该；缺少
vi. 需要；缺少"
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
tiger,n. 老虎；凶暴的人
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
lion,n. 狮子；名人；勇猛的人；社交场合的名流
sleep,"n. 睡眠
vi. 睡，睡觉"
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
forest,"n. 森林
vt. 植树于，使成为森林"
tree,"n. 树；木料；树状物
vt. 把...赶上树
vi. 爬上树；逃上树"
river,n. 河，江
ball,"n. 球；舞会
vt. 捏成球形
vi. 成团块"
black,"n. 黑色；黑人；黑颜料
adj. 黑色的；黑人的；邪恶的
vt. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
vi. 变黑"
white,"n. 白色；洁白；白种人
adj. 白色的；白种的；纯洁的"
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条"
grass,"n. 草；草地，草坪
vt. 放牧；使……长满草；使……吃草
vi. 长草"
banana,n. 香蕉；喜剧演员；大鹰钩鼻
our,pron. 我们的
them,pron. 他们；它们；她们
the,"art. 这；那
adv. 更加（用于比较级，最高级前）"
they,pron. 他们；它们；她们
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手"
world,n. 世界；领域；世俗；全人类；物质生活
clothes,n. 衣服
bicycle,"n. 自行车
vt. 骑自行车运送
vi. 骑脚踏车"
tea,"n. 茶叶；茶树；茶点
vt. 给…沏茶
vi. 喝茶；进茶点"
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
there,"n. 那个地方
adv. 在那里；在那边；在那点上
int. 你瞧"
may,aux. 可以，能够；可能，也许；祝，愿；会，能
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
here,"n. 这里
adv. 在这里；此时
int. 嘿！；喂！"
excuse,"n. 借口；理由
vt. 原谅；为…申辩；给…免去
vi. 作为借口；请求宽恕；表示宽恕"
