volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）"
bury,vt. 埋葬；隐藏
dig up,"na. 查出；找到；开垦(荒地等)；采掘(山芋等)
 挖出；掘起；发现"
hatchery,n. 孵卵处
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
on board,"na. 在船上；在车上；出垒
 到船上；上船；已装船"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
sail,"n. 帆，篷；航行
vi. 航行；启航，开船
vt. 航行"
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
archaeology,"n. 考古学
考古学的"
tent,"n. 帐篷；住处；帷幕
vt. 用帐篷遮盖；使在帐篷里住宿
vi. 住帐蓬；暂时居住"
ever,adv. 永远；曾经；究竟
crazy,adj. 疯狂的；狂热的，着迷的
site,"n. 地点；位置；场所
vt. 设置；为…选址"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
explain,v. 说明；解释
college,n. 大学；学院；学会
tourism,n. 旅游业；游览
the planet, 星球；地球；行星
scenery,n. 风景；景色；舞台布景
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸"
penguin,n. 企鹅；空军地勤人员
iceberg,n.  冰山；显露部分
youth hostel,"n. 青年招待所
 青年旅馆；青年旅舍；青年旅社"
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
campsite,n. 营地
crowded,"adj. 拥挤的；塞满的
v. 拥挤（crowd的过去分词）"
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
cargo,n. 货物，船货
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
waterway,n. 航道；水路；排水沟
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
agricultural,adj. 农业的；农艺的
system,n. 制度，体制；系统；方法
