abandon,"n. 放任；狂热
vt. 遗弃；放弃"
abide by,"na. 坚持；服从
 遵守；信守；遵循"
abolish,vt. 废除，废止；取消，革除
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
accomplish,vt. 完成；实现；达到
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
acquire,vt. 获得；取得；学到；捕获
adapt,"vi. 适应
vt. 使适应；改编"
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
afford,vt. 给予，提供；买得起
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
alter,"vt. 改变，更改
vi. 改变；修改"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
anticipate,vt. 预期，期望；占先，抢先；提前使用
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
assert,vt. 维护，坚持；断言；主张；声称
assess,vt. 评定；估价；对…征税
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
attribute,"n. 属性；特质
vt. 归属；把…归于"
avoid,vt. 避免；避开，躲避；消除
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
belong,vi. 属于，应归入；居住；适宜；应被放置
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
broaden,"vt. 使扩大；使变宽
vi. 扩大，变阔；变宽，加宽"
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
classify,vt. 分类；分等
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
compel,vt. 强迫，迫使；强使发生
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
compete,vi. 竞争；比赛；对抗
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
complement,"n. 补语；余角；补足物
vt. 补足，补助"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
condemn,vt. 谴责；判刑，定罪；声讨
confirm,vt. 确认；确定；证实；批准；使巩固
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
confront,vt. 面对；遭遇；比较
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
convey,vt. 传达；运输；让与
cooperate,vi. 合作，配合；协力
copy,"n. 副本；一册；摹仿
vt. 复制；复印；抄袭
vi. 复制；复印；抄袭"
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
criticise,"vt. 批评；吹毛求疵；非难
vi. 批评；吹毛求疵；非难"
cultivate,vt. 培养；陶冶；耕作
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
deepen,"vt. 使加深；使强烈；使低沉
vi. 变深；变低沉"
define,vt. 定义；使明确；规定
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
depend,vi. 依赖，依靠；取决于；相信，信赖
deprive,vt. 使丧失，剥夺
deserve,"vi. 应受，应得
vt. 应受，应得"
destroy,vt. 破坏；消灭；毁坏
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
devote,vt. 致力于；奉献
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
disagree,vi. 不同意；不一致；争执；不适宜
disclose,vt. 公开；揭露
discourage,vt. 阻止；使气馁
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
distribute,vt. 分配；散布；分开；把…分类
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
earn,vt. 赚，赚得；获得，挣得；使得到；博得
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
eliminate,vt. 消除；排除
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
encourage,vt. 鼓励，怂恿；激励；支持
endeavour,"n. 尽力，竭力
vi. 竭力；企图
vt. 竭力做到，试图或力图（做某事）"
enforce,vt. 实施，执行；强迫，强制
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
enhance,vt. 提高；加强；增加
enjoy,vt. 欣赏，享受；喜爱；使过得快活
enrich,vt. 使充实；使肥沃；使富足
ensure,vt. 保证，确保；使安全
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
establish,"vi. 植物定植
vt. 建立；创办；安置"
exert,vt. 运用，发挥；施以影响
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
facilitate,vt. 促进；帮助；使容易
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
forbid,vt. 禁止；不准；不允许；严禁
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
fulfil,vt. 履行；完成；实践；满足
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
generate,vt. 使形成；发生；生殖；产生物理反应
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
injure,vt. 伤害，损害
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
involve,vt. 包含；牵涉；使陷于；潜心于
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
lose,"vt. 浪费；使沉溺于；使迷路；遗失；错过
vi. 失败；受损失"
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
maintain,vt. 维持；继续；维修；主张；供养
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
occupy,vt. 占据，占领；居住；使忙碌
oppose,"vt. 反对；对抗，抗争
vi. 反对"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
prohibit,vt. 阻止，禁止
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
protect,vt. 保护，防卫；警戒
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
punish,"vt. 惩罚；严厉对待；贪婪地吃喝
vi. 惩罚"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
receive,"vt. 收到；接待；接纳
vi. 接收"
recognise,vt. 认出；承认，认可；识别
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
undermine,vt. 破坏，渐渐破坏；挖掘地基
violate,vt. 违反；侵犯，妨碍；亵渎
widen,"vt. 放宽
vi. 变宽"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
abolishment,n.  废止，革除；取消
absorption,n. 吸收；全神贯注，专心致志
abundance,n. 充裕，丰富
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accomplishment,n. 成就；完成；技艺，技能
achievement,n. 成就；完成；达到；成绩
adaptability,n. 适应性；可变性；适合性
advancement,n. 前进，进步；提升
advent,n. 到来；出现；基督降临；基督降临节
