hello,"n. 表示问候， 惊奇或唤起注意时的用语
int. 喂；哈罗"
what,"pron. 什么；多么；多少
adv. 到什么程度，在哪一方面
adj. 什么；多么；何等
int. 什么；多么"
is,"v. 是（be的三单形式）
n. 存在"
your,pron. 你的，你们的
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
my,"pron. 我的
int. 哎呀（表示惊奇等）；喔唷"
good morning,"int. （上午见面时用语，非正式场合常说 Morning）早上好
 早安；早晨好；上午好"
children,n. 孩子们（child的复数）
good-bye,"n. 告辞
int. 再见"
hi,int. 嗨！（表示问候或用以唤起注意）
I,"n. 碘元素；英语字母I
pron. 我"
am,找不到解释
friend,n. 朋友；助手；赞助者
this,"adj. 这；本；这个；今
pron. 这；这个；这里
adv. 这样地；这么"
look,"vt. 看；期待；注意；面向；看上去像
vi. 看；看起来；注意；面向
n. 看；样子；面容"
that,"conj. 因为；以至于
adj. 那；那个
pron. 那；那个
adv. 那么；那样"
a,"n. 字母A；第一流的；学业成绩达最高标准的评价符号
abbr. 安（ampere）"
lovely,"adj. 可爱的；令人愉快的；爱恋的；秀丽的，优美的
n. 美女；可爱的东西"
deer,n. 鹿
no,"adv. 不
adj. 没有；不是
n. 不；否决票
abbr. 数字（number）；元素锘（nobelium）的符号"
it,"abbr. 信息技术information technology
abbr. 意大利Italy；意大利的Italian"
tiger,n. 老虎；凶暴的人
who,pron. 谁；什么人
she,"n. 女人；雌性动物
pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等）"
from,prep. 来自，从；由于；今后
Canada,n. 加拿大（北美洲国家）
he,"n. 男孩，男人；它（雄性动物）
pron. 他"
UK,"n. 英国
abbr. 联合王国（United Kingdom）"
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛"
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
China,"n. 中国
n. china，瓷器
adj. 中国的；中国制造的
adj. china，瓷制的"
USA,abbr. 美国；美利坚合众国（the United States of America）
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
photo,n. 照片
mother,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的"
father,"n. 父亲，爸爸；神父；祖先；前辈
vt. 发明，创立；当…的父亲"
sister,"n. 姐妹；（称志同道合者）姐妹；修女；护士
adj. 姐妹般的；同类型的"
brother,"n. 兄弟；同事；战友
int. 我的老兄！"
me,"pron. 我（宾格）
n. 自我；极端自私的人；自我的一部分"
grandmother,"n. 祖母；女祖先
vt. 当…的祖母
vi. 当祖母"
grandfather,"n. 祖父；始祖
vt. 不受新规定限制"
aunt,n. 阿姨；姑妈；伯母；舅妈
uncle,n. 叔叔；伯父；伯伯；舅父；姨丈；姑父
welcome,"n. 欢迎
vt. 欢迎
adj. 受欢迎的
int. 欢迎"
mom,n. 妈妈
his,pron. 他的
parrot,"n. 鹦鹉；学舌者，应声虫；机械模仿别人的人
vt. 机械地模仿"
dad,n. 爸爸；爹爹
her,pron. 她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船）
room,"n. 房间；空间；余地；机会；房间里所有的人
vt. 为…提供住处；租房，合住；投宿，住宿；留…住宿
vi. 居住；住宿"
doll,"n. 洋娃娃；玩偶；无头脑的美丽女人
vt. 把…打扮得花枝招展"
bike,"n. 自行车；脚踏车
vi. 骑自行车（或摩托车）"
bag,"n. 袋；猎获物；（俚）一瓶啤酒
vt. 猎获；把…装入袋中；占据，私吞；使膨大
vi. 松垂"
computer,n. 计算机；电脑；电子计算机
car,n. 汽车；车厢
