juggler,n. 变戏法的人；玩杂耍的人；骗子
does,v. 做；工作；有用（do的第三人称单数形式）
teacher,n. 教师；导师
juggle,"vi. 玩杂耍；欺骗；歪曲
vt. 歪曲；欺骗
n. 玩戏法；欺骗"
doctor,"vt. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士
vi. 就医；行医"
vet,"n. 兽医
vt. 审查；诊疗
vi. 作兽医；诊疗"
farmer,n. 农夫，农民
policeman,n. 警察，警员； 淀帚（橡皮头玻璃搅棒）
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
bus driver,"na. (公共汽车)驾驶员；轰炸机驾驶员
 公车司机；巴士驾驶员；公共汽车司机"
singer,n. 歌手，歌唱家
worker,n. 工人；劳动者；职蚁
teach,"vt. 教；教授；教导
vi. 教授；讲授；当老师"
see,"vi. 看；看见；领会
vt. 看见；理解；领会"
squirrel,"n. 松鼠；松鼠毛皮
vt. 贮藏"
build,"n. 构造；体形；体格
vi. 建筑；建造
vt. 建立；建筑"
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
leaf,"n. 叶子；（书籍等的）一张；扇页
vi. 生叶；翻书页
vt. 翻…的页，匆匆翻阅"
panda,n. 熊猫；猫熊
rabbit,"n. 兔子，野兔
vt. 让…见鬼去吧
vi. 猎兔"
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
hole,"n. 洞，孔；洞穴，穴；突破口
vt. 凿洞
vi. 凿洞，穿孔；（高尔夫球等）进洞"
grass,"n. 草；草地，草坪
vt. 放牧；使……长满草；使……吃草
vi. 长草"
tiger,n. 老虎；凶暴的人
leopard,n. 豹；美洲豹
sheep,n. 羊，绵羊；胆小鬼
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
giraffe,n. 长颈鹿
kangaroo,n. 袋鼠
lion,n. 狮子；名人；勇猛的人；社交场合的名流
too,adv. 太；也；很；还；非常；过度
expensive,adj. 昂贵的；花钱的
skirt,"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕"
clothes,n. 衣服
cheap,"adj. 便宜的；小气的；不值钱的
adv. 便宜地"
any,"adj. 任何的；所有的；丝毫
pron. 任何；任何一个；若干
adv. 稍微；少许"
shoes,"n. 鞋子（shoe的复数）
v. 穿鞋（shoe的第三人称单数）"
pair,"n. 一对，一双，一副
vt. 把…组成一对"
trousers,n. 裤子，长裤
size,"n. 大小；尺寸
adj. 一定尺寸的
vt. 依大小排列
vi. 可比拟"
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
coat,"n. 外套
vt. 覆盖…的表面"
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
jacket,"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；打"
jeans,n. 牛仔裤；工装裤
shorts,n. 短裤
sandals,"n.  凉鞋； 拖鞋（sandal的复数）；便鞋
v. 使穿凉鞋（sandal的第三人称单数）"
where,"conj. 在…的地方
n. 地点
adv. 在哪里
pron. 哪里"
here,"n. 这里
adv. 在这里；此时
int. 嘿！；喂！"
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
sofa,n. 沙发；长椅
under,"prep. 低于，少于；在...之下
adj. 下面的；从属的
adv. 在下面；在下方"
in,"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里"
bed,"n. 床；基础；河底， 海底
vt. 使睡觉；安置，嵌入；栽种
vi. 上床；分层"
wardrobe,n. 衣柜；行头；全部戏装
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
in front of,"na. 在…的前面
 在……前面；在……的前面；在…面前"
next to,"prep. 紧邻；在…近旁；仅次于；紧接
 在…旁边；紧挨着；与……相邻"
bookshelf,n. 书架
town,n. 城镇，市镇；市内商业区
map,"vt. 映射；计划；绘制地图；确定基因在染色体中的位置
n. 地图；示意图；染色体图
vi. 基因被安置"
near,"adj. 近的；亲近的；近似的
adv. 近；接近
prep. 靠近；近似于"
train station,"n. 火车站
 最近的车站；火车站图片；距离火车站"
zoo,n. 动物园; <美俚>（铁路货车的最后一节）守车; <美俚>核粒子园
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
go straight,"na. 笔直走
 一直走；向前直走；直行"
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换"
left,"adj. 左边的；左派的；剩下的
adv. 在左面
n. 左边；左派；激进分子
v. 离开（leave的过去式）"
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
toilet,"n. 厕所，盥洗室；梳妆，打扮
vt. 给…梳妆打扮
vi. 梳妆，打扮"
post office,"n. 邮局；邮政部门；邮政系统；邮差敲门游戏（儿童用假托的信件换取亲吻）
 邮政局；邮电局；邮政署"
supermarket,n. 超级市场；自助售货商店
cinema,n. 电影；电影院；电影业，电影制作术
lake,"n. 湖；深红色颜料；胭脂红
vt. （使）血球溶解
vi. （使）血球溶解"
street,"n. 街道
adj. 街道的"
bus stop,"n. 公共汽车停靠站
 公共汽车站；巴士站；公交车站"
hospital,n. 医院
library,n. 图书馆，藏书室；文库
