more than,"na. …以上；比…更
 多于；超过；不止"
thousand,"n. 一千；一千个；许许多多
adj. 成千的；无数的"
kilometre,n.  公里； 千米
something,"n. 重要的人；值得重视的事
adj. 大约；有点象
adv. 非常；有点；大约
pron. 某事；某物"
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
map,"vt. 映射；计划；绘制地图；确定基因在染色体中的位置
n. 地图；示意图；染色体图
vi. 基因被安置"
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
dancing,"n. 跳舞；舞蹈
v. 跳舞；摇晃（dance的ing形式）"
Chinatown,n. 唐人街，中国城
sometimes,adv. 有时，间或
shop,"n. 商店；店铺
vt. 购物
vi. 购物；买东西"
then,"conj. 然后，当时
n. 那时
adv. 然后；那么；于是；当时；此外"
ah,int. 啊；呀
strong,"adj. 坚强的；强壮的；牢固的；擅长的
adv. 强劲地；猛烈地"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
stamp,"n. 邮票；印记；标志；跺脚
vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
vi. 跺脚；捣碎；毁掉"
hobby,n. 嗜好；业余爱好
doll,"n. 洋娃娃；玩偶；无头脑的美丽女人
vt. 把…打扮得花枝招展"
bicycle,"n. 自行车
vt. 骑自行车运送
vi. 骑脚踏车"
Thanksgiving,找不到解释
Thanksgiving Day,"n. 感恩节；在美国；在加拿大
 加拿大感恩节；星期四是感恩节；星期四美国感恩节"
flag,"n. 标志；旗子
vt. 标记；插旗
vi. 标记；衰退；枯萎"
Flag Day,找不到解释
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
meal,"n. 一餐，一顿饭；膳食
vi. 进餐"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
moon cake,"n. 月饼
 中国中秋节应时的食品；中秋月饼；闷极"
the Mid-Autumn Festival,找不到解释
the Dragon Boat Festival,找不到解释
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
lantern,n. 灯笼；提灯；灯笼式天窗
the Lantern Festival,找不到解释
