shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
adequate,adj. 充足的；适当的；胜任的
credible,adj. 可靠的，可信的
statistic,"n. 统计数值
adj. 统计的，统计学的"
benign,adj. 良性的；和蔼的，亲切的；吉利的
conditional,"n. 条件句；条件语
adj. 有条件的；假定的"
astound,vt. 使惊骇；使震惊
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
fabulous,adj. 难以置信的；传说的，寓言中的；极好的
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
commentator,n. 评论员，解说员；实况播音员；时事评论者
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
condemn,vt. 谴责；判刑，定罪；声讨
debut,"n. 初次登台；开张
vi. 初次登台"
symmetry,n. 对称（性）；整齐，匀称
thrive,vi. 繁荣，兴旺；茁壮成长
van,"n. 先锋；厢式货车；增值网
vt. 用车搬运"
enhance,vt. 提高；加强；增加
depict,vt. 描述；描画
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
restless,adj. 焦躁不安的；不安宁的；得不到满足的
discord,"n. 不和；不调和；嘈杂声
vi. 不一致；刺耳"
indigenous,adj. 本土的；土著的；国产的；固有的
classify,vt. 分类；分等
division,n.  除法；部门；分配；分割；师（军队）；赛区
editorial,"n. 社论
adj. 编辑的；社论的"
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
flexible,adj. 灵活的；柔韧的；易弯曲的
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
astray,"adj. 迷路的；离开正道的；不对头的
adv. 误入歧途地；迷途地；迷路"
furious,adj. 激烈的；狂怒的；热烈兴奋的；喧闹的
intrusive,adj. 侵入的；打扰的
furnish,vt. 提供；供应；装备
grill,"n. 烤架，铁格子；烤肉
vi. 拷问，严加盘问
vt. 烧，烤；"
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
immense,adj. 巨大的，广大的；无边无际的；非常好的
excessive,adj. 过多的，极度的；过分的
excessively,adv. 过分地；极度
insist,"vi. 坚持，强调
vt. 坚持，强调"
locomotive,"adj. 火车头的；运动的；移动的
n. 机车；火车头"
inspection,n. 视察，检查
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
