at,"prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于
n. 阿特（老挝货币基本单位att）；砹（极不稳定放射性元素）
abbr. 密封的（airtight）；气温（air temperature）"
home,"n. 家，住宅；产地；家乡；避难所
adj. 国内的，家庭的；有效的
vt. 归巢，回家
adv. 在家，回家；深入地"
hello,"n. 表示问候， 惊奇或唤起注意时的用语
int. 喂；哈罗"
hi,int. 嗨！（表示问候或用以唤起注意）
I,"n. 碘元素；英语字母I
pron. 我"
am,找不到解释
what,"pron. 什么；多么；多少
adv. 到什么程度，在哪一方面
adj. 什么；多么；何等
int. 什么；多么"
is,"v. 是（be的三单形式）
n. 存在"
your,pron. 你的，你们的
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
nice,adj. 精密的；美好的；细微的；和蔼的
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
you,pron. 你；你们
goodbye,"int. 再见
放弃
告别"
bye,"n. 轮空；次要的东西
int. 再见
adj. 次要的"
in,"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里"
the,"art. 这；那
adv. 更加（用于比较级，最高级前）"
classroom,n. 教室
this,"adj. 这；本；这个；今
pron. 这；这个；这里
adv. 这样地；这么"
it,"abbr. 信息技术information technology
abbr. 意大利Italy；意大利的Italian"
a,"n. 字母A；第一流的；学业成绩达最高标准的评价符号
abbr. 安（ampere）"
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
an,art. 一（在元音音素前）
apple,n. 苹果，苹果树，苹果似的东西；炸弹，手榴弹，（棒球的）球；人，家伙。
table,"n. 桌子；表格；平地层
vt. 制表；搁置；嵌合
adj. 桌子的"
