anguish,"n. 痛苦；苦恼
vt. 使极度痛苦
vi. 感到极度的痛苦"
beloved,"n. 心爱的人；亲爱的教友
adj. 心爱的；挚爱的"
breathing,"n. 呼吸；瞬间；微风
adj. 呼吸的；逼真的
v. 呼吸（breathe的现在分词）"
confront,vt. 面对；遭遇；比较
conspicuously,adv. 显著地，明显地；超群地，惹人注目地
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
gracefully,adv. 优雅地；温文地
gravely,adv. 严重地；严肃地；严峻地；沉重地
haven,"n. 港口；避难所，安息所
vt. 为……提供避难处；安置……于港中"
hoarse,"adj. 嘶哑的
嘶哑地"
kneel,vi. 跪下，跪
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手"
porch,n. 门廊；走廊
rest,"n. 休息，静止；休息时间；剩余部分；支架
vt. 使休息，使轻松；把…寄托于
vi. 休息；静止；依赖；安置"
rosebush,n. 蔷薇丛；玫瑰丛；灌木
shudder,"n. 发抖；战栗；震动
vi. 发抖；战栗"
summon,vt. 召唤；召集；鼓起；振作
bring back,"na. 送回；使恢复；使回忆起
 拿回来；带回；带回来"
give in,"na. 让步；屈服；投降；上交
 交上；认输；放弃"
hand in hand,"na. 手拉手；联合
 手牵手；携手；牵阮的手"
have sth. in common,"un. 没有共同之处；有某些共同之处
 共同点；与…有共通之处；有共同点"
laughter and tears,又哭又笑;欢乐与悲伤
lock sth. away,"na. 锁起来
 把…锁藏起来；把它锁起来；下锁保管"
through one's tears,找不到解释
well up,"adv. 靠近顶部
 涌出；涌上；热泪盈眶"
stare off,找不到解释
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
attic,n. 阁楼；顶楼；鼓室上的隐窝
awfully,adv. 可怕地；十分；非常；很
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
county,n. 郡，县
crinkly,adj. 起皱的；卷缩的；绉褶多的
dial,"n. 转盘；刻度盘；钟面
vt. 给…拨号打电话
vi. 拨号"
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
fraction,n. 分数；部分；小部分；稍微
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
inspector,n. 检查员；巡视员
loftily,adv. 高尚地；傲慢地
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
nonchalantly,adv. 冷淡地，漠不关心地
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击"
scornful,adj. 轻蔑的
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
telebook,n. 电视剧剧情说明书
tuck,"n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃"
whistle,"n. 口哨；汽笛；呼啸声
vt. 吹口哨；鸣汽笛"
in no time,"na. 立刻
 马上；很快；立即"
send for,"na. 派人去叫；遣人去拿；乞求
 派人去请；派人去请，召唤；派人去拿"
aisle,n. 通道，走道；侧廊
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
bellman,n. 更夫；传达员；鸣钟者
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
coworker,n. 同事；合作者
elevator,n. 电梯；升降机；升降舵；起卸机
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
genuinely,adv. 真诚地；诚实地
gracious,"adj. 亲切的；高尚的；和蔼的；雅致的
int. 天哪；哎呀"
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
insignificant,adj. 无关紧要的
irritation,n. 刺激；激怒，恼怒，生气；兴奋；令人恼火的事
lipstick,"n. 口红；唇膏
vt. 涂口红
vi. 涂口红"
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
mood,n. 情绪，语气；心境；气氛
motorist,n. 驾车旅行的人，开汽车的人
panache,n. 羽饰；灿烂；耍派头
priceless,"n. 非卖品
adj. 无价的；极贵重的；非常有趣的"
punctuality,n. 严守时间；正确；规矩
recipe,n. 食谱； 处方；秘诀；烹饪法
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
spouse,"n. 配偶
vt. 和…结婚"
stylish,adj. 时髦的；现代风格的；潇洒的
