adolescence,n. 青春期
anonymously,adv. 不具名地；化名地
attentive,adj. 留意的，注意的
automatically,"adj. 不经思索的
adv. 自动地；机械地；无意识地"
belle,n. 美女
bolster,"n. 支持；长枕
vt. 支持；支撑"
brace,"n. 支柱； 大括号；曲柄
vt. 支撑；振作起来；激励；撑牢
adj. 曲柄的
vi. 支持；打起精神"
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
capricious,adj. 反复无常的；任性的
comely,adj. 清秀的，标致的
comparison,n. 比较；对照；比喻；比较关系
contingent,"n. 分遣队；偶然事件；分得部分；代表团
adj. 因情况而异的；不一定的；偶然发生的；可能的；依情况而定的；偶然的；有条件的"
crunch,"n. 咬碎，咬碎声；扎扎地踏
vt. 压碎；嘎扎嘎扎的咬嚼；扎扎地踏过
vi. 嘎吱作响地咀嚼；嘎吱嘎吱地踏过"
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
curvy,adj. 弯曲的；曲线美的（等于curvaceous）
disfigure,vt. 使变丑；损毁…的外形；使大为减色
downright,"adj. 明白的；直率的；显明的
adv. 完全，彻底；全然"
duckling,n. 小鸭子
emeritus,adj. 退休的；名誉退休的
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
exclusively,adv. 唯一地；专有地；排外地
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活"
freckled,"adj. 有雀斑的；有斑点的
v. 生斑点；布满斑点（freckle的过去式和过去分词）"
gawky,"n. 笨拙的人
adj. 笨拙的，鲁钝的"
gleam,"n. 微光；闪光；瞬息的一现
vt. 使闪烁；使发微光
vi. 闪烁；隐约地闪现"
headgear,n. 帽子；马首挽具； 井架；牙齿矫正器
homely,adj. 家庭的；平凡的；不好看的
imperfection,n. 不完美；瑕疵；缺点
innate,adj. 先天的；固有的；与生俱来的
knockout,"adj. 淘汰的；击倒的；迷人的
n. 淘汰赛；击倒；给人留下深刻印象的人；绝代佳人"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
