unofficial,adj. 非官方的；非正式的
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
unashamed,adj. 无耻的；恬不知耻的；问心无愧的
ashamed,adj. 惭愧的，感到难为情的；耻于……的
unsafe,adj. 不安全的；危险的；不安稳的
safe,"n. 保险箱；冷藏室；纱橱
adj. 安全的；可靠的；平安的"
non-alcoholic,adj. 不含酒精的
alcoholic,"n. 酒鬼，酗酒者
adj. 酒精的，含酒精的"
believer,n. 信徒；相信...者
non-verbal,adj. 非语言的；非用言语的
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
disarm,"vt. 解除武装；裁军；缓和
vi. 放下武器；裁减军备"
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
disobey,v. 违反；不服从
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
incorrect,adj. 错误的，不正确的；不适当的；不真实的
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
inhuman,adj. 残忍的；野蛮的；无人性的
human,"n. 人；人类
adj. 人的；人类的"
inadmissible,adj. 不许可的；难承认的
admissible,adj. 可容许的；可采纳的；可接受的
imbalance,n. 不平衡；不安定
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
immaterial,adj. 非物质的；无形的；不重要的；非实质的
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
impassable,adj. 不能通行的（名词impassability，副词impassably）；无路可通的
passable,adj. 尚可的；可通行的；（钱币等）可流通的
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
legal,adj. 法律的；合法的；法定的；依照法律的
illogic,n. 不合逻辑，缺乏逻辑
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
literate,"adj. 受过教育的；精通文学的
n. 学者"
irresponsible,adj. 不负责任的；不可靠的
responsible,adj. 负责的，可靠的；有责任的
irrational,"n.  无理数
adj. 不合理的；无理性的；荒谬的"
rational,"n. 有理数
adj. 合理的；理性的"
irrelevance,n. 离题；枝节问题；不相关的事物
relevance,n. 关联；适当；中肯
misdeed,n. 罪行；犯罪
deed,"n. 行动；功绩；证书； 契据
vt. 立契转让"
misuse,"vt. 滥用；误用；虐待
n. 滥用；误用；虐待"
use,"n. 使用；用途；发挥
vt. 利用；耗费
vi. 使用，运用"
misunderstanding,n. 误解；误会；不和
understanding,"n. 谅解，理解；理解力；协议
v. 理解；明白（understand的ing形式）
adj. 了解的；聪明的；有理解力的"
deconstruct,vt. 解构；拆析
construct,"n. 构想，概念
vt. 建造，构造；创立"
deforest,vt. 采伐森林；清除…上的树林
