influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
economic,adj. 经济的，经济上的；经济学的
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
legal,adj. 法律的；合法的；法定的；依照法律的
financial,adj. 金融的；财政的，财务的
substance,n. 物质；实质；资产；主旨
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
humanity,n. 人类；人道；仁慈；人文学科
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
species,"n.  物种；种类
adj. 物种上的"
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
community,n. 社区； 群落；共同体；团体
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
criticism,n. 批评；考证；苛求
genetic,adj. 遗传的；基因的；起源的
journal,n. 日报，杂志；日记；分类账
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
infer,"vi. 推断；作出推论
vt. 推断；推论"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
response,n. 响应；反应；回答
association,n. 协会，联盟，社团；联合；联想
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
involve,vt. 包含；牵涉；使陷于；潜心于
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
layman,n. 外行；门外汉；俗人；一般信徒
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
available,adj. 可获得的；可购得的；可找到的；有空的
celebrity,n. 名人；名声
congress,n. 国会；代表大会；会议；社交
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
innovation,n. 创新，革新；新方法
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
capacity,n. 能力；容量；资格，地位；生产力
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
