abandon,"n. 放任；狂热
vt. 遗弃；放弃"
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
against,"prep. 反对，违反；靠；倚；防备
adj. 不利的；对立的"
alone,"adj. 独自的；单独的；孤独的
adv. 独自地；单独地"
aloud,adv. 大声地；出声地
amaze,vt. 使吃惊
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
arise,vi. 出现；上升；起立
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
ashamed,adj. 惭愧的，感到难为情的；耻于……的
avoid,vt. 避免；避开，躲避；消除
await,vt. 等候，等待；期待
awake,"adj. 醒着的
vt. 唤醒；使觉醒；激起，唤起
vi. 觉醒，意识到；醒来；被唤起"
award,"n. 奖品；判决
vt. 授予；判定"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
abreast,"adj. 并排的；肩并肩的
adv. 并肩地；并列"
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
ashore,"adj. 在岸上的；在陆上的
adv. 在岸上；向岸"
asleep,"adj. 睡着的；麻木的；长眠的
adv. 熟睡地；进入睡眠状态"
away,adv. 离去，离开；在远处
abnormal,adj. 反常的，不规则的；变态的
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
abound,vi. 富于；充满
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
abundance,n. 充裕，丰富
abundant,adj. 丰富的；充裕的；盛产
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
accustomed,"v. 使习惯于（accustom的过去分词）
adj. 习惯的；通常的；独有的"
acknowledge,vt. 承认；答谢；报偿；告知已收到
acquaint,vt. 使熟悉；使认识
acquaintance,n. 熟人；相识；了解；知道
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
affirm,"vt. 肯定；断言
vi. 确认；断言"
appear,vi. 出现；显得；似乎；出庭；登场
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
applause,n. 欢呼，喝采；鼓掌欢迎
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
arrow,"n. 箭，箭头；箭状物；箭头记号
vt. 以箭头指示；箭一般地飞向"
assert,vt. 维护，坚持；断言；主张；声称
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
adapt,"vi. 适应
vt. 使适应；改编"
adjacent,adj. 邻近的，毗连的
adjoin,"vt. 毗连，邻接
vi. 毗连，邻接"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
administration,n. 管理；行政；实施；行政机构
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
adverb,"n. 副词
adj. 副词的"
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
beware,"vt. 注意，当心；提防
vi. 当心，小心"
bewilder,vt. 使迷惑，使不知所措
behalf,n. 代表；利益
beloved,"n. 心爱的人；亲爱的教友
adj. 心爱的；挚爱的"
beneath,"prep. 在…之下
adv. 在下方"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
commemorate,vt. 庆祝，纪念；成为…的纪念
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
complaint,n. 抱怨；诉苦；疾病；委屈
comprehend,vt. 理解；包含；由…组成
comprehension,n. 理解；包含
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
conceal,vt. 隐藏；隐瞒
condemn,vt. 谴责；判刑，定罪；声讨
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
confident,adj. 自信的；确信的
confirm,vt. 确认；确定；证实；批准；使巩固
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
convince,vt. 说服；使确信，使信服
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
corrode,"vt. 侵蚀；损害
vi. 受腐蚀；起腐蚀作用"
coalition,n. 联合；结合，合并
collaborate,vi. 合作；勾结，通敌
colleague,n. 同事，同僚
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
collection,n. 采集，聚集； 征收；收藏品；募捐
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
commerce,n. 贸易；商业；商务
committee,n. 委员会
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
commonwealth,n. 联邦；共和国；国民整体
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
community,n. 社区； 群落；共同体；团体
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
compile,vt. 编译；编制；编辑； 汇编
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
concept,n. 观念，概念
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
confront,vt. 面对；遭遇；比较
confuse,vt. 使混乱；使困惑
congress,n. 国会；代表大会；会议；社交
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
connection,n. 连接；关系；人脉；连接件
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
contagious,adj. 感染性的；会蔓延的
context,n. 环境；上下文；来龙去脉
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
council,n. 委员会；会议；理事会；地方议会；顾问班子
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
defence,n. 防御；防卫；答辩；防卫设备
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
definition,n. 定义； 清晰度；解说
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
depict,vt. 描述；描画
deplore,vt. 谴责；悲悼；哀叹；对…深感遗憾
devote,vt. 致力于；奉献
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
delete,vt. 删除
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
detach,vt. 分离；派遣；使超然
detect,vt. 察觉；发现；探测
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
depress,vt. 压抑；使沮丧；使萧条
derive,"vt. 源于；得自；获得
vi. 起源"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
destruction,n. 破坏，毁灭；摧毁
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
distill,"vt. 提取；蒸馏；使滴下
vi. 蒸馏；滴下；作为精华产生（等于distil）"
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
dilemma,n. 困境；进退两难；两刀论法
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
difference,n. 差异；不同；争执
diffluence,"n. 分流, 溶解
 液化, 溶化"
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
difficult,adj. 困难的；不随和的；执拗的
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
disaster,n. 灾难，灾祸；不幸
disclaim,"vt. 否认，拒绝；放弃，弃权；拒绝承认
vi. 否认；放弃；弃权"
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
discreet,adj. 谨慎的；小心的
discrepancy,n. 不符；矛盾；相差
discuss,vt. 讨论；论述，辩论
dissipate,"vi. 驱散；放荡
vt. 浪费；使…消散"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
disable,vt. 使失去能力；使残废；使无资格
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
discourage,vt. 阻止；使气馁
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
displace,vt. 取代；置换；转移；把…免职；排水
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
elite,n. 精英；精华；中坚分子
emit,vt. 发出，放射；发行；发表
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
excerpt,"n. 摘录，引用
vt. 引用，摘录
vi. 摘录，引用"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
exclude,vt. 排除；排斥；拒绝接纳；逐出
exert,vt. 运用，发挥；施以影响
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
explosion,n. 爆炸；爆发；激增
expose,vt. 揭露，揭发；使曝光；显示
ecology,n. 生态学；社会生态学
economic,adj. 经济的，经济上的；经济学的
economical,adj. 经济的；节约的；合算的
economics,n. 经济学；国家的经济状况
economy,n. 经济；节约；理财
ecotourism,n. 生态旅游，生态旅行（前往生态资源未被破坏的地方旅行）
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
embed,vt. 栽种；使嵌入，使插入；使深留脑中
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
enclosure,n. 附件；围墙；围场
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
enthusiasm,n. 热心，热忱，热情
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
