technology,n. 技术；工艺；术语
programme,"n. 计划，规划；节目；程序
vt. 规划；拟…计划
vi. 编程序；制作节目"
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
researcher,n. 研究员
economy,n. 经济；节约；理财
climate,n. 气候；风气；思潮；风土
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
product,n. 产品；结果； 乘积；作品
poverty,n. 贫困；困难；缺少；低劣
require,vt. 需要；要求；命令
environmental,adj. 环境的，周围的；有关环境的
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
management,n. 管理；管理人员；管理部门；操纵；经营手段
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
prove,"vi. 证明是
vt. 证明；检验；显示"
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
labour,n. （英国）工党
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
reality,n. 现实；实际；真实
cultural,adj. 文化的；教养的
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
athletic,adj. 运动的，运动员的；体格健壮的
genetic,adj. 遗传的；基因的；起源的
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
racial,adj. 种族的；人种的
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
employer,n. 雇主，老板
improvement,n. 改进，改善；提高
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
currently,adv. 当前；一般地
elite,n. 精英；精华；中坚分子
poetry,n. 诗；诗意，诗情；诗歌艺术
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地"
momentum,n. 势头； 动量；动力；冲力
storage,n. 存储；仓库；贮藏所
various,adj. 各种各样的；多方面的
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
percentage,n. 百分比；百分率，百分数
disaster,n. 灾难，灾祸；不幸
diversity,n. 多样性；差异
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
agricultural,adj. 农业的；农艺的
immigration,n. 外来移民；移居
politician,n. 政治家，政客
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
technological,adj. 技术的；工艺的
admission,n. 承认；入场费；进入许可；坦白；录用
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
effectively,adv. 有效地，生效地；有力地；实际上
haven,"n. 港口；避难所，安息所
vt. 为……提供避难处；安置……于港中"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
necessarily,adv. 必要地；必定地，必然地
oppose,"vt. 反对；对抗，抗争
vi. 反对"
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
category,n. 种类，分类； 范畴
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
craftsmanship,n. 技术；技艺
ecosystem,n. 生态系统
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
fibre,n. 纤维；纤维制品
frequently,adv. 频繁地，经常地；时常，屡次
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
potentially,adv. 可能地，潜在地
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
anticipate,vt. 预期，期望；占先，抢先；提前使用
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
cave,"n. 洞穴，窑洞
vi. 凹陷，塌落；投降
vt. 使凹陷，使塌落；在…挖洞穴"
curriculum,"n. 课程
总课程"
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
provider,n. 供应者；养家者
sociologist,n. 社会学家
thrive,vi. 繁荣，兴旺；茁壮成长
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
drought,n. 干旱；缺乏
equality,n. 平等；相等； 等式
fee,"n. 费用；酬金；小费
vt. 付费给……"
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库"
modify,"vt. 修改，修饰；更改
vi. 修改"
monarch,n. 君主，帝王；最高统治者
odds,n. 几率；胜算；不平等；差别
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
quota,n. 配额；定额；限额
retailer,n. 零售商；传播的人
rural,adj. 农村的，乡下的；田园的，有乡村风味的
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
supervisor,n. 监督人， 管理人；检查员
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
beneficial,adj. 有益的，有利的；可享利益的
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
capable,adj. 能干的，能胜任的；有才华的
closely,adv. 紧密地；接近地；严密地；亲近地
congress,n. 国会；代表大会；会议；社交
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
currency,n. 货币；通货
deck,"n. 甲板；行李仓；露天平台
vt. 装饰；装甲板；打扮"
deficit,n. 赤字；不足额
destroy,vt. 破坏；消灭；毁坏
dump,"n. 垃圾场；仓库；无秩序地累积
vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
gene,n.  基因，遗传因子
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑"
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
norm,n. 标准，规范
obtain,"vi. 获得；流行
vt. 获得"
participation,n. 参与；分享；参股
passion,n. 激情；热情；酷爱；盛怒
retirement,n. 退休，退役
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
assess,vt. 评定；估价；对…征税
element,n. 元素；要素；原理；成分；自然环境
evaluation,n. 评价； 评估；估价；求值
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
historical,adj. 历史的；史学的；基于史实的
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
mall,n. 购物商场；林荫路；铁圈球场
migration,n. 迁移；移民；移动
pollute,vt. 污染；玷污；败坏
proposal,n. 提议，建议；求婚
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
stimulus,n. 刺激；激励；刺激物
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
supportive,adj. 支持的；支援的；赞助的
urgent,adj. 紧急的；急迫的
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
advertisement,n. 广告，宣传
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
affordable,adj. 负担得起的
analyse,vt. 分析；分解；细察
analyze,vt. 对…进行分析，分解（等于analyse）
announcement,n. 公告；宣告；发表；通告
apparently,adv. 显然地；似乎，表面上
appearance,n. 外貌，外观；出现，露面
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
capitalism,n. 资本主义
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
cooperation,n. 合作，协作； 协力
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
enrol,"vi. 注册；参军
vt. 登记；卷起；入学；使入会"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
investor,n. 投资者
ladder,"n. 阶梯；途径；梯状物
vi. 成名；发迹
vt. 在……上装设梯子"
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
outsourcing,n. 外包；外购；外部采办
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
reluctant,adj. 不情愿的；勉强的；顽抗的
renewable,"n. 再生性能源
adj. 可再生的；可更新的；可继续的"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
strategic,adj. 战略上的，战略的
structural,adj. 结构的；建筑的
subsidy,n. 补贴；津贴；补助金
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
viewer,n. 观察者；观看者；观众； 指示器
wire,"n. 电线；金属丝；电报
vt. 拍电报；给…装电线
vi. 打电报"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
antibiotic,"n. 抗生素，抗菌素
adj. 抗生的；抗菌的"
artistic,adj. 艺术的；风雅的；有美感的
aspirin,n. 阿司匹林（解热镇痛药）
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
chronic,adj. 慢性的；长期的；习惯性的
cigarette,n. 香烟；纸烟
consist,vi. 由…组成；在于；符合
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
election,n. 选举；当选；选择权；上帝的选拔
endanger,vt. 危及；使遭到危险
equally,adv. 同样地；相等地，平等地；公平地
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
genetically,adv. 从遗传学角度；从基因方面
laptop,n. 膝上型轻便电脑，笔记本电脑
leadership,n. 领导能力；领导阶层
literacy,n. 读写能力；精通文学
meaningful,adj. 有意义的；意味深长的
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
numerous,adj. 许多的，很多的
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
printer,n.  打印机；印刷工；印花工
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
roughly,adv. 粗糙地；概略地
rubbish,"n. 垃圾，废物；废话
adj. 毫无价值的"
successfully,adv. 成功地；顺利地
supporter,n. 支持者；拥护者
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
tropical,adj. 热带的；热情的；酷热的
absence,n. 没有；缺乏；缺席；不注意
absolutely,adv. 绝对地；完全地
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
assistance,n. 援助，帮助；辅助设备
attraction,n. 吸引，吸引力；引力；吸引人的事物
automation,n. 自动化；自动操作
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗"
compel,vt. 强迫，迫使；强使发生
deadline,n. 截止期限，最后期限
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
exert,vt. 运用，发挥；施以影响
extinction,n. 灭绝；消失；消灭；废止
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
fashionable,adj. 流行的；时髦的；上流社会的
forum,n. 论坛，讨论会；法庭；公开讨论的广场
guidance,n. 指导，引导；领导
hack,"n. 砍，劈；出租马车
vt. 砍；出租
vi. 砍"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
indicator,n. 指示器； 指示剂； 指示符；压力计
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
infrastructure,n. 基础设施；公共建设；下部构造
intelligent,adj. 智能的；聪明的；理解力强的
interpreter,n. 解释者；口译者；注释器
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
legislation,n. 立法；法律
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
mankind,n. 人类；男性
mislead,vt. 误导；带错
opposition,n. 反对；反对派；在野党；敌对
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
physically,adv. 身体上，身体上地
plus,"prep. 加，加上
n. 正号，加号；好处；附加额
adj. 正的；附加的"
prohibit,vt. 阻止，禁止
prospective,"n. 预期；展望
adj. 未来的；预期的"
readily,adv. 容易地；乐意地；无困难地
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
requirement,n. 要求；必要条件；必需品
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
risky,adj. 危险的；冒险的；（作品等）有伤风化的
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
significantly,adv. 显著地；相当数量地
simultaneously,adv. 同时地
standardise,vt. 使…符合标准；使…标准化；使…统一
standardize,vt. 使标准化；用标准检验
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用"
theatre,n. 电影院，戏院；戏剧；阶梯式讲堂
theater,n. 电影院，戏院，剧场；戏剧；手术室
threshold,n. 入口；门槛；开始；极限；临界值
upward,"adj. 向上的；上升的
adv. 向上"
virus,n.  病毒；恶毒；毒害
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
youngster,n. 年轻人；少年
addicted,"v. 使…上瘾（addict的过去分词）
adj. 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的"
adequate,adj. 充足的；适当的；胜任的
adversity,n. 逆境；不幸；灾难；灾祸
altogether,"n. 整个；裸体
adv. 完全地；总共；总而言之"
