agnostic,"n. 不可知论者
adj. 不可知论的"
amorphous,adj. 无定形的；无组织的； 非晶形的
anomalous,adj. 异常的；不规则的；不恰当的
anonymity,n. 匿名；匿名者；无名之辈
apathy,n. 冷漠，无兴趣，漠不关心；无感情
atrophy,"n. 萎缩，萎缩症；发育停止
vi. 萎缩；虚脱"
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
acrid,adj. 辛辣的；苦的；刻薄的
acrimonious,adj. 严厉的；辛辣的；刻薄的
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
acumen,n. 聪明，敏锐
acerbic,adj. 尖刻的（等于acerb）；酸的；辛辣的
exacerbate,vt. 使加剧；使恶化；激怒
action,n. 行动；活动；功能；战斗；情节
interaction,"n. 相互作用； 交互作用
n. 互动"
radioactive,adj.  放射性的；有辐射的
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
enact,vt. 颁布；制定法律；扮演；发生
exacting,"adj. 严格的；苛求的；吃力的
v. 逼取；急需（exact的ing形式）"
reactionary,"n. 反动分子；反动派；保守派
adj. 保守的，反动的；反动主义的；反对改革的"
reactant,n.  反应物；反应剂
addition,n. 添加； 加法；增加物
additional,adj. 附加的，额外的
additive,"n. 添加剂，添加物
adj. 附加的； 加法的"
agog,"adj. 兴奋的；有强烈兴趣的
adv. 热切地；渴望地"
pedagogy,n. 教育；教育学；教授法
demagogue,n. 煽动者；煽动家；煽动政治家
agony,n. 苦恼；极大的痛苦；临死的挣扎
antagonize,"vt. 使…敌对；使…对抗；对…起反作用
vi. 引起反抗"
antagonistic,adj. 敌对的；对抗性的；反对的
protagonist,n. 主角，主演；主要人物，领导者
agrarian,adj. 土地的；耕地的；有关土地的
agriculture,n. 农业；农耕；农业生产；农艺，农学
agronomy,n. 农学；农艺学；农业经济学
agronomist,n. 农学家
aircraft,n. 飞机，航空器
airtight,adj. 密闭的，密封的；无懈可击的
aerate,vt. 充气；让空气进入；使暴露于空气中
anaerobic,adj.  厌氧的， 厌气的；没有气而能生活的
alter,"vt. 改变，更改
vi. 改变；修改"
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
altruist,n. 爱他主义者；利他主义者
alias,"n. 别名，化名
adv. 别名叫；化名为"
alibi,"n. 不在场证明或辩解；托辞
v. 辩解；找托辞开脱"
alienate,vt. 使疏远，离间；让与
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
enamor,vt. 使迷恋，使倾心
glamorous,adj. 迷人的，富有魅力的
amity,n. 友好；亲善关系；友好关系
amenity,n. 舒适；礼仪；愉快；便利设施
amiable,adj. 和蔼可亲的，亲切的
amicable,adj. 友好的；友善的
ambiguous,adj. 模糊不清的；引起歧义的
ambivalent,adj. 矛盾的；好恶相克的
ambidextrous,adj. 双手灵巧的；怀有二心的
amphibian,"n.  两栖动物；水陆两用飞机；具有双重性格的人
adj. 两栖类的； 水陆两用的；具有双重性格的"
animated,"vt. 使…有生气（animate的过去式）
adj. 活生生的；活泼的；愉快的"
unanimous,adj. 全体一致的；意见一致的；无异议的
pusillanimous,adj. 胆怯的；懦弱的；优柔寡断的
animosity,n. 憎恶，仇恨，敌意
magnanimous,adj. 宽宏大量的；有雅量的；宽大的
antibody,n.  抗体
antibiotic,"n. 抗生素，抗菌素
adj. 抗生的；抗菌的"
antidote,n.  解毒剂；解药；矫正方法
anticlimax,n. 突降法；虎头蛇尾；令人扫兴的结尾
antipathy,n. 反感；厌恶；憎恶；不相容
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
antiquated,"adj. 过时的；陈旧的；年老的
v. 使古旧；废弃（antiquate的过去分词）"
apophasis,n. 故抑其词；以求婉达
apostrophe,n. 省略符号，撇号；呼语，顿呼
apostasy,n. 变节；脱党；背教
apoplectic,"n. 中风患者
adj. 中风的；易怒的"
anarchy,n. 无政府状态；混乱；无秩序
anarchist,"n. 无政府主义者
无政府主义的"
hierarchy,n. 层级；等级制度
monarch,n. 君主，帝王；最高统治者
firearm,n. 火器；枪炮
army,n. 陆军，军队
disarm,"vt. 解除武装；裁军；缓和
vi. 放下武器；裁减军备"
armada,n. （西班牙的）无敌舰队
armory,n.  军械库； 兵工厂（等于armoury）
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
artifact,n. 人工制品；手工艺品
artifice,n. 诡计；欺骗；巧妙的办法
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
artist,n. 艺术家；美术家（尤指画家）；大师
artless,adj. 天真的；朴实的；无虚饰的
autobiography,n. 自传；自传文学
autocrat,n. 独裁者，专制君主；独断独行的人
automatically,"adj. 不经思索的
adv. 自动地；机械地；无意识地"
autonomy,n. 自治，自治权
automobile,"n. 汽车
vt. 驾驶汽车
"
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球"
ballet,n. 芭蕾舞剧；芭蕾舞乐曲
ballroom,n. 舞厅；跳舞场
baseball,n. 棒球；棒球运动
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
basic,"n. 基础；要素
adj. 基本的；基础的"
debase,vt. 降低；使…贬值；掺杂
basement,n. 地下室；地窖
beater,n. 搅拌器； 打浆机；助猎者
abate,"vt. 减轻；减少；废除
vi. 减轻；失效"
baton,n. 指挥棒；接力棒；警棍；司令棒
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
combative,adj. 好战的；好事的
