large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大"
there are,"有…,存在着…"
classroom,n. 教室
playground,n. 运动场，操场；游乐场
there is,"na.  有
 那儿有；现在有；存在"
gym,n. 健身房；体育；体育馆
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
library,n. 图书馆，藏书室；文库
really,adv. 实际上，事实上；真正地，真实地；真的吗？（表语气）
in front of,"na. 在…的前面
 在……前面；在……的前面；在…面前"
canteen,n. 食堂，小卖部；水壶
art room, 绘画教室；美术室；美术教室
any,"adj. 任何的；所有的；丝毫
pron. 任何；任何一个；若干
adv. 稍微；少许"
computer room,"un. 计算机机房；计算机室
 电脑室；计算机教室；计算机房"
between,"prep. 在…之间
adv. 在中间"
teachers' office,找不到解释
beside,prep. 在旁边；与…相比；和…无关
community,n. 社区； 群落；共同体；团体
restaurant,n. 餐馆； 饭店
shop,"n. 商店；店铺
vt. 购物
vi. 购物；买东西"
supermarket,n. 超级市场；自助售货商店
cinema,n. 电影；电影院；电影业，电影制作术
toilet,"n. 厕所，盥洗室；梳妆，打扮
vt. 给…梳妆打扮
vi. 梳妆，打扮"
stop,"n. 停止；车站；障碍；逗留
vi. 停止；中止；逗留；被塞住
vt. 停止；堵塞；断绝"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
near,"adj. 近的；亲近的；近似的
adv. 近；接近
prep. 靠近；近似于"
river,n. 河，江
how many,"na. 多少
 多少个；有多少；多少数量"
goat,n. 山羊；替罪羊（美俚）；色鬼（美俚）
dear,"n. 亲爱的人
adj. 亲爱的；尊敬的；昂贵的
adv. 高价地；疼爱地
int. 哎呀"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点"
hill,n. 小山；丘陵；斜坡；山冈
lake,"n. 湖；深红色颜料；胭脂红
vt. （使）血球溶解
vi. （使）血球溶解"
China,"n. 中国
n. china，瓷器
adj. 中国的；中国制造的
adj. china，瓷制的"
at,"prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于
n. 阿特（老挝货币基本单位att）；砹（极不稳定放射性元素）
abbr. 密封的（airtight）；气温（air temperature）"
every,adj. 每一的，每个的；每隔…的
begin,"vi. 开始；首先
vt. 开始"
do homework, 做作业；做家庭作业；做功课
after,"conj. 在……之后
prep. 在……之后
adj. 以后的
adv. 后来，以后"
watch cartoons,找不到解释
evening,"n. 晚上；傍晚；（联欢性的）晚会；后期
adj. 在晚上的；为晚上的；晚上用的
int. 晚上好（等于good evening）"
before,"prep. 在…之前，先于
conj. 在…以前；在…之前
adv. 以前；在前"
quite,adv. 很；相当；完全
different,adj. 不同的；个别的，与众不同的
life,n. 生活，生存；寿命
do housework, 做家务；做家务事；做家务活
have class, 上课；指上课；该上课了
do morning exercises, 做早操；晨练；做早操要说
Mrs,n. 太太；夫人（用于已婚妇女姓名前的尊称）
early,"adj. 早期的；早熟的
adv. 提早；在初期"
on duty,"na. 在工作时间内；上班；值班
 值日；当班；在值班"
week,n. 周，星期
usually,adv. 通常，经常
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
door,n. 门；家，户；门口；通道
sweep the floor, 扫地；清扫地板；打扫地板
help,"n. 帮助；补救办法；帮忙者；有益的东西
vt. 帮助；促进；治疗；补救
vi. 帮助；有用；招待"
helper,n. 助手，帮手
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
desk,"n. 办公桌；服务台；编辑部；（美）讲道台；乐谱架
adj. 书桌的；桌上用的；伏案做的"
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
blackboard,n. 黑板
window,n. 窗；窗口；窗户
take out the trash, 倒垃圾；把垃圾拿出去；扔垃圾
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
often,adv. 常常，时常
play the piano,"na. 弹钢琴
 演奏钢琴；弹琴；弹钢琴搭配"
play sports, 做运动；进行体育运动；进行体育活动
go swimming,"na. 去游泳
 去钓鱼；去做某事；定期游泳"
visit friends,找不到解释
go shopping,"na. 去买东西
 去购物；逛街；逛商店"
watch TV,找不到解释
weekend,"n. 周末，周末休假；周末聚会
adj. 周末的，周末用的
vi. 度周末"
with,prep. 用；随着；支持；和…在一起
parent,n. 父亲（或母亲）；父母亲；根源
also,"conj. 并且；另外
adv. 也；而且；同样"
lesson,"n. 教训；课
vt. 教训；上课"
far,"n. 远方
adj. 远的；久远的
adv. 很；遥远地；久远地；到很远的距离；到很深的程度"
by bike, 骑自行车；骑车；骑单车
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
have a picnic, 举行野餐；去野餐；吃野餐
by car,"na. 乘电车；乘汽车
 坐小汽车；乘小汽车；开车"
by taxi, 乘出租车；坐出租车；打的
on foot,"na. 步行；在进行中；徒步
 走路；步行时；走路去"
busy,"adj. 忙碌的；热闹的；正被占用的
vt. 使忙于"
cleaning the windows,找不到解释
sweeping the floor,找不到解释
doing the dishes, 洗餐具；正在洗碗碟；洗碗乐
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
washing clothes,找不到解释
cleaning the room,找不到解释
never,adv. 从未；决不
need,"n. 需要，要求；缺乏；必要之物
vt. 需要
vi. 需要"
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
cooking dinner, 做饭；做晚餐；正在做饭
reading a book,找不到解释
setting the table,找不到解释
get,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成"
reading a newspaper,找不到解释
for,"prep. 为，为了；因为；给；对于；至于；适合于
conj. 因为"
us,pron. 我们
sleep,"n. 睡眠
vi. 睡，睡觉"
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
answering the phone,找不到解释
watering the flowers, 浇花
climbing the hill,找不到解释
taking pictures, 拍照；照相；正在照相
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
children,n. 孩子们（child的复数）
grass,"n. 草；草地，草坪
vt. 放牧；使……长满草；使……吃草
vi. 长草"
eat,"vt. 吃，喝；腐蚀；烦扰
vi. 进食；腐蚀，侵蚀"
eating,"n. 吃；食物
v. 吃（eat的ing形式）
adj. 侵蚀的；可生食的；进餐用的"
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
drinking,"n. 喝，饮；喝酒
v. 饮（drink的ing形式）；喝"
planting a tree,找不到解释
sleeping,"n. 睡眠
adj. 睡着的"
dancing,"n. 跳舞；舞蹈
v. 跳舞；摇晃（dance的ing形式）"
singing,"n. 歌唱；歌声；耳鸣；振鸣
v. 唱歌（sing的ing形式）
adj. 唱歌的；音乐般的"
scared,"v. 使害怕（scare的过去分词）
adj. 害怕的"
How do you like your new school?,找不到解释
Sounds great!,找不到解释
"It's quite different from your life, isn't it?",找不到解释
By yourself?,找不到解释
How come?,找不到解释
I can do it myself.,找不到解释
I don't think so.,找不到解释
